Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,Lithology classification,Lithology Prefix,Lithology Suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1334A-1H-1-A,320,U1334,A,1,1-1,H,1,A,0,150,0.0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,,Clay,100,soft,10YR 6/4,,,
320-U1334A-1H-2-A,320,U1334,A,1,1-2,H,2,A,0,140,1.5,2.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,,Clay,100,soft,10YR 6/4,,,
320-U1334A-1H-2-A,320,U1334,A,1,1-2,H,2,A,140,150,2.9,3.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with micronodules and zeolite,Clay with micronodules and zeolite,100,soft,10YR 4/2,,,
320-U1334A-1H-3-A,320,U1334,A,1,1-3,H,3,A,0,25,3.0,3.25,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with micronodules and zeolite,Clay with micronodules and zeolite,100,soft,10YR 4/2,,,
320-U1334A-1H-3-A,320,U1334,A,1,1-3,H,3,A,25,72,3.25,3.72,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with micronodules and zeolite,Clay with micronodules and zeolite,100,soft,10YR 3/1,,,
320-U1334A-1H-3-A,320,U1334,A,1,1-3,H,3,A,72,150,3.72,4.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/2,,,
320-U1334A-1H-4-A,320,U1334,A,1,1-4,H,4,A,0,150,4.5,6.0,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/2,,,
320-U1334A-1H-5-A,320,U1334,A,1,1-5,H,5,A,0,150,6.0,7.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/2,,,
320-U1334A-1H-6-A,320,U1334,A,1,1-6,H,6,A,0,53,7.5,8.03,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/2,,,
320-U1334A-1H-CC-A,320,U1334,A,1,1-CC,H,CC,A,0,16,8.03,8.19,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 4/2,,,
320-U1334A-2H-1-A,320,U1334,A,2,2-1,H,1,A,0,150,8.2,9.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with diatoms,Radiolarian Clay with diatoms,100,soft,10YR 4/2,,,
320-U1334A-2H-2-A,320,U1334,A,2,2-2,H,2,A,0,62,9.7,10.32,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with diatoms,Radiolarian Clay with diatoms,100,soft,10YR 4/2,,,
320-U1334A-2H-2-A,320,U1334,A,2,2-2,H,2,A,62,150,10.32,11.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/2,,,
320-U1334A-2H-3-A,320,U1334,A,2,2-3,H,3,A,0,150,11.2,12.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/2,,,
320-U1334A-2H-4-A,320,U1334,A,2,2-4,H,4,A,0,150,12.7,14.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/2,,,
320-U1334A-2H-5-A,320,U1334,A,2,2-5,H,5,A,0,150,14.2,15.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/2,,,
320-U1334A-2H-6-A,320,U1334,A,2,2-6,H,6,A,0,48,15.7,16.18,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,100,soft,10YR 3/2,,,
320-U1334A-2H-6-A,320,U1334,A,2,2-6,H,6,A,48,150,16.18,17.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1334A-2H-7-A,320,U1334,A,2,2-7,H,7,A,0,75,17.2,17.95,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1334A-2H-CC-A,320,U1334,A,2,2-CC,H,CC,A,0,18,17.95,18.13,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,100,soft,10YR 7/2,,,
320-U1334A-3H-1-A,320,U1334,A,3,3-1,H,1,A,0,150,17.7,19.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 3/3,,,
320-U1334A-3H-1-A,320,U1334,A,3,3-1,H,1,A,0,150,17.7,19.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/3,,,
320-U1334A-3H-2-A,320,U1334,A,3,3-2,H,2,A,0,140,19.2,20.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with nannofossils,Radiolarian Clay with nannofossils,50,soft,10YR 3/3,,,
320-U1334A-3H-2-A,320,U1334,A,3,3-2,H,2,A,0,140,19.2,20.6,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,with radiolarians,Nannofossil ooze with radiolarians,50,soft,10YR 5/3,,,
320-U1334A-3H-2-A,320,U1334,A,3,3-2,H,2,A,140,150,20.6,20.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334A-3H-2-A,320,U1334,A,3,3-2,H,2,A,140,150,20.6,20.7,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 5/3,,,
320-U1334A-3H-3-A,320,U1334,A,3,3-3,H,3,A,0,150,20.7,22.2,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
320-U1334A-3H-3-A,320,U1334,A,3,3-3,H,3,A,0,150,20.7,22.2,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Nannofossil,,Nannofossil ooze,50,soft,10YR 5/3,,,
320-U1334A-3H-4-A,320,U1334,A,3,3-4,H,4,A,0,150,22.2,23.7,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,,Radiolarian Clay,50,soft,10YR 3/3,,,
