Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
341-U1419A-1H-1-A,0.0,150.0,0.0,1.5,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,diatom ooze with 20% silt; with scattered black mottles (< 5 mm),,,,,,341,U1419,A,1,H,1,A,,,,
341-U1419A-1H-2-A,0.0,145.0,1.5,2.95,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,- massive mud with scattered black mottles (< 5 mm),,,,,,341,U1419,A,1,H,2,A,,,,
341-U1419A-1H-2-A,145.0,150.0,2.95,3.0,,,,,,,,,,,,,,,,,,,,,,Sample IW,,,,,,341,U1419,A,1,H,2,A,,,,
341-U1419A-1H-3-A,0.0,150.0,3.0,4.5,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,"diatom ooze (inlc calcareous shell fragments, all kinds of biosiliceous stuff); with scattered black mottles (< 5 mm)",,,,,,341,U1419,A,1,H,3,A,,,,
341-U1419A-1H-4-A,0.0,105.0,4.5,5.55,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,mud with few black mottles,,,,,,341,U1419,A,1,H,4,A,,,,
341-U1419A-1H-4-A,105.0,135.0,5.55,5.85,,diatom ooze [Leg339],,diatom ooze ,,,,5Y 4/2 (olive gray),slight [DB86],1,,,,,,,,,,,,diatom ooze consisting mainly of diatoms,,,,,,341,U1419,A,1,H,4,A,,,,
341-U1419A-1H-4-A,135.0,145.0,5.85,5.95,,mud [Leg210],,mud ,,,,10Y 5/1 (greenish gray),slight [DB86],1,,,,,,,,,,,,mud with few black mottles,,,,,,341,U1419,A,1,H,4,A,,,,
341-U1419A-1H-4-A,145.0,150.0,5.95,6.0,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1419,A,1,H,4,A,,,,
341-U1419A-1H-5-A,0.0,38.0,6.0,6.38,,mud [Leg210],,mud ,,,,10Y 5/1 (greenish gray),,,,,,,,,,,,,,"mud with very few black mottles, slight laminations due to color variations",,,,,,341,U1419,A,1,H,5,A,,,,
341-U1419A-1H-5-A,38.0,42.0,6.38,6.42,,sand [Leg210],,sand ,,,,10Y 3/1 (very dark greenish gray),,,,,,,,,,,,,,fine to medium sand,,,,,,341,U1419,A,1,H,5,A,,,,
341-U1419A-1H-5-A,42.0,125.0,6.42,7.25,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],9,,,,,,,,,,"massive mud with very few black mottles; 30% silt, 70% clay",,,,,,341,U1419,A,1,H,5,A,,,,
341-U1419A-1H-CC-A,0.0,12.0,7.25,7.37,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,,,,,,,,,,,,341,U1419,A,1,H,CC,A,,,,
341-U1419A-1H-CC-A,12.0,18.0,7.37,7.43,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1419,A,1,H,CC,A,,,,
341-U1419A-2H-1-A,0.0,47.5,7.4,7.875,foraminifer bearing,diatom ooze [Leg339],with radiolarians [Leg339],foraminifer bearing diatom ooze  with radiolarians ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,A,2,H,1,A,,,,
341-U1419A-2H-1-A,47.5,54.5,7.875,7.945,foraminifer bearing,sand [Leg210],,foraminifer bearing sand ,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,,,,341,U1419,A,2,H,1,A,,,,
341-U1419A-2H-1-A,54.5,150.0,7.945,8.9,,mud [Leg210],,mud ,,,,10Y 2.5/1 (greenish black),,,,,,,,,,,,,,,,,,,,341,U1419,A,2,H,1,A,,,,
341-U1419A-2H-2-A,0.0,145.0,8.9,10.35,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],5,,,pebble [W22_2],rounded,pebble [W22_2],rounded,,,,"argillites at 10 cm and 40 cm, 2 and 3 cm, subrounded and rounde; sandstone 2.5 cm at 63 cm, rounded,, metasandstone 5cm, rounded, at 92 cm, sandstone 5 cm, at 97 cm, rounded;",,,,,,341,U1419,A,2,H,2,A,,,,
341-U1419A-2H-2-A,145.0,150.0,10.35,10.4,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1419,A,2,H,2,A,,,,
341-U1419A-2H-3-A,0.0,150.0,10.4,11.9,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],4,,,granule [W22_2],subrounded,granule [W22_2],subrounded,,,,argillite granules,,,,,,341,U1419,A,2,H,3,A,,,,
341-U1419A-2H-4-A,0.0,145.0,11.9,13.35,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,10Y 4/1 (dark greenish gray),none [DB86],0,present [A79],11,,,,,pebble [W22_2],subrounded,shell fragment,,,"veined metasiltstones (2-3cm) @ 12, 21cm;
shell fragments @24, 140cm",,,,,,341,U1419,A,2,H,4,A,,,,
341-U1419A-2H-4-A,145.0,150.0,13.35,13.4,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1419,A,2,H,4,A,,,,
341-U1419A-2H-5-A,0.0,150.0,13.4,14.9,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,present [A79],12,,,,,,,,,,,,,,,,341,U1419,A,2,H,5,A,,,,
341-U1419A-2H-6-A,0.0,136.0,14.9,16.26,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,present [A79],9,,,,,,,,,,,,,,,,341,U1419,A,2,H,6,A,,,,
341-U1419A-2H-6-A,136.0,141.0,16.26,16.31,,,,,,,,,,,,,,,,,,,,,,IW,,,,,,341,U1419,A,2,H,6,A,,,,
341-U1419A-2H-7-A,0.0,71.0,16.31,17.02,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,present [A79],9,,,,,,,,,,,,,,,,341,U1419,A,2,H,7,A,,,,
341-U1419A-2H-CC-A,0.0,13.0,17.02,17.15,,mud [Leg210],with silt [Leg339],mud  with silt ,,,,N 4 (dark gray),none [DB86],0,present [A79],3,,,,,,,,,,,,,,,,341,U1419,A,2,H,CC,A,,,,
341-U1419A-2H-CC-A,13.0,18.0,17.15,17.2,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1419,A,2,H,CC,A,,,,
341-U1419A-3H-1-A,0.0,150.0,16.9,18.4,,mud [Leg210],with diatoms [Leg339],mud  with diatoms ,,,,N 4 (dark gray),,,present [A79],2,,,,,granule [W22_2],subrounded,,,,"2 argillite granules at 31 and 57 cm, ",,,,,,341,U1419,A,3,H,1,A,,,,
341-U1419A-3H-2-A,0.0,145.0,18.4,19.85,,mud [Leg210],,mud ,,,,10Y 3/1 (very dark greenish gray),,,present [A79],2,,,,,,,,,,"argillite pebble 2 cm at 47 cm, sandstone clast 2 cm, subrounded, at 113; argillite pebble in WH at 101 cm; shell fragments at 8, 18, and 36 cm; ",,,,,,341,U1419,A,3,H,2,A,,,,
