Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
361,U1474,B,1,1-1,H,1,A,0,61,0,0.61,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,brown,7.5YR 6/6 (reddish yellow),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-1H-1-A,,,,
361,U1474,B,1,1-1,H,1,A,61,145,0.61,1.45,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,planar,gradational,horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-1-A,,,,
361,U1474,B,1,1-2,H,2,A,0,140,1.5,2.9,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-2-A,,,,
361,U1474,B,1,1-3,H,3,A,0,29,3,3.29,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-3-A,,,,
361,U1474,B,1,1-3,H,3,A,29,47,3.29,3.47,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 5/10Y (greenish gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,curviplanar,sharp,sub-horizontal,medium bed [B01],well [2014],normally graded,,,,,mineral,pyrite,,,,,,,361-U1474B-1H-3-A,,,,
361,U1474,B,1,1-3,H,3,A,47,96,3.47,3.96,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,irregular,sharp,inclined,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-3-A,,,,
361,U1474,B,1,1-4,H,4,A,0,60,4.01,4.61,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-4-A,,,,
361,U1474,B,1,1-CC,H,CC,A,0,17,4.61,4.78,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-1H-CC-A,,,,
361,U1474,B,2,2-1,H,1,A,0,145,4.8,6.25,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-2H-1-A,,,,
361,U1474,B,2,2-2,H,2,A,0,140,6.3,7.7,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-2H-2-A,,,,
361,U1474,B,2,2-3,H,3,A,0,5,7.8,7.85,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-2H-3-A,,,,
361,U1474,B,2,2-3,H,3,A,5,10,7.85,7.9,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 4/N (dark gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,planar,sharp,horizontal,thin lamina [B01],,normally graded,,,,,mineral,pyrite,,,,,,,361-U1474B-2H-3-A,,,,
361,U1474,B,2,2-3,H,3,A,10,145,7.9,9.25,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,planar,sharp,horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-2H-3-A,,,,
361,U1474,B,2,2-4,H,4,A,0,139,9.3,10.69,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1474B-2H-4-A,,,,
361,U1474,B,2,2-5,H,5,A,0,87.5,10.8,11.675,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, chondrites",,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1474B-2H-5-A,,,,
361,U1474,B,2,2-5,H,5,A,87.5,89,11.675,11.69,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 4/N (dark gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,curviplanar,sharp,inclined,,,,,,,,mineral,pyrite,,,,,,,361-U1474B-2H-5-A,,,,
361,U1474,B,2,2-5,H,5,A,89,144,11.69,12.24,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",curviplanar,sharp,inclined,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-2H-5-A,,,,
361,U1474,B,2,2-6,H,6,A,0,76,12.3,13.06,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-2H-6-A,,,,
361,U1474,B,2,2-7,H,7,A,0,71,13.11,13.82,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-2H-7-A,,,,
361,U1474,B,2,2-CC,H,CC,A,0,21,13.82,14.03,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-2H-CC-A,,,,
361,U1474,B,3,3-1,H,1,A,0,145,14.3,15.75,1,foraminifer bearing,clay [2014],with nannofossils,foraminifer bearing clay,foraminifer bearing clay with nannofossils,clay with nannofossils,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,361-U1474B-3H-1-A,,,,
361,U1474,B,3,3-2,H,2,A,0,140,15.8,17.2,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-2-A,,,,
361,U1474,B,3,3-3,H,3,A,0,145,17.3,18.75,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-3-A,,,,
361,U1474,B,3,3-4,H,4,A,0,140,18.8,20.2,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-4-A,,,,
361,U1474,B,3,3-5,H,5,A,0,145,20.3,21.75,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-5-A,,,,
361,U1474,B,3,3-6,H,6,A,0,2,21.8,21.82,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-6-A,,,,
361,U1474,B,3,3-6,H,6,A,2,11,21.82,21.91,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 4/N (dark gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,curviplanar,sharp,sub-horizontal,,,,,,,,mineral,pyrite,,,,,,,361-U1474B-3H-6-A,,,,
361,U1474,B,3,3-6,H,6,A,11,145,21.91,23.25,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",irregular,sharp,sub-horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-3H-6-A,,,,
361,U1474,B,3,3-7,H,7,A,0,69,23.3,23.99,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,"diagenetic stratification, small interval of foraminifera ooze",,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-3H-7-A,,,,
361,U1474,B,3,3-CC,H,CC,A,0,19,23.99,24.18,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-3H-CC-A,,,,
361,U1474,B,4,4-1,H,1,A,0,91,23.8,24.71,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-4H-1-A,,,,
361,U1474,B,4,4-2,H,2,A,0,97,24.76,25.73,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-4H-2-A,,,,
361,U1474,B,4,4-3,H,3,A,0,49,25.79,26.28,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-4H-3-A,,,,
361,U1474,B,4,4-CC,H,CC,A,0,15,26.28,26.43,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1474B-4H-CC-A,,,,
361,U1474,B,5,5-1,H,1,A,0,88,33.3,34.18,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-5H-1-A,,,,
361,U1474,B,5,5-1,H,1,A,88,92,34.18,34.22,1,foraminifer bearing,fine sand [2014],,foraminifer bearing fine sand,foraminifer bearing fine sand,fine sand,dark gray,GLEY 1 4/N (dark gray),unconsolidated [2014],fine sand [W22_2],4,fine sand [W22_2],4,Turbidite,planar,sharp,sub-horizontal,,,,,,,,,,,,,,,,361-U1474B-5H-1-A,,,,
361,U1474,B,5,5-1,H,1,A,92,144.5,34.22,34.745,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratifications,planar,sharp,horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-5H-1-A,,,,
361,U1474,B,5,5-2,H,2,A,0,145,34.8,36.25,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratifications,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-5H-2-A,,,,
361,U1474,B,5,5-3,H,3,A,0,144.5,36.3,37.745,1,nannofossil rich,clay [2014],with foraminifers,nannofossil rich clay,nannofossil rich clay with foraminifers,clay with foraminifers,gray,GLEY 1 6/10Y (greenish gray),unconsolidated [2014],clay [W22_1],1,fine sand [W22_2],4,diagenetic stratifications,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1474B-5H-3-A,,,,
