Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Principal lithology,Lithology classification,Lithology prefix,Lithology suffix,Lithology name,Lithology [%],Lithification [name],Color,Lithology comments,File Data,
320-U1332B-1H-1-A,320,U1332,B,1,1-1,H,1,A,0,150,0.0,1.5,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,
320-U1332B-1H-2-A,320,U1332,B,1,1-2,H,2,A,0,40,1.5,1.9,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,
320-U1332B-1H-CC-A,320,U1332,B,1,1-CC,H,CC,A,0,13,1.9,2.03,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",,with radiolarians,Clay with radiolarians,100,soft,10YR 6/4,,,
320-U1332B-2H-1-A,320,U1332,B,2,2-1,H,1,A,0,32,2.1,2.42,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/3,,,
320-U1332B-2H-1-A,320,U1332,B,2,2-1,H,1,A,32,150,2.42,3.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 6/4,,,
320-U1332B-2H-2-A,320,U1332,B,2,2-2,H,2,A,0,53,3.6,4.13,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 6/4,,,
320-U1332B-2H-2-A,320,U1332,B,2,2-2,H,2,A,53,150,4.13,5.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/3,,,
320-U1332B-2H-3-A,320,U1332,B,2,2-3,H,3,A,0,150,5.1,6.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 6/4,,,
320-U1332B-2H-4-A,320,U1332,B,2,2-4,H,4,A,0,33,6.6,6.93,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/3,,,
320-U1332B-2H-4-A,320,U1332,B,2,2-4,H,4,A,33,117,6.93,7.77,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 6/4,,,
320-U1332B-2H-4-A,320,U1332,B,2,2-4,H,4,A,117,150,7.77,8.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 5/3,,,
320-U1332B-2H-5-A,320,U1332,B,2,2-5,H,5,A,0,13,8.1,8.23,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 6/4,,,
320-U1332B-2H-5-A,320,U1332,B,2,2-5,H,5,A,13,150,8.23,9.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with micronodules,Zeolite Clay with micronodules,100,soft,10YR 4/2,,,
320-U1332B-2H-6-A,320,U1332,B,2,2-6,H,6,A,0,150,9.6,11.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with micronodules,Zeolite Clay with micronodules,100,soft,10YR 4/2,,,
320-U1332B-2H-7-A,320,U1332,B,2,2-7,H,7,A,0,64,11.1,11.74,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with micronodules,Zeolite Clay with micronodules,100,soft,10YR 4/2,,,
320-U1332B-2H-CC-A,320,U1332,B,2,2-CC,H,CC,A,0,32,11.74,12.06,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,with micronodules,Zeolite Clay with micronodules,100,soft,10YR 4/2,,,
320-U1332B-3H-1-A,320,U1332,B,3,3-1,H,1,A,0,150,11.6,13.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 3/2,,,
320-U1332B-3H-2-A,320,U1332,B,3,3-2,H,2,A,0,150,13.1,14.6,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 3/2,,,
320-U1332B-3H-3-A,320,U1332,B,3,3-3,H,3,A,0,80,14.6,15.4,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Zeolite,,Zeolite Clay,100,soft,10YR 3/2,,,
320-U1332B-3H-3-A,320,U1332,B,3,3-3,H,3,A,80,150,15.4,16.1,Clay [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian,with zeolite,Radiolarian Clay with zeolite,80,soft,10YR 3/2,,,
320-U1332B-3H-3-A,320,U1332,B,3,3-3,H,3,A,80,150,15.4,16.1,ooze [MMK88],"Mazullo, Meyer & Kidd, 1988",Radiolarian nannofossil,,Radiolarian nannofossil ooze,20,soft,10YR 4/3,,,
