Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1523D-2R-CC-A,0,14,135.0,135.14,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,2,R,CC,A
374-U1523D-3R-CC-A,0,13,144.6,144.73,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,3,R,CC,A
374-U1523D-5R-CC-A,0,7,163.8,163.87,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,5,R,CC,A
374-U1523D-5R-CC-A,0,7,163.8,163.87,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,5,R,CC,A
374-U1523D-7R-CC-A,0,4,183.0,183.04,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,7,R,CC,A
374-U1523D-7R-CC-A,0,4,183.0,183.04,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,7,R,CC,A
374-U1523D-8R-CC-A,0,13,192.6,192.73,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,8,R,CC,A
374-U1523D-8R-CC-A,0,13,192.6,192.73,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,8,R,CC,A
374-U1523D-10R-CC-A,0,5,211.8,211.85,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,10,R,CC,A
374-U1523D-10R-CC-A,0,5,211.8,211.85,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,10,R,CC,A
374-U1523D-11R-CC-A,0,16,221.4,221.56,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,11,R,CC,A
374-U1523D-13R-CC-A,0,7,240.6,240.67,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,13,R,CC,A
374-U1523D-15R-CC-A,0,6,259.8,259.86,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1523,D,15,R,CC,A
