Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data
354-U1451A-1H-1-A,0,35,0,0.35,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,yellow,gradational,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-1H-1-A,35,150,0.35,1.5,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,,,,,,,,mottling [BJ80],,,,Indurated green layers.,,,
354-U1451A-1H-2-A,0,107,1.5,2.57,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,greenish gray,sharp planar,horizontal,,,,,,mottling [BJ80],,,,,,,
354-U1451A-1H-2-A,107,127,2.57,2.77,,,volcanic ash [MMK88],,volcanic ash,volcanic ash,volcanic ash,,light brown,sharp planar,horizontal,,,,,,normally graded,,,,,,,
354-U1451A-1H-2-A,127,150,2.77,3,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,dark gray,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-1H-3-A,0,103,3,4.03,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light gray,gradational,,,,,,,burrows,,,,,,,
354-U1451A-1H-3-A,103,146,4.03,4.46,,,calcareous clay [Leg210]c,with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark green,,,,,,,,mottling [BJ80],,,,9 cm ash pocket,,,
354-U1451A-1H-4-A,0,111,4.5,5.61,,,calcareous clay [Leg210]c,,calcareous clay,calcareous clay,calcareous clay,,dark green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-1H-5-A,0,79,5.61,6.4,,,calcareous clay [Leg210]c,with nannofossils [2014],calcareous clay,calcareous clay with nannofossils,calcareous clay with nannofossils,,dark green,,,,,,,,mottling [BJ80],,,,3 cm ash pocket,,,
354-U1451A-1H-CC-A,0,16,6.4,6.56,,,calcareous clay [Leg210]c,,calcareous clay,calcareous clay,calcareous clay,,dark green,,,,,,,,mottling [BJ80],,,,,,,
354-U1451A-2H-1-A,0,117,6.5,7.67,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,greenish gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-1-A,0,117,6.5,7.67,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-2H-1-A,117,143,7.67,7.93,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light brown,sharp irregular,inclined,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-1-A,143,150,7.93,8,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-1-A,143,150,7.93,8,,,,,,,,,,,,,,,,,burrows,,,,,,,
354-U1451A-2H-2-A,0,22,8,8.22,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,white,bioturbated,sub-horizontal,thick bed [B01],clay [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-2-A,22,128,8.22,9.28,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,greenish gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-2-A,128,150,9.28,9.5,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-3-A,0,20,9.5,9.7,,nannofossil rich,calcareous clay [Leg210],with foraminifers [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with foraminifers,calcareous clay with foraminifers,,light gray,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-3-A,20,106,9.7,10.56,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,sharp planar,horizontal,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-3-A,106,120,10.56,10.7,,nannofossil rich,calcareous clay [Leg210],,nannofossil rich calcareous clay,nannofossil rich calcareous clay,calcareous clay,,light brown,bioturbated,sub-horizontal,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-3-A,120,150,10.7,11,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,,,,,,H,,mottling [BJ80],,,,,,,
354-U1451A-2H-4-A,0,150,11,12.5,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,,,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-5-A,0,111,12.5,13.61,,nannofossil rich,calcareous clay [Leg210],with radiolarians [2014],nannofossil rich calcareous clay,nannofossil rich calcareous clay with radiolarians,calcareous clay with radiolarians,,greenish gray,sharp planar,sub-horizontal,medium bed [B01],clay [Leg210],lamina [M&W53],H,,mottling [BJ80],,,,,,,
354-U1451A-2H-5-A,111,150,13.61,14,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-2H-6-A,0,131,14,15.31,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],T,,,,,,,,,
354-U1451A-2H-7-A,0,83,15.31,16.14,,silty [Leg339],clay [Leg210],with nannofossils [2014],silty clay,silty clay with nannofossils,clay with nannofossils,,gray,,,thin bed [B01],silt [Leg210],very thin bed [B01],T,,,,,,,,,
354-U1451A-2H-CC-A,0,25,16.14,16.39,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,,,thin bed [B01],clay [Leg210],very thin bed [B01],T,,,,,,,,,
