Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name
359-U1471B-1H-1-A,0,53,0.0,0.53,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 4/2 (dark grayish brown),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,pteropod,R,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,1,A,,,,
359-U1471B-1H-2-A,0,119,0.53,1.72,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,pteropod,F,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,2,A,,,,
359-U1471B-1H-3-A,0,132,1.72,3.04,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,3,A,,,,
359-U1471B-1H-4-A,0,150,3.04,4.54,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5y 5/2 (grayish brown),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,4,A,,,,
359-U1471B-1H-5-A,0,150,4.54,6.04,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,pteropod,R,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,5,A,,,,
359-U1471B-1H-CC-A,0,53,6.04,6.57,planktic foraminifer rich,packstone,3,planktic foraminifer rich packstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),A,foraminifera (benthic),C,,,,,,,,,complete,6,,,,Unlithified planktic foraminifera-rich PACKSTONE.,,,,359,U1471,B,1,H,CC,A,,,,
