Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
359-U1466A-1H-1-A,0,26,0.0,0.26,,grainstone,4,grainstone,unlithified,1,,,,,,,,,,,,,,,,,,,,,Disturbed - all cave in.,,,,359,U1466,A,1,H,1,A
359-U1466A-1H-1-A,26,46,0.26,0.46,,grainstone,4,grainstone,unlithified,1,10yr 6/1 (gray),medium sand,5,foraminifera (planktic),,pteropod,,foraminifera (benthic),"Also present: echinoid (P), halimeda fragments (P)",,,,,,,,,,gradational,horizontal,Medium grains. medium sorted. Yellowish-reddish grains (stained) gradationally increasing towards they bottom of the section,,,,359,U1466,A,1,H,1,A
359-U1466A-1H-1-A,46,150,0.46,1.5,,grainstone,4,grainstone,unlithified,1,10yr 6/4 (light yellowish brown),medium sand,5,foraminifera (planktic),,pteropod,,foraminifera (benthic),"Also present: echinoid fragments (P), halimeda fragments (C), otolithis (C), bryozoan fragments (C), bivalve fragments (F), solitary coral (P), gastropod fragments (P)",,,,,,,,,,,,"Mediums grains, medium sorted. Stained grains",,,,359,U1466,A,1,H,1,A
359-U1466A-1H-2-A,0,146,1.5,2.96,,grainstone,4,grainstone,unlithified,1,2.5y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,"Also present: otoliths (F), echinoid spines (F), bryozoan fragments (F), halimeda fragments (F)",,,,,,,,,,,,"medium grains, poorly to medium sorted, stained grains",,,,359,U1466,A,1,H,2,A
359-U1466A-1H-3-A,0,61,3.01,3.62,,grainstone,4,grainstone,unlithified,1,10yr 5/2 (grayish brown),fine sand,4,foraminifera (planktic),,foraminifera (benthic),,,"Also present: Otoliths (F), echinoid spines (F), pteropod fragments (F)",,,,,,,,,,bioturbated,sub-horizontal,"very fine to fine grains, very well sorted",,,,359,U1466,A,1,H,3,A
359-U1466A-1H-3-A,61,101,3.62,4.02,,grainstone,4,grainstone,unlithified,1,10yr 7/3 (very pale brown),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,Also present: bivalve (P),,,,,,,slight,2,,,,"fine to medium grains, well sorted, single burrow 062-068, stained grains",,,,359,U1466,A,1,H,3,A
359-U1466A-1H-4-A,0,82,4.02,4.84,,grainstone,4,grainstone,unlithified,1,2.5Y 7/2 (light gray),medium sand,5,foraminifera (planktic),,halimeda,,pteropod,"Also present: foraminifera (benthic) (C), otolith (R), bivalves (R)",,,,,,,,,,,,"medium grains, well sorted, stained grains",,,,359,U1466,A,1,H,4,A
359-U1466A-1H-CC-A,0,14,4.84,4.98,,grainstone,4,grainstone,unlithified,1,2.5Y 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,foraminifera (benthic),,pteropod,Also present: Otoliths (R).,,,,,,,,,,,,,,,,359,U1466,A,1,H,CC,A
359-U1466A-2H-1-A,0,151,5.0,6.51,,grainstone,4,grainstone,unlithified,1,10YR 6/1 (gray),medium sand,5,pteropod,,foraminifera (planktic),,,Also present: Otoliths.,,,,,,,,,,,,coarse grains present,,,,359,U1466,A,2,H,1,A
359-U1466A-2H-2-A,0,116,6.51,7.67,,grainstone,4,grainstone,unlithified,1,10yr 6/2 (light brownish gray),medium sand,5,foraminifera (planktic),,pteropod,,bivalve,"Also present: echinoid (needles) (R), otoliths (P)",,"orange-red stained grains (A), black clasts (glauconite) (C)",,,,,,,,gradational,horizontal,,,,,359,U1466,A,2,H,2,A
