Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
346-U1426C-1H-1-A,0.0,150.0,0.0,1.5,diatom rich,clay ,with foraminifers ,diatom rich clay  with foraminifers ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,1,A
346-U1426C-1H-2-A,0.0,75.0,1.5,2.25,diatom rich,clay ,with foraminifers ,diatom rich clay  with foraminifers ,,,,,5Y 3/1 (very dark gray),slight ,1.0,,,,,,,,,,,,,,,diatom rich  clay ,clay   with foraminifers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,2,A
346-U1426C-1H-2-A,75.0,150.0,2.25,3.0,,clay ,,clay ,,,,,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,2,A
346-U1426C-1H-3-A,0.0,31.0,3.0,3.31,,,,,,,,lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,3,A
346-U1426C-1H-3-A,0.0,80.0,3.0,3.8,,clay ,,clay ,,,,color banding,10Y 5/1 (greenish gray),slight ,1.0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,3,A
346-U1426C-1H-3-A,40.0,58.0,3.4,3.58,,,,,,,,lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,3,A
346-U1426C-1H-3-A,80.0,88.0,3.8,3.88,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,3,A
346-U1426C-1H-4-A,0.0,43.0,4.5,4.93,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,4,A
346-U1426C-1H-4-A,43.0,44.0,4.93,4.94,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,4,A
346-U1426C-1H-4-A,44.0,120.0,4.94,5.7,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,4,A
346-U1426C-1H-5-A,0.0,55.0,5.7,6.25,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),,,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,5,A
346-U1426C-1H-CC-A,0.0,23.0,6.25,6.48,,clay ,,clay ,,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,1,H,CC,A
346-U1426C-2H-1-A,0.0,150.0,6.5,8.0,,clay ,,clay ,,,,,10Y 5/1 (greenish gray),slight ,1.0,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,1,A
346-U1426C-2H-2-A,0.0,150.0,8.0,9.5,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),slight ,1.0,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,2,A
346-U1426C-2H-3-A,0.0,31.0,9.5,9.81,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),slight ,1.0,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,3,A
346-U1426C-2H-3-A,31.0,32.0,9.81,9.82,,tephra ,,tephra ,vitric,,,,,,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,3,A
346-U1426C-2H-3-A,32.0,150.0,9.82,11.0,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),slight ,1.0,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,3,A
346-U1426C-2H-3-A,80.0,87.0,10.3,10.37,,,,,,,,lamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,3,A
346-U1426C-2H-4-A,0.0,150.0,11.0,12.5,foraminifer rich,clay ,,foraminifer rich clay ,,,,color banding,10Y 4/1 (dark greenish gray),slight ,1.0,,,,,,,,,,,,,,,foraminifer rich  clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1426,C,2,H,4,A
