Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1422C-1H-1-A,0,25,0,0.25,silty ,clay ,,silty  clay ,,,,,5YR 4/4 (reddish brown),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,diatom bearing,silty clay ,,diatom bearing  silty clay ,diatom bearing silty clay ,silty clay ,5YR 4/4 (reddish brown),,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,25,53,0.25,0.53,silty ,clay ,,silty  clay ,,,,,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,53,65,0.53,0.65,silty [Leg339],clay [Leg210],,silty  clay ,,,,,10YR 3/1 (very dark gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,65,100,0.65,1,,clay ,,clay ,,,,,5Y 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,100,128,1,1.28,silty ,clay ,,silty  clay ,,,,parallel lamination,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,128,129,1.28,1.29,foraminifer rich,sand ,,foraminifer rich sand ,,,,lens or pod ,,,,,,,,,,,,,,,,,,foraminifer rich  sand ,sand ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-1-A,129,140,1.29,1.4,silty ,clay ,,silty  clay ,,,,parallel lamination,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,1,A,
346-U1422C-1H-2-A,0,6,1.5,1.56,silty ,clay ,,silty  clay ,,,,,10YR 4/1 (dark gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-2-A,6,17,1.56,1.67,,clay ,,clay ,,,,,5Y 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-2-A,17,24,1.67,1.74,silty ,clay ,,silty  clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-2-A,24,101,1.74,2.51,,clay ,,clay ,,,,color banding,5Y 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-2-A,105,120,2.55,2.7,silty ,clay ,,silty  clay ,,,,color banding,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-2-A,120,150,2.7,3,,clay [Leg210],,clay ,,,,,5Y 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,2,A,
346-U1422C-1H-3-A,0,69,3,3.69,,clay ,,clay ,,,,,10YR 5/1 (gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,3,A,
346-U1422C-1H-3-A,69,74,3.69,3.74,silty ,clay ,,silty  clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,3,A,
346-U1422C-1H-3-A,74,90,3.74,3.9,,clay ,,clay ,,,,,5Y 7/1 (light gray),,,,,,,,,,,,,,,,,clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,3,A,
346-U1422C-1H-3-A,90,94,3.9,3.94,silty ,clay ,,silty  clay ,,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,silty   clay ,clay ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1422,C,1,H,3,A,
