Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
346-U1428A-1H-1-A,0,150,0,1.5,,nannofossil ooze ,,  nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,   nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-2-A,0,73,1.5,2.23,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-2-A,73,118,2.23,2.68,,tephra ,,tephra ,,,,,N 5 (gray),heavy ,3,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-2-A,118,150,2.68,3,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-3-A,0,150,3,4.5,volcanic glass bearing,nannofossil ooze ,,volcanic glass bearing nannofossil ooze ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,volcanic glass bearing  nannofossil ooze ,nannofossil ooze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-4-A,0,2,4.5,4.52,diatom bearing,nannofossil ooze ,with volcanic ash ,diatom bearing nannofossil ooze  with volcanic ash ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-4-A,2,3,4.52,4.53,,tephra ,,tephra ,vitric,volcaniclastic-bearing,2,,N 5 (gray),,,,,,,,,,,,,,,,,tephra ,tephra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-4-A,3,111,4.53,5.61,diatom bearing,nannofossil ooze ,with volcanic ash ,diatom bearing nannofossil ooze  with volcanic ash ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-5-A,0,61,5.61,6.22,diatom bearing,nannofossil ooze ,with volcanic ash ,diatom bearing nannofossil ooze  with volcanic ash ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346-U1428A-1H-CC-A,0,15,6.22,6.37,diatom bearing,nannofossil ooze ,with volcanic ash ,diatom bearing nannofossil ooze  with volcanic ash ,vitric,volcaniclastic-bearing,2,,10Y 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,diatom bearing  nannofossil ooze ,nannofossil ooze   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
