Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
356-U1463A-2X-1-A,0,150,9.7,11.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bivalve,,,,moderate [B06],3,,,"Unlithified, creamy gray wackestone. It contains abundant macrofossils (bivalves, gastropods, serpulids, bryozoas), and small benthic foraminifers. Medium sand size dark gray grains commonly contain. Moderate to complete bioturbation.",,,,356,U1463,A,2,X,1,A
356-U1463A-2X-1-A,0,150,9.7,11.2,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1463,A,2,X,1,A
356-U1463A-2X-1-A,0,150,9.7,11.2,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1463,A,2,X,1,A
356-U1463A-2X-1-A,0,150,9.7,11.2,,,,,,,,,gastropod,,,,,,,,,,,,356,U1463,A,2,X,1,A
356-U1463A-2X-1-A,0,150,9.7,11.2,,,,,,,,,serpulid,,,,,,,,,,,,356,U1463,A,2,X,1,A
356-U1463A-2X-2-A,0,150,11.2,12.7,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bivalve,,,,moderate [B06],3,,,"Unlithified, creamy gray wackestone. Macrofossis, forams, and medium sand size dark gray grains commonly contain. Moderate to complete bioturbation.",,,,356,U1463,A,2,X,2,A
356-U1463A-2X-2-A,0,150,11.2,12.7,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1463,A,2,X,2,A
356-U1463A-2X-3-A,0,128,12.7,13.98,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,creamy gray,bivalve,,,,moderate [B06],3,bioturbated,sub-vertical,"Unlithified, creamy gray wackestone. Macrofossis (bivalves, gastropods, pteropods, decapods), forams, and medium sand size dark gray grains commonly contain. Moderate to complete bioturbation.",,,,356,U1463,A,2,X,3,A
356-U1463A-2X-3-A,0,128,12.7,13.98,,,,,,,,,gastropod,,,,,,,,,,,,356,U1463,A,2,X,3,A
356-U1463A-2X-3-A,0,128,12.7,13.98,,,,,,,,,pteropod,,,,,,,,,,,,356,U1463,A,2,X,3,A
356-U1463A-2X-3-A,128,150,13.98,14.2,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,pteropod,,,,moderate [B06],3,,,"Mixed beds of unlithified, light greenish gray wackestone and creamy gray packstone.",,,,356,U1463,A,2,X,3,A
356-U1463A-2X-4-A,0,145,14.2,15.65,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, light greenish gray wackestone. The bed contains skeletal fragments rich patches.",,,,356,U1463,A,2,X,4,A
356-U1463A-2X-4-A,145,150,15.65,15.7,,,,,,,,,,,,,,,,,IW,,,,356,U1463,A,2,X,4,A
356-U1463A-2X-5-A,0,152,15.7,17.22,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,foraminifera (small benthic),,,,slight [B06],2,,,"Unlithified, homogeneous light greenish gray wackestone with macrofossilsfragments and forams.",,,,356,U1463,A,2,X,5,A
356-U1463A-2X-5-A,0,152,15.7,17.22,,,,,,,,,bivalve,,,,,,,,,,,,356,U1463,A,2,X,5,A
356-U1463A-2X-6-A,0,82,17.22,18.04,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,scaphopod,,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,A,2,X,6,A
356-U1463A-2X-CC-A,0,15,18.04,18.19,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,neritic,light greenish gray,,,,,,,,,"Unlithified, homogeneous light greenish gray wackestone.",,,,356,U1463,A,2,X,CC,A
356-U1463A-2X-CC-A,15,25,18.19,18.29,,,,,,,,,,,,,,,,,PAL,,,,356,U1463,A,2,X,CC,A
