Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],LITHOLOGY,REFERENCE,PREFIX,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE
323-U1342C-1H-1-A,323,U1342,C,1,1-1,H,1,A,0,24,0,0.24,foraminifer ooze,Leg 323,diatom-bearing,diatom-bearing foraminifer ooze,100,soft,5Y 4/2,,,,,,,,,,,,
323-U1342C-1H-1-A,323,U1342,C,1,1-1,H,1,A,24,118,0.24,1.18,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1342C-1H-1-A,323,U1342,C,1,1-1,H,1,A,118,122,1.18,1.22,silt [S54],,foraminifer and diatom-rich,foraminifer and diatom-rich silt,100,soft,5Y 3/2,,,,,,,,,,,,
323-U1342C-1H-1-A,323,U1342,C,1,1-1,H,1,A,122,150,1.22,1.5,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1342C-1H-2-A,323,U1342,C,1,1-2,H,2,A,0,20,1.5,1.7,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1342C-1H-2-A,323,U1342,C,1,1-2,H,2,A,20,60,1.7,2.1,silt [S54],,foraminifer and diatom-rich,foraminifer and diatom-rich silt,100,soft,5Y 3/2,,,,,,,,,,,,
323-U1342C-1H-2-A,323,U1342,C,1,1-2,H,2,A,60,150,2.1,3,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1342C-1H-3-A,323,U1342,C,1,1-3,H,3,A,0,7,3,3.07,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
323-U1342C-1H-3-A,323,U1342,C,1,1-3,H,3,A,7,18,3.07,3.18,silt [S54],,foraminifer and diatom-rich,foraminifer and diatom-rich silt,100,soft,5Y 3/2,,,,,,,,,,,,
323-U1342C-1H-3-A,323,U1342,C,1,1-3,H,3,A,18,42,3.18,3.42,clayey silt [S54],"Shepard, 1954",nannofossil- and diatom-bearing foraminifer-rich,nannofossil- and diatom-bearing foraminifer-rich clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,
