Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
350-U1437B-1H-1-A,350,U1437,B,1,1-1,H,1,A,0.0,70.0,0.0,0.7,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-1-A,350,U1437,B,1,1-1,H,1,A,70.0,75.0,0.7,0.75,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,irregular,sharp to gradational,inclined,,well [2014],,,none [DB86],0.0,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-1H-1-A,350,U1437,B,1,1-1,H,1,A,75.0,150.0,0.75,1.5,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-2-A,350,U1437,B,1,1-2,H,2,A,0.0,19.0,1.5,1.69,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-2-A,350,U1437,B,1,1-2,H,2,A,19.0,47.0,1.69,1.97,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,planar,sharp,horizontal,,,normally graded,stratified at the base,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-1H-2-A,350,U1437,B,1,1-2,H,2,A,47.0,150.0,1.97,3.0,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-3-A,350,U1437,B,1,1-3,H,3,A,0.0,6.0,3.0,3.06,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,with foram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-3-A,350,U1437,B,1,1-3,H,3,A,6.0,21.0,3.06,3.21,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,pumice,vitric matrix [2014],crystal matrix [2014],,,pumice,,,,,
350-U1437B-1H-3-A,350,U1437,B,1,1-3,H,3,A,21.0,44.0,3.21,3.44,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,with foram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-3-A,350,U1437,B,1,1-3,H,3,A,44.0,54.0,3.44,3.54,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,,,,
350-U1437B-1H-3-A,350,U1437,B,1,1-3,H,3,A,54.0,111.0,3.54,4.11,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,with foram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-4-A,350,U1437,B,1,1-4,H,4,A,0.0,91.0,4.11,5.02,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,with foram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-1H-CC-A,350,U1437,B,1,1-CC,H,CC,A,0.0,22.0,5.02,5.24,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-1-A,350,U1437,B,2,2-1,H,1,A,0.0,91.0,5.2,6.11,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-2-A,350,U1437,B,2,2-2,H,2,A,0.0,75.0,6.11,6.86,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-3-A,350,U1437,B,2,2-3,H,3,A,0.0,145.0,6.86,8.31,I,,,,tuffaceous,mud [2014],with lapilli-ash [2014],tuffaceous mud,tuffaceous mud with lapilli-ash,mud with lapilli-ash,,,,,,,,,,,,,,,,,,,foraminifera,,vitric [2014],,,,,,,,,scoria [2014],,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,0.0,49.0,8.36,8.85,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,49.0,69.0,8.85,9.05,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,69.0,75.0,9.05,9.11,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,,,,,,,,irregular,diffuse,horizontal,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437B-2H-4-A,350,U1437,B,2,2-4,H,4,A,75.0,120.0,9.11,9.56,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,foraminifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
