Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ lith. Abundance (%),MAJ Lith. Ave. grain size,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,File Data
342-U1408A-1H-1-A,342,U1408,A,1,1-1,H,1,A,0,41,0,0.41,clayey [Leg339],silt [Leg339],,clayey  silt ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,
342-U1408A-1H-1-A,342,U1408,A,1,1-1,H,1,A,41,150,0.41,1.5,clayey [Leg339],silt [Leg339],,clayey  silt ,2.5Y 5/1 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   silt ,silt ,,,,,,
342-U1408A-1H-2-A,342,U1408,A,1,1-2,H,2,A,0,90,1.5,2.4,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,Blebs of 5YR 5/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408A-1H-2-A,342,U1408,A,1,1-2,H,2,A,90,142,2.4,3,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/2 (pinkish gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408A-1H-3-A,342,U1408,A,1,1-3,H,3,A,0,113,3,4.13,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408A-1H-CC-A,342,U1408,A,1,1-CC,H,CC,A,0,19,4.13,4.32,nannofossil [Leg339],foraminiferal ooze [Leg339],,nannofossil  foraminiferal ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,3cm layer of 5YR 5/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   foraminiferal ooze ,foraminiferal ooze ,,,,,,
342-U1408A-2H-1-A,342,U1408,A,2,2-1,H,1,A,0,150,4.3,5.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-2H-2-A,342,U1408,A,2,2-2,H,2,A,0,150,5.8,7.3,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-2H-3-A,342,U1408,A,2,2-3,H,3,A,0,150,7.3,8.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-2H-4-A,342,U1408,A,2,2-4,H,4,A,0,150,8.8,10.3,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 5/3 (brown),,,,heavy_339 [DB91],5,,Color alternates with 7.5YR 7/2 on decimeter scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
342-U1408A-2H-5-A,342,U1408,A,2,2-5,H,5,A,0,150,10.3,11.8,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal  nannofossil ooze ,7.5YR 6/3 (light brown),,,,heavy_339 [DB91],5,,"Large Mn nodules at 23, 75cm. Below 40cm, lots of black specks, presumably Mn oxides. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,foraminiferal   nannofossil ooze ,nannofossil ooze ,,,,,,
