Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max ,Lithification,Comment,File Data,
329-U1368F-1R-1-A,329,U1368,F,1,1-1,R,1,A,0,78,0.0,0.78,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-1-A,329,U1368,F,1,1-1,R,1,A,78,108,0.78,1.08,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-1-A,329,U1368,F,1,1-1,R,1,A,108,150,1.08,1.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-2-A,329,U1368,F,1,1-2,R,2,A,0,150,1.5,3.0,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-3-A,329,U1368,F,1,1-3,R,3,A,0,50,3.0,3.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-3-A,329,U1368,F,1,1-3,R,3,A,50,71,3.5,3.71,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1368F-1R-CC-A,329,U1368,F,1,1-CC,R,CC,A,0,12,3.71,3.83,nannofossil,marl [MMK88],,nannofossil marl,"Mazullo, Meyer & Kidd, 1988",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
