Exp,Site,Hole,Core,Type,Core-Sect,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Diagenetic constituent,Diagenetic constituent composition,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,File Data,Ship File Links,Shore File Links,Sample,Extra Sample ID Data
361,U1476,D,2,H,,,,0,968,1,10.68,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,brown,7.5YR 6/4 (light brown),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H,
361,U1476,D,2,H,2-1,1,A,0,150,1,2.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,brown,7.5YR 6/4 (light brown),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-1-A,
361,U1476,D,2,H,2-2,2,A,0,150,2.5,4,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light gray,2.5YR 6/2 (pale red),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-2-A,
361,U1476,D,2,H,2-3,3,A,0,150,4,5.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-3-A,
361,U1476,D,2,H,2-4,4,A,0,46,5.5,5.96,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-4-A,
361,U1476,D,2,H,2-4,4,A,46,150,5.96,7,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-4-A,
361,U1476,D,2,H,2-5,5,A,0,10,7,7.1,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-5-A,
361,U1476,D,2,H,2-5,5,A,10,150,7.1,8.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-5-A,
361,U1476,D,2,H,2-6,6,A,0,86,8.5,9.36,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-6-A,
361,U1476,D,2,H,2-6,6,A,86,140,9.36,9.9,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-6-A,
361,U1476,D,2,H,2-7,7,A,0,54,9.9,10.44,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-7-A,
361,U1476,D,2,H,2-CC,CC,A,0,24,10.44,10.68,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,light greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-2H-CC-A,
361,U1476,D,3,H,3-1,1,A,0,150,10.5,12,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-1-A,
361,U1476,D,3,H,3-2,2,A,0,150,12,13.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-2-A,
361,U1476,D,3,H,3-3,3,A,0,40,13.5,13.9,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-3-A,
361,U1476,D,3,H,3-3,3,A,40,150,13.9,15,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-3-A,
361,U1476,D,3,H,3-4,4,A,0,18,15,15.18,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-4-A,
361,U1476,D,3,H,3-4,4,A,18,96,15.18,15.96,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,curviplanar,sharp,sub-horizontal,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-4-A,
361,U1476,D,3,H,3-4,4,A,96,150,15.96,16.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-4-A,
361,U1476,D,3,H,3-5,5,A,0,73,16.5,17.23,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-5-A,
361,U1476,D,3,H,3-5,5,A,73,120,17.23,17.7,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-5-A,
361,U1476,D,3,H,3-5,5,A,120,150,17.7,18,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-5-A,
361,U1476,D,3,H,3-6,6,A,0,150,18,19.5,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-6-A,
361,U1476,D,3,H,3-7,7,A,0,61,19.5,20.11,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-7-A,
361,U1476,D,3,H,3-CC,CC,A,0,17,20.11,20.28,1,nannofossil bearing,foraminiferal ooze,,nannofossil bearing foraminiferal ooze,nannofossil bearing foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-3H-CC-A,
361,U1476,D,4,H,4-1,1,A,0,150,20,21.5,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-1-A,
361,U1476,D,4,H,4-2,2,A,0,150,21.5,23,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,slight,1,,mineral,pyrite,,,,,,,361-U1476D-4H-2-A,
361,U1476,D,4,H,4-3,3,A,0,150,23,24.5,1,nannofossil rich,foraminiferal ooze,,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-3-A,
361,U1476,D,4,H,4-4,4,A,0,150,24.5,26,1,nannofossil rich,foraminiferal ooze,,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-4-A,
361,U1476,D,4,H,4-5,5,A,0,46,26,26.46,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-5-A,
361,U1476,D,4,H,4-5,5,A,46,91,26.46,26.91,1,nannofossil rich,foraminiferal ooze,,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-5-A,
361,U1476,D,4,H,4-5,5,A,91,150,26.91,27.5,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-5-A,
361,U1476,D,4,H,4-6,6,A,0,51,27.5,28.01,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-4H-6-A,
361,U1476,D,4,H,4-6,6,A,51,87,28.01,28.37,1,nannofossil rich,foraminiferal ooze,,nannofossil rich foraminiferal ooze,nannofossil rich foraminiferal ooze,foraminiferal ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,medium sand,5,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-4H-6-A,
361,U1476,D,4,H,4-6,6,A,87,130,28.37,28.8,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,strong,3,,mineral,pyrite,,,,,,,361-U1476D-4H-6-A,
361,U1476,D,4,H,4-7,7,A,0,58,28.8,29.38,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-7-A,
361,U1476,D,4,H,4-CC,CC,A,0,23,29.38,29.61,1,foraminifer rich,nannofossil ooze,,foraminifer rich nannofossil ooze,foraminifer rich nannofossil ooze,nannofossil ooze,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-4H-CC-A,
361,U1476,D,5,H,5-1,1,A,0,150,29.5,31,2,,nannofossil ooze,with foraminifers,nannofossil ooze,nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,greenish gray,GLEY 1 6/10Y (greenish gray),unconsolidated,clay,1,medium sand,5,diagenetic stratification,,,,,,,burrows,moderate,2,,mineral,pyrite,,,,,,,361-U1476D-5H-1-A,
