Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Lith. accessory shell fragment,Lith. accessory cement,Lith. accessory nodule/concretion,Lith. accessory sulfide,Lithological accessories comment,Macrofossil,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],Diagenetic constituent,Diagenetic constituent composition,Deformational structures,structure,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
346-U1427A-1H-1-A,0,91,0,0.91,nannofossil bearing,clayey silt ,with volcanic ash ,nannofossil bearing clayey silt  with volcanic ash ,,,,,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,nannofossil bearing  clayey silt ,clayey silt   with volcanic ash ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,1,H,1,A,
346-U1427A-1H-2-A,0,70,0.91,1.61,volcaniclastic bearing,clayey silt ,with nannofossils ,volcaniclastic bearing clayey silt  with nannofossils ,,,,,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,volcaniclastic bearing  clayey silt ,clayey silt   with nannofossils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,1,H,2,A,
346-U1427A-1H-CC-A,0,18,1.61,1.79,volcaniclastic bearing,clayey silt ,with nannofossils ,volcaniclastic bearing clayey silt  with nannofossils ,,,,,5Y 3/1 (very dark gray),heavy ,3,,,,,,,,,,,,,,,volcaniclastic bearing  clayey silt ,clayey silt   with nannofossils ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,1,H,CC,A,
346-U1427A-2H-1-A,0,150,1.8,3.3,sandy ,clayey silt ,,sandy  clayey silt ,,,,,5Y 2.5/1 (black),heavy ,3,,,,,,,,,,,,,,,sandy   clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,1,A,
346-U1427A-2H-1-A,90,91,2.7,2.71,,,,,,,,,,,,,,,,,,,,,,,,,shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,1,A,
346-U1427A-2H-2-A,0,150,3.3,4.8,sandy ,clayey silt ,,sandy  clayey silt ,,,,,5Y 2.5/1 (black),heavy ,3,,,,,,,,,,,,,,,sandy   clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,2,A,
346-U1427A-2H-2-A,111,113,4.41,4.43,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,2,A,
346-U1427A-2H-3-A,0,150,4.8,6.3,,clayey silt ,with diatoms ,clayey silt  with diatoms ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt   with diatoms ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,3,A,
346-U1427A-2H-4-A,0,55,6.3,6.85,,clayey silt ,,clayey silt ,,,,,5GY 4/1 (dark greenish gray),heavy ,3,,,,,,,,,,,,,,,clayey silt ,clayey silt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,4,A,
346-U1427A-2H-4-A,2,9,6.32,6.39,,,,,vitric,volcaniclastic-bearing,2,,N 6 (gray),heavy ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,U1427,A,2,H,4,A,
