Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,0.0,4.5,0.0,0.045,,ash(tuff) [MMK88m],,ash(tuff),ash,4,,5YR 5/3 (reddish brown),,,absent [A79],,,,,,,,,,fe oxide,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,4.5,13.0,0.045,0.13,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,13.0,28.0,0.13,0.28,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),none [DB86],0,absent [A79],,,,,,,,,,fe oxide,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,28.0,30.0,0.28,0.3,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10YR 2/2 (very dark brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,30.0,35.0,0.3,0.35,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),slight [DB86],1,absent [A79],,,,,,,,,,fe oxide,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,35.0,63.0,0.35,0.63,,mud [Leg210],,mud ,,,,10YR 5/1 (gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,63.0,65.0,0.63,0.65,volcaniclastic rich,silt [Leg210],,volcaniclastic rich silt ,volcaniclastic-rich,3,,10YR 2/2 (very dark brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,65.0,73.0,0.65,0.73,,mud [Leg210],,mud ,,,,10YR 4/2 (dark grayish brown),slight [DB86],1,absent [A79],,,,,,,,,,fe oxide,,,,,,
341-U1417D-1H-1-A,341,U1417,D,1,1-1,H,1,A,73.0,150.0,0.73,1.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint green bands,,,,,
341-U1417D-1H-2-A,341,U1417,D,1,1-2,H,2,A,0.0,150.0,1.5,3.0,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,"faint green bands, otherwise massive",,,,,
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,0.0,14.0,3.0,3.14,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,14.0,15.0,3.14,3.15,,silt [Leg210],,silt ,,,,10YR 4/2 (dark grayish brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,15.0,150.0,3.15,4.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,
341-U1417D-1H-4-A,341,U1417,D,1,1-4,H,4,A,0.0,39.0,4.5,4.89,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,
341-U1417D-1H-4-A,341,U1417,D,1,1-4,H,4,A,39.0,137.0,4.89,5.87,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,5GY 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,faint black bands; small carbonate component in smear slide,,,,,
341-U1417D-1H-CC-A,341,U1417,D,1,1-CC,H,CC,A,0.0,13.0,5.87,6.0,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-1H-CC-A,341,U1417,D,1,1-CC,H,CC,A,13.0,18.0,6.0,6.05,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1417D-2H-1-A,341,U1417,D,2,2-1,H,1,A,0.0,150.0,6.0,7.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,black mottling; w/ green/black bands,,,,,
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,0.0,117.0,7.5,8.67,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint black mottling; w/ green/black color bands,,,,,
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,117.0,118.0,8.67,8.68,,silt [Leg210],,silt ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,118.0,150.0,8.68,9.0,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint black mottling; w/ green/black color bands,,,,,
341-U1417D-2H-3-A,341,U1417,D,2,2-3,H,3,A,0.0,25.0,9.0,9.25,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green color bands,,,,,
341-U1417D-2H-3-A,341,U1417,D,2,2-3,H,3,A,25.0,150.0,9.25,10.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1417D-2H-4-A,341,U1417,D,2,2-4,H,4,A,0.0,68.0,10.5,11.18,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,1,,,,,granule [W22_2],subrounded,,,,1 elongate clast 1 cm at 23 cm,,,,,
341-U1417D-2H-4-A,341,U1417,D,2,2-4,H,4,A,68.0,148.0,11.18,11.98,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,0.0,11.0,12.0,12.11,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,11.0,14.0,12.11,12.14,,ash(tuff) [MMK88m],,ash(tuff),ash,4,normal grading,10Y 4/2 (grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,14.0,122.0,12.14,13.22,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1417D-2H-6-A,341,U1417,D,2,2-6,H,6,A,0.0,118.0,13.22,14.4,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1417D-2H-CC-A,341,U1417,D,2,2-CC,H,CC,A,0.0,6.0,14.4,14.46,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1417D-2H-CC-A,341,U1417,D,2,2-CC,H,CC,A,6.0,11.0,14.46,14.51,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,0.0,12.0,15.5,15.62,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,12.0,13.0,15.62,15.63,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,13.0,37.0,15.63,15.87,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,37.0,38.0,15.87,15.88,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,38.0,61.0,15.88,16.11,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,61.0,62.0,16.11,16.12,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,62.0,92.0,16.12,16.42,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,92.0,93.0,16.42,16.43,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,93.0,120.0,16.43,16.7,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,120.0,121.0,16.7,16.71,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,121.0,150.0,16.71,17.0,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,present [A79],3,,,,,pebble [W22_2],subrounded,,,,"1 clast 0.5 cm, rounded, at 133; 1 clast 1.5 cm, angular, at 141 cm; 1 clast 2.5 cm, subrounded, at 143 cm",,,,,
341-U1417D-3H-2-A,341,U1417,D,3,3-2,H,2,A,0.0,12.0,17.0,17.12,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-2-A,341,U1417,D,3,3-2,H,2,A,12.0,150.0,17.12,18.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],4,,,,,pebble [W22_2],angular,,,,"1 clast 1 cm, elongate, rounded, at 28 cm; 1 clast 0.5 cm at 72.5 cm; 1 clast 2 cm, subangular, at 118 cm; 1 clast 0.5 cm at 136 cm",,,,,
341-U1417D-3H-3-A,341,U1417,D,3,3-3,H,3,A,0.0,150.0,18.5,20.0,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,massive mud,,,,,
341-U1417D-3H-4-A,341,U1417,D,3,3-4,H,4,A,0.0,106.0,20.0,21.06,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1417D-3H-5-A,341,U1417,D,3,3-5,H,5,A,0.0,140.0,21.06,22.46,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,massive mud; clast at 65 cm moved upward from 115 cm during coring,,,,,
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,0.0,76.0,22.46,23.22,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"1 clast 2.5 cm, subrounded, argillite, at 48.5 cm",,,,,
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,76.0,81.0,23.22,23.27,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,81.0,87.0,23.27,23.33,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,87.0,108.0,23.33,23.54,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,108.0,125.0,23.54,23.71,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,
341-U1417D-3H-7-A,341,U1417,D,3,3-7,H,7,A,0.0,50.0,23.71,24.21,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,0.0,7.0,24.21,24.28,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,7.0,11.0,24.28,24.32,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,11.0,27.0,24.32,24.48,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,27.0,35.0,24.48,24.56,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,0.0,31.5,25.0,25.315,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,31.5,32.0,25.315,25.32,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,32.0,65.0,25.32,25.65,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,65.0,67.0,25.65,25.67,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,
