Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data
341-U1420A-2R-1-A,0,95,9.7,10.65,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clast: sandstone 10, siltstone 3,",,,,,
341-U1420A-2R-1-A,95,100,10.65,10.7,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1420A-2R-2-A,0,57,10.7,11.27,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: granite 1, basalt 1, sdst 3, siltst 2",,,,,
341-U1420A-2R-CC-A,0,12,11.27,11.39,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,
341-U1420A-4R-1-A,0,38,29.1,29.48,muddy [Leg339],clast-rich diamict [M89m],with foraminifers [Leg339],muddy  clast-rich diamict  with foraminifers ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: siltst 8, basalt 3, sdst 2, vein qtz 1, granite 1",,,,,
341-U1420A-4R-CC-A,0,27,29.48,29.75,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,"clasts: siltst 2, granite 1, sdst 1, basalt 1",,,,,
341-U1420A-5R-1-A,0,55,38.8,39.35,silty,clast-poor diamict [M89m],,silty clast-poor diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, granitoid, basalt;
up to 2.5cm",,,,,
341-U1420A-5R-1-A,55,60,39.35,39.4,,,,,,,,,,,,,,,,,,,,,,IW,,,,,
341-U1420A-5R-CC-A,0,30,39.4,39.7,silty,clast-rich diamict [M89m],,silty clast-rich diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: sandstone, siltstone;
up to 3cm",,,,,
341-U1420A-5R-CC-A,30,35,39.7,39.75,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-6R-CC-A,0,13,48.5,48.63,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, metasiltstone",,,,,
341-U1420A-6R-CC-A,13,17,48.63,48.67,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-7R-CC-A,0,7,58.2,58.27,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,"all matrix (major lithology) washed away/not recovered;
6cm siltstone",,,,,
341-U1420A-8R-CC-#1-A,0,5,67.9,67.95,,mud [Leg210],,mud ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,
341-U1420A-8R-CC-#2-A,0,14,67.95,68.09,,,,,,,,,,,present [A79],8,,,pebble [W22_2],subrounded,,,,,,"all matrix (major lithology) washed away/not recovered;
clasts include: sandstone, slate; up to 4cm",,,,,
341-U1420A-8R-CC-#3-A,0,21,68.09,68.3,,,,,,,,,,,,,,,pebble [W22_2],subrounded,pebble [W22_2],subrounded,,,,"all matrix (major lithology) washed away/not recovered;
clasts include: argillite, metasandstone, volcanic; up to 6cm",,,,,
341-U1420A-9R-CC-A,0,10,73.4,73.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],5,,,pebble [W22_2],subrounded,pebble [W22_2],subrounded,,,,"clasts include: sandstone, argillite, siltstone, volcanic",,,,,
341-U1420A-9R-CC-A,10,33,73.5,73.73,,,,,,,,,,,present [A79],4,,,pebble [W22_2],subrounded,cobble [W22_2],subrounded,,,,11cm metasiltstone; sandstones,,,,,
341-U1420A-9R-CC-A,33,38,73.73,73.78,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-9R-CC-A,38,41,73.78,73.81,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,5cm siltstone,,,,,
341-U1420A-10R-1-#1,0,9,79.9,79.99,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,pyrite bearing (meta?)graywacke,,,,,
341-U1420A-10R-1-#2,0,13,79.99,80.12,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"chlorite bearing, greenstone",,,,,
341-U1420A-10R-1-#3,0,10,80.12,80.22,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,fine grained sandstone,,,,,
341-U1420A-10R-1-#4,0,3,80.22,80.25,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subangular,,,,,,siltstone,,,,,
341-U1420A-11R-1-#1-A,0,10,89.6,89.7,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,medium to coarse grained sandstone (with pyrite),,,,,
341-U1420A-11R-1-#2-A,0,8,89.7,89.78,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,greenstone,,,,,
341-U1420A-12R,0,8,99.3,99.38,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,green metasiltstone?,,,,,
341-U1420A-13R-1-#1-A,0,8,109,109.08,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,
341-U1420A-13R-1-#2-A,0,10,109.08,109.18,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone or very fine sandstone,,,,,
341-U1420A-13R-1-#3-A,0,7,109.18,109.25,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,coarse grained granite,,,,,
341-U1420A-13R-1-#4-A,0,10,109.25,109.35,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (with bioturbation burrows?),,,,,
341-U1420A-13R-1-#5-A,0,8,109.35,109.43,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,
341-U1420A-13R-1-#6-A,0,7,109.43,109.5,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,
341-U1420A-13R-1-#7-A,0,9,109.5,109.59,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,
341-U1420A-14R-1-#1-A,0,8,118.7,118.78,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,
341-U1420A-14R-1-#2-A,0,8,118.78,118.86,,,,,,,,,,,present [A79],1,cobble [W22_2],subangular,,,,,,,,"coarse grained, mica-rich diorite",,,,,
341-U1420A-14R-1-#3-A,0,7,118.86,118.93,,,,,,,,,,,present [A79],3,pebble [W22_2],subangular,,,,,,,,"1 quartz, two siltstone pebbles",,,,,
341-U1420A-14R-1-#4-A,0,10,118.93,119.03,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (or very fine sandstone),,,,,
341-U1420A-15R,0,6,128.4,128.46,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,greenstone?,,,,,
341-U1420A-15R,0,6,128.4,128.46,,,,,,,,,,,present [A79],2,,,pebble [W22_2],subangular,,,,,,siltstone and laminated siltstone,,,,,
341-U1420A-16R-1-#1-A,0,5,138.1,138.15,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,
341-U1420A-16R-1-#2-A,0,4,138.15,138.19,,,,,,,,,,,present [A79],3,pebble [W22_2],subangular,,,,,,,,3 siltstone pebbles,,,,,
341-U1420A-16R-1-#3-A,0,6,138.19,138.25,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,
341-U1420A-16R-1-#4-A,0,6,138.25,138.31,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (with pyrite),,,,,
341-U1420A-17R-1-#1-A,0,8,147.8,147.88,,,,,,,,,,,present [A79],3,,,,,,,,,,sandstones; small bit of matrix attached,,,,,
341-U1420A-17R-1-#10-A,0,10,148.56,148.66,,,,,,,,,,,present [A79],2,,,,,,,,,,sandstone,,,,,
341-U1420A-17R-1-#2-A,0,11,147.88,147.99,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],14,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,,,"clasts include: siltstone, sandstone, igneous (1.5cm); 1-3cm clasts",,,,,
341-U1420A-17R-1-#3-A,0,5,147.99,148.04,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-17R-1-#4-A,0,11,148.04,148.15,,,,,,,,,,,present [A79],1,,,,,,,,,,volcaniclastic sandstone,,,,,
341-U1420A-17R-1-#5-A,0,11,148.15,148.26,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-17R-1-#6-A,0,7,148.26,148.33,,,,,,,,,,,present [A79],1,,,,,,,,,,coarse grained metasandstone,,,,,
341-U1420A-17R-1-#7-A,0,11,148.33,148.44,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-17R-1-#8-A,0,8,148.44,148.52,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-17R-1-#9-A,0,4,148.52,148.56,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-18R-1-#1-A,0,4,157.5,157.54,,,,,,,,,,,present [A79],1,,,,,,,,,,felsic magmatic,,,,,
341-U1420A-18R-1-#2-A,0,5,157.54,157.59,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-18R-1-#3-A,0,7,157.59,157.66,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,
341-U1420A-18R-1-#4-A,0,7,157.66,157.73,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-19R-1-#1-A,0,4,167.2,167.24,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-19R-1-#10-A,0,7,167.8,167.87,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,
341-U1420A-19R-1-#11-A,0,3,167.87,167.9,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,
341-U1420A-19R-1-#12-A,0,9,167.9,167.99,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-19R-1-#2-A,0,3,167.24,167.27,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
341-U1420A-19R-1-#3-A,0,3,167.27,167.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,
341-U1420A-19R-1-#4-A,0,12,167.3,167.42,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,
