Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix + name,MAJ Lith. prefix+name+suffix,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. color,MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. abundance [%],MIN Lith. color,MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,"Layer, boundary, lamination, grading",Layer or bedding thickness,Clasts abundance,Diagenetic constituent,Diagenetic structure,Bioturbation intensity,Bioturbation intensity rank,Macrofossil abundance name,Deformational structures,General interval comment,MAJ Lith. Prefix abundance Plot [%],MAJ Lith. Principal name abundance Plot [%],File data
339-U1385D-1H-1-A,339,U1385,D,1,1-1,H,1,A,0,8,0.0,0.08,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/3 (brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,sharp contact,,,,,,moderate_339 ,4,,,Brown soupy clay with forams (Holocene?).,100,100,
339-U1385D-1H-1-A,339,U1385,D,1,1-1,H,1,A,8,151,0.08,1.51,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,Grayish brown bioturbated clay with forams.,100,100,
339-U1385D-1H-2-A,339,U1385,D,1,1-2,H,2,A,0,151,1.51,3.02,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,
339-U1385D-1H-3-A,339,U1385,D,1,1-3,H,3,A,0,151,3.02,4.53,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,
339-U1385D-1H-4-A,339,U1385,D,1,1-4,H,4,A,0,150,4.53,6.03,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,
339-U1385D-1H-5-A,339,U1385,D,1,1-5,H,5,A,0,74,6.03,6.77,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,
339-U1385D-1H-CC-A,339,U1385,D,1,1-CC,H,CC,A,0,22,6.77,6.99,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,2.5Y 5/2 (grayish brown),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,moderate_339 ,4,,,,100,100,
339-U1385D-2H-1-A,339,U1385,D,2,2-1,H,1,A,0,150,6.9,8.4,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams.,100,100,
339-U1385D-2H-2-A,339,U1385,D,2,2-2,H,2,A,0,151,8.4,9.91,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams. Several cracks.,100,100,
339-U1385D-2H-3-A,339,U1385,D,2,2-3,H,3,A,0,152,9.91,11.43,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams. Several cracks. Zoophycos-type burrows. Pyritised layer (141 cm).,100,100,
339-U1385D-2H-4-A,339,U1385,D,2,2-4,H,4,A,0,152,11.43,12.95,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams. Several cracks.,100,100,
339-U1385D-2H-5-A,339,U1385,D,2,2-5,H,5,A,0,124,12.95,14.19,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10YR 5/1 (gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,bioturbated boundary or contact,,,,,,slight_339 ,3,,,Greenish gray clay with forams. Crack (14-16 cm).,100,100,
339-U1385D-2H-5-A,339,U1385,D,2,2-5,H,5,A,124,150,14.19,14.45,,nannofossil ooze ,with mud ,nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 6/2 (light olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Light olive gray clay with forams.,100,100,
339-U1385D-2H-6-A,339,U1385,D,2,2-6,H,6,A,0,75,14.45,15.2,,nannofossil ooze ,with mud ,nannofossil ooze ,nannofossil ooze  with mud ,nannofossil ooze   with mud ,100,5Y 6/2 (light olive gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,color contact,,,,,,slight_339 ,3,,,,100,100,
339-U1385D-2H-6-A,339,U1385,D,2,2-6,H,6,A,75,151,15.2,15.96,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10Y 5/1 (greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams. Zoophycos-type burrows.,100,100,
339-U1385D-2H-7-A,339,U1385,D,2,2-7,H,7,A,0,69,15.96,16.65,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10Y 5/1 (greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams.,100,100,
339-U1385D-2H-CC-A,339,U1385,D,2,2-CC,H,CC,A,0,24,16.65,16.89,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,100,10Y 5/1 (greenish gray),clay ,1,medium sand ,5,,,,,,,,,,,,,100,,,,,,,slight_339 ,3,,,Greenish gray clay with forams.,100,100,
339-U1385D-3H-1-A,339,U1385,D,3,3-1,H,1,A,0,150,16.4,17.9,muddy ,nannofossil ooze ,,muddy   nannofossil ooze ,muddy  nannofossil ooze ,nannofossil ooze ,60,10Y 5/1 (greenish gray),clay ,1,medium sand ,5,,nannofossil ooze ,with clay ,nannofossil ooze ,nannofossil ooze  with clay ,nannofossil ooze   with clay ,40.0,10Y 6/1 (greenish gray),clay ,1.0,medium sand ,5.0,100,,layering,thick bed ,,,,slight_339 ,3,,,Color banded (50-70 cm).,60,60,
