Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,Lithology Suffix
323-U1343A-1H-1-A,323,U1343,A,1,1-1,H,1,A,0,21,0,0.21,diatom ooze,Leg 323,,diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1343A-1H-1-A,323,U1343,A,1,1-1,H,1,A,21,80,0.21,0.8,diatom silt,Leg 323,,diatom silt,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-1H-1-A,323,U1343,A,1,1-1,H,1,A,80,110,0.8,1.1,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1343A-1H-1-A,323,U1343,A,1,1-1,H,1,A,110,146,1.1,1.46,silty clay [S54],"Shepard, 1954",diatom-rich,diatom-rich silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,,,,,
323-U1343A-1H-1-A,323,U1343,A,1,1-1,H,1,A,146,150,1.46,1.5,diatom ooze,Leg 323,nannofossil- and foraminifer-bearing,nannofossil- and foraminifer-bearing diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1343A-1H-2-A,323,U1343,A,1,1-2,H,2,A,0,127,1.5,2.77,diatom ooze,Leg 323,nannofossil- and foraminifer-bearing,nannofossil- and foraminifer-bearing diatom ooze,100,soft,5Y 4/2,,,,,,,,,,,,,,,,,
323-U1343A-1H-2-A,323,U1343,A,1,1-2,H,2,A,127,150,2.77,3,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-1H-3-A,323,U1343,A,1,1-3,H,3,A,0,150,3,4.5,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-1H-4-A,323,U1343,A,1,1-4,H,4,A,0,87,4.5,5.37,diatom silty clay,Leg 323,,diatom silty clay,100,soft,5GY 4/1,,,,,,,,,,,,,,,,,
323-U1343A-2H-1-A,323,U1343,A,2,2-1,H,1,A,0,150,5.5,7,clay [S54] ,,diatom-bearing,diatom-bearing clay,100,soft,10Y 3/1,,,,,,,,,,,,,,,,,
