Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,MAJ Lith. Principal name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,MIN Lith. Principal name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
340-U1398B-1H-1-A,0,30,0,0.3,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,1,0,0,2,3,94,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,30,32,0.3,0.32,moderate [drilling disturbance],4,volcaniclastic-sand [BGS-S81],100,fine sand [T07],4,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,70,0,0,10,0,20,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,32,50,0.32,0.5,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,1,0,0,2,3,94,,very well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,50,69,0.5,0.69,moderate [drilling disturbance],4,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,1,0,0,2,3,94,,very well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,69,89,0.69,0.89,high [drilling disturbance],6,volcaniclastic-sand [BGS-S81],100,medium sand [T07],6,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,50,0,5,0,30,0,0,5,10,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,89,93,0.89,0.93,moderate to high [drilling disturbance],5,carbonate ooze [Leg178],100,fine mud [T07],3,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,0,0,0,0,1,0,0,2,3,94,,well [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-1-A,93,150,0.93,1.5,moderate to high [drilling disturbance],5,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,5,50,,0,,0,,0,,0,,50,,0,,,,rounded,20,0,20,0,53,0,0,2,5,0,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,1,A,
340-U1398B-1H-2-A,0,90,1.5,2.4,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,10,99,pebble [W22_2],0,,0,,0,,0,,0,,1,granule [T07],,"single pumice clasts at 60 mm, single mud clasts, 40 mm",rounded,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,2,A,
340-U1398B-1H-2-A,90,150,2.4,3,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,2,A,
340-U1398B-1H-3-A,0,150,3,4.5,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,1,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,3,A,
340-U1398B-1H-4-A,0,150,4.5,6,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,2,100,granule [T07],0,,0,,0,,0,,0,,0,,,,rounded,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,4,A,
340-U1398B-1H-5-A,0,10,6,6.1,minimal [drilling disturbance],1,volcaniclastic-sand [BGS-S81],100,coarse sand [T07],7,,,,,100,,0,0,,0,,0,,0,,0,,0,,0,,,,,10,0,10,0,75,0,0,0,0,5,,moderate [BP01],absent [alteration],0,,,,,,,,,,340,U1398,B,1,H,5,A,
