Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Drilling disturbance intensity,Drilling disturbance intensity rank,Lithology Principal Name,MAJ Lith. abundance [%],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank,Minor Lithology Name,MIN Lith. abundance [%],MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Lith. comment,Clast percentage [%],Clast 1 igneous - pumiceous [%],Clast 1 igneous - pumiceous grain size,Clast 2 igneous - scoriaceous [%],Clast 2 igneous - scoriaceous grain size,Clast 3 igneous - massive [%],Clast 3 igneous - massive grain size,Clast 4 igneous - vesicular [%],Clast 4 igneous - vesicular grain size,Clast 5 volcaniclastic [%],Clast 5 volcaniclastic grain size,Clast 6 sediment [%],Clast 6 sediment grain size,Clast 7 -other lithology [%],Clast 7 -other lithology grain size,Clast lith. abund. sum [%],Clast lithology comment,Clast roundness,Matrix 1 igneous - pumiceous [%],Matrix 2 igneous - scoriaceous [%],Matrix 3 igneous - massive [%],Matrix 4 igneous - vesicular [%],Matrix 5 volcaniclastic [%],Matrix 6 sediment [%],Matrix 7 -other lithology [%],Matrix biogenic carbonate [%],Matrix detritical carbonate [%],Matrix carbonate [%],Matrix abund. sum [%],Matrix sorting,Matrix alteration intensity,Matrix alteration rank,Matrix comment,Deformational structures,Deformational structure strike [deg],Deformational structure dip [deg],Deformational structure comment,Groundmass modal percentage [%],Groundmass modal grain size [mm],Groundmass comments,File Data,Minor Lithology Prefix,Lithology Suffix,Lithology Prefix,Minor Lithology Suffix
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,0.0,10.0,0.0,0.1,minimal [drilling disturbance],1.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,volcaniclastic sand,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,10.0,29.0,0.1,0.29,slight [drilling disturbance],2.0,calcareous sand [Leg210],90.0,fine sand [T07],4.0,volcaniclastic-sand [BGS-S81],10.0,fine sand [T07],4.0,100.0,"mixture of bioclastic volcaniclastic sediments, mottled",0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,moderate [BP01],rare [alteration],2.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,29.0,38.0,0.29,0.38,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,grey hemipelagic sediment,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,38.0,43.0,0.38,0.43,moderate [drilling disturbance],4.0,volcaniclastic-sand [BGS-S81],100.0,fine sand [T07],4.0,,,,,100.0,volcaniclastic sediment,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,43.0,55.0,0.43,0.55,slight [drilling disturbance],2.0,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,hemipelagic sediment,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,55.0,66.0,0.55,0.66,slight to moderate [drilling disturbance],3.0,calcareous sand [Leg210],70.0,fine sand [T07],4.0,volcaniclastic-sand [BGS-S81],30.0,medium sand [T07],6.0,100.0,"mixture of bioclastic and volcaniclastic turbidite, normally graded",0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,66.0,101.0,0.66,1.01,slight to moderate [drilling disturbance],3.0,carbonate ooze [Leg178],90.0,silt-fine mud [T07],2.0,calcareous sand [Leg210],10.0,fine sand [T07],4.0,100.0,mottled hemipelagic sediments dominated by silt to fine mud in size.,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,101.0,116.0,1.01,1.16,slight [drilling disturbance],2.0,calcareous sand [Leg210],70.0,fine sand [T07],4.0,volcaniclastic-sand [BGS-S81],30.0,fine sand [T07],4.0,100.0,"mixture of bioclastic and volcaniclastic turbidite, normally graded.",0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,moderate [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-1-A,340,U1395,A,1,1-1,H,1,A,116.0,150.0,1.16,1.5,moderate [drilling disturbance],4.0,carbonate ooze [Leg178],60.0,fine mud [T07],3.0,carbonate ooze [Leg178],40.0,silt-fine mud [T07],2.0,100.0,mottled hemipelagite,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,poor [BP01],absent [alteration],0.0,,,,,,,,,,,,,
340-U1395A-1H-2-A,340,U1395,A,1,1-2,H,2,A,0.0,6.0,1.5,1.56,,,carbonate ooze [Leg178],100.0,silt-fine mud [T07],2.0,,,,,100.0,"light grey colour, hemipelagic sediments",0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,well [BP01],absent [alteration],0.0,,,,,,,,,,,,,
