Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix,MAJ Lith. color,"Layer, boundary, lamination, grading",Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,Deformational structures,General interval comment,MIN Lith. Prefix,MIN Lith. Principal name,MIN Lith. Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Layer or bedding thickness,Clasts abundance,Clast 1 igneous [%],Clast 1 igneous -  grain size,Clast 2 sediment [%],Clast 2 sediment grain size,Clast 3 -other lithology [%],Clast 3 -other lithology grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,MAJ Lith. prefix + name,MAJ Lith. name+suffix,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank,MAJ Lith. Max. grain size,MAJ Lith. Max. grain size rank,File Data
342-U1410A-1H-1-A,342,U1410,A,1,1-1,H,1,A,0,40,0,0.4,muddy [Leg339],nannofossil ooze [Leg339],with foraminifers [Leg339],muddy  nannofossil ooze  with foraminifers ,10YR 5/3 (brown),,,,heavy_339 [DB91],5,,brown grades to dark gray over interval,,,,,,,,,,,,,,,,,,,,,,,,,,,,muddy   nannofossil ooze ,nannofossil ooze   with foraminifers ,,,,,,
342-U1410A-1H-1-A,342,U1410,A,1,1-1,H,1,A,40,150,0.4,1.5,muddy [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],muddy  foraminiferal ooze  with nannofossils ,5YR 4/1 (dark gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muddy   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410A-1H-2-A,342,U1410,A,1,1-2,H,2,A,0,150,1.5,3,clayey [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],clayey  foraminiferal ooze  with nannofossils ,N 6 (gray),,,,heavy_339 [DB91],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clayey   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,0,26,3,3.26,muddy [Leg339],foraminiferal ooze [Leg339],with nannofossils [Leg339],muddy  foraminiferal ooze  with nannofossils ,10YR 7/1 (light gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muddy   foraminiferal ooze ,foraminiferal ooze   with nannofossils ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,26,43,3.26,3.43,nannofossil [Leg339],clay,with foraminifers [Leg339],nannofossil  clay with foraminifers ,7.5YR 5/3 (brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay  with foraminifers ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,43,56,3.43,3.56,nannofossil [Leg339],clay,with foraminifers [Leg339],nannofossil  clay with foraminifers ,10YR 6/2 (light brownish gray),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay  with foraminifers ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,56,65,3.56,3.65,,clay,,clay,5YR 5/3 (reddish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,65,85,3.65,3.85,,clay,with foraminifers [Leg339],clay with foraminifers ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clay,clay  with foraminifers ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,85,89,3.85,3.89,muddy [Leg339],sandstone [Leg339],with silt [Leg339],muddy  sandstone  with silt ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,very coarse angular sand-sized rock fragments ,,,,,,,,,,,,,,,,,,,,very coarse sand [W22_2],,,,,,,,muddy   sandstone ,sandstone   with silt ,,,,,,
342-U1410A-1H-3-A,342,U1410,A,1,1-3,H,3,A,89,101,3.89,4.01,nannofossil [Leg339],clay,with foraminifers [Leg339],nannofossil  clay with foraminifers ,10YR 5/2 (grayish brown),,,,moderate_339 [DB91],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nannofossil   clay,clay  with foraminifers ,,,,,,
