Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
350-U1436B-1H-1-A,350,U1436,B,1,1-1,H,1,A,0.0,10.0,0.0,0.1,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,light brown,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-2H-1-A,350,U1436,B,1,1-1,H,1,A,10.0,44.0,0.1,0.44,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-2H-1-A,350,U1436,B,1,1-1,H,1,A,44.0,52.0,0.44,0.52,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,52.0,83.0,0.52,0.83,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,83.0,85.0,0.83,0.85,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,
350-U1436B-2H-2-A,350,U1436,B,1,1-1,H,1,A,85.0,118.0,0.85,1.18,I,,,,tuffaceous,mud [2014],with lapilli [2014],tuffaceous mud,tuffaceous mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,
350-U1436B-2H-4-A,350,U1436,B,1,1-1,H,1,A,118.0,128.0,1.18,1.28,I,,,,"clast-supported, monomictic, mafic [2014]",lapilli [2014],,"clast-supported, monomictic, mafic lapilli","clast-supported, monomictic, mafic lapilli",lapilli,,dark gray,,coarse sand [W22_2],6,pebble [W22_2],9,,,,,,,,,,,,,,vitric [2014],,,,,,,,,scoria [2014],angular,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-2H-4-A,350,U1436,B,1,1-1,H,1,A,128.0,150.0,1.28,1.5,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,0.0,17.0,1.5,1.67,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,17.0,22.0,1.67,1.72,I,,,,tuffaceous,mud [2014],,tuffaceous mud,tuffaceous mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-2H-4-A,350,U1436,B,1,1-2,H,2,A,22.0,38.0,1.72,1.88,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light gray,,fine sand [W22_2],4,coarse sand [W22_2],6,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],crystal matrix [2014],,,,,
350-U1436B-2H-5-A,350,U1436,B,1,1-2,H,2,A,38.0,81.0,1.88,2.31,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,,,,,,,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],angular,,,,,,,,,,,,,,,,,,
350-U1436B-2H-5-A,350,U1436,B,1,1-2,H,2,A,81.0,84.0,2.31,2.34,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-2H-CC-A,350,U1436,B,1,1-2,H,2,A,84.0,98.0,2.34,2.48,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-1-A,350,U1436,B,1,1-2,H,2,A,98.0,101.0,2.48,2.51,I,,,,mafic,ash [2014],,mafic ash,mafic ash,ash,,light gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-4H-1-A,350,U1436,B,1,1-2,H,2,A,101.0,150.0,2.51,3.0,I,,,,,mud [2014],with lapilli [2014],mud,mud with lapilli,mud with lapilli,,light gray,,medium sand [W22_2],5,coarse sand [W22_2],6,,,,,,,,,,,,,,vitric [2014],,,,,,,,,pumice [2014],rounded,,,,,,,,,,,,,,,,,,
350-U1436B-4H-1-A,350,U1436,B,1,1-3,H,3,A,0.0,16.0,3.0,3.16,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,16.0,22.0,3.16,3.22,I,,,,"matrix-supported, monomictic, evolved [2014]",lapilli-tuff [2014],,"matrix-supported, monomictic, evolved lapilli-tuff","matrix-supported, monomictic, evolved lapilli-tuff",lapilli-tuff,,light brown,,fine sand [W22_2],4,pebble [W22_2],9,,,,,,,normally graded,,,,,,,vitric [2014],,,,,,,,,pumice [2014],sub-rounded,,,,,,,,,,,,vitric matrix [2014],lithic matrix [2014],,,,,
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,22.0,57.0,3.22,3.57,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,57.0,80.0,3.57,3.8,I,,,,evolved,ash [2014],,evolved ash,evolved ash,ash,,light brown,,fine sand [W22_2],4,medium sand [W22_2],5,,,,,,,normally graded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,
350-U1436B-4H-2-A,350,U1436,B,1,1-3,H,3,A,80.0,111.0,3.8,4.11,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1436B-4H-2-A,350,U1436,B,1,1-4,H,4,A,0.0,20.0,4.11,4.31,I,,,,,mud [2014],,mud,mud,mud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
