Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
353-U1446A-1H-1-A,0.0,150.0,0.0,1.5,,,clay,with silt,clay,clay with silt,clay with silt,,brown,5Y 4/2 (olive gray),,,,,,,,,,,,,Oxidized sediments. Gradational color change from brownish (5Y 4/2) to greenish (5Y 5/2) olive gray (started from bottom of the section).,,,,353,U1446,A,1,H,1,A
353-U1446A-1H-2-A,0.0,150.0,1.5,3.0,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,brown,5Y 4/2 (olive gray),,,,,,,,,,,,,Gradational color change from brownish (5Y 4/2) to greenish (5Y 5/2) olive gray.,,,,353,U1446,A,1,H,2,A
353-U1446A-1H-3-A,0.0,121.0,3.0,4.21,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,A,1,H,3,A
353-U1446A-1H-CC-A,0.0,14.0,4.21,4.35,,,clay,with nannofossils,clay,clay with nannofossils,clay with nannofossils,,green,5Y 5/2 (olive gray),,,,,,,,,,,,,,,,,353,U1446,A,1,H,CC,A
353-U1446A-2H-1-A,0.0,150.0,4.3,5.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,,,,,,,,,353,U1446,A,2,H,1,A
353-U1446A-2H-2-A,0.0,80.0,5.8,6.6,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,,,,,353,U1446,A,2,H,2,A
353-U1446A-2H-2-A,80.0,150.0,6.6,7.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,brown,2.5Y 5/2 (grayish brown),,,,,,,,,mottling,,,,,,,,353,U1446,A,2,H,2,A
353-U1446A-2H-3-A,0.0,150.0,7.3,8.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,3,A
353-U1446A-2H-4-A,0.0,150.0,8.8,10.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Foram-rich sand blebs between 18 and 19 and between 104.5 and 105.5 cm. Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,4,A
353-U1446A-2H-5-A,0.0,150.0,10.3,11.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,5,A
353-U1446A-2H-6-A,0.0,130.0,11.8,13.1,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Foram-rich sand blebs between 74 and 75 cm. Two nodules at 91-92 and 93-94 cm. Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,6,A
353-U1446A-2H-7-A,0.0,53.0,13.1,13.63,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,7,A
353-U1446A-2H-CC-A,0.0,21.0,13.63,13.84,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,5Y 4/1 (dark gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to grayish brown (2.5Y 5/2) with mottling.,,,,353,U1446,A,2,H,CC,A
353-U1446A-3H-1-A,0.0,113.5,13.8,14.935,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),bioturbated,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,1,A
353-U1446A-3H-1-A,113.5,121.0,14.935,15.01,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,light gray,2.5Y 7/2 (light gray),erosive,sharp,horizontal,,,vitric,,,,,,,Toba ash ???,,,,353,U1446,A,3,H,1,A
353-U1446A-3H-1-A,121.0,150.0,15.01,15.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,1,A
353-U1446A-3H-2-A,0.0,150.0,15.3,16.8,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,2,A
353-U1446A-3H-3-A,0.0,150.0,16.8,18.3,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),,,,,,,,,mottling,,,,Long thin pyritized burrow from 39 to 63 cm. Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,3,A
353-U1446A-3H-4-A,0.0,42.0,18.3,18.72,,,clay,with foraminifers,clay,clay with foraminifers,clay with foraminifers,,gray,GLEY 1 4/10Y (dark greenish gray),gradational,,,,,,,,mottling,,,,Faint color variations from dark gray (5Y 4/1) to greenish gray (GLEY 1 4/10Y) with mottling.,,,,353,U1446,A,3,H,4,A
353-U1446A-3H-4-A,42.0,43.0,18.72,18.73,,clayey,silt,,clayey silt,clayey silt,silt,,gray,GLEY 1 4/10Y (dark greenish gray),erosive,,,very thin bed,normally graded,,,,,Turbidite,,,With black color sediment (sulphide?),,,,353,U1446,A,3,H,4,A
