Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
356-U1464D-1H-1-A,0,150,0.0,1.5,unlithified,,grainstone,4.0,,grainstone,hemipelagic,light brownish gray,,,,,,,,,"Unlithified, light brownish gray grainstone with fine sand size grains. Grains include vf sand size black grains and carbonate material. Macros are sand size and include urchin spines, forams and larger pterapods",,,,356,U1464,D,1,H,1,A,,,
356-U1464D-1H-2-A,0,110,1.5,2.6,unlithified,,grainstone,4.0,,grainstone,hemipelagic,light brownish gray,,,,,,,,,"Unlithified, light brownish gray grainstone with sand size grains. Grains are composed of carbonate material and black grains. Macrofossils include pterapods, sea urchin spines and forams",,,,356,U1464,D,1,H,2,A,,,
356-U1464D-1H-3-A,0,77,2.6,3.37,unlithified,,grainstone,4.0,,grainstone,hemipelagic,Light brownish gray,,,,,,,,,"Unlithified, light brownish gray grainstone with sand size grains of mostly carbonate material and fine sand size black grains. Macrofossils include pterapods, bivalves, forams, sea urchin spines and a solitary coral",,,,356,U1464,D,1,H,3,A,,,
356-U1464D-1H-CC-A,0,13,3.37,3.5,unlithified,,grainstone,4.0,,grainstone,hemipelagic,light brownish gray,,,,,,,,,"Unlithified, light brownish gray grainstone with sand size grains (carbonate, black) and macrofossils sea urchin spines, pterapods, forams",,,,356,U1464,D,1,H,CC,A,,,
356-U1464D-1H-CC-A,13,18,3.5,3.55,,,,,,,,,,,,,,,,,to pal,,,,356,U1464,D,1,H,CC,A,,,
356-U1464D-2H-1-A,0,150,3.5,5.0,unlithified,,packstone,3.0,,packstone,hemipelagic,light brownish gray,,,,,,,,,"Unlithified, light brownish gray packstone with fine and sand size grains (abundant black and carbonate). Macros include bivalves, pterapods, forams,",,,,356,U1464,D,2,H,1,A,,,
356-U1464D-2H-2-A,0,150,5.0,6.5,unlithified,,packstone,3.0,,packstone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown packstone with sand size grains with abundant black grains. Macros include pterapods, bivalves, gastropod, crustacean, forams, small urchin spines and large bivalve fragments",,,,356,U1464,D,2,H,2,A,,,
356-U1464D-2H-3-A,0,150,6.5,8.0,unlithified,,packstone,3.0,,packstone,hemipelagic,grayish brown,,,,,,,,,"Unlithfied, grayish brown packstone with sand size grains (abundant black grains). Macros: solitary coral, bivalves, forams. The bivalves are 1 cm and very well preserved.",,,,356,U1464,D,2,H,3,A,,,
356-U1464D-2H-4-A,0,150,8.0,9.5,unlithified,,packstone,3.0,,packstone,hemipelagic,grayish brown,,,,,,,,,"Unlithfied, grayish brown packstone with sand size grains (abundant black grains). Macros include bivalves and bivalve fragments, gastropods and gastropod fragments, forams.",,,,356,U1464,D,2,H,4,A,,,
356-U1464D-2H-5-A,0,150,9.5,11.0,unlithified,,wackestone,2.0,,wackestone,hemipelagic,light brown,,,,,,,,,"Unlithified, light brown wackestone with fine sand size grains (less abundant and vf sand size black grains). Macros include bivalves and forams. The sand grains are coarser towards the top of the Section",,,,356,U1464,D,2,H,5,A,,,
