Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology name,Grain size max [mm],Lithification,Lithification rank,Lithology [%],Lithology classification,Comment,File Data,,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
327-U1363F-1H-1-A,327,U1363,F,1,1-1,H,1,A,0,150,0.0,1.5,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-2-A,327,U1363,F,1,1-2,H,2,A,0,97,1.5,2.47,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-2-A,327,U1363,F,1,1-2,H,2,A,97,150,2.47,3.0,,medium sand [S54],,medium sand,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-3-A,327,U1363,F,1,1-3,H,3,A,0,23,3.0,3.23,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-3-A,327,U1363,F,1,1-3,H,3,A,23,45,3.23,3.45,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-3-A,327,U1363,F,1,1-3,H,3,A,45,63,3.45,3.63,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-3-A,327,U1363,F,1,1-3,H,3,A,63,100,3.63,4.0,,silt [S54],,silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-3-A,327,U1363,F,1,1-3,H,3,A,100,125,4.0,4.25,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-4-A,327,U1363,F,1,1-4,H,4,A,0,150,4.5,6.0,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-5-A,327,U1363,F,1,1-5,H,5,A,0,150,6.0,7.5,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-6-A,327,U1363,F,1,1-6,H,6,A,0,150,7.5,9.0,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-7-A,327,U1363,F,1,1-7,H,7,A,0,29,9.0,9.29,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-1H-CC-A,327,U1363,F,1,1-CC,H,CC,A,0,25,9.29,9.54,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-2H-1-A,327,U1363,F,2,2-1,H,1,A,0,150,9.5,11.0,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-2H-2-A,327,U1363,F,2,2-2,H,2,A,0,150,11.0,12.5,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-2H-3-A,327,U1363,F,2,2-3,H,3,A,0,86,12.5,13.36,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",,,,,,
327-U1363F-2H-3-A,327,U1363,F,2,2-3,H,3,A,86,150,13.36,14.0,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-2H-4-A,327,U1363,F,2,2-4,H,4,A,0,150,14.0,15.5,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-2H-5-A,327,U1363,F,2,2-5,H,5,A,0,150,15.5,17.0,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-2H-6-A,327,U1363,F,2,2-6,H,6,A,0,38,17.0,17.38,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-2H-CC-A,327,U1363,F,2,2-CC,H,CC,A,0,8,17.38,17.46,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-1-A,327,U1363,F,3,3-1,H,1,A,0,150,19.0,20.5,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",medium sand,,,,,
327-U1363F-3H-2-A,327,U1363,F,3,3-2,H,2,A,0,139,20.5,21.89,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",medium sand,,,,,
327-U1363F-3H-2-A,327,U1363,F,3,3-2,H,2,A,139,146,21.89,21.96,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-3-A,327,U1363,F,3,3-3,H,3,A,0,35,21.96,22.31,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-3-A,327,U1363,F,3,3-3,H,3,A,35,125,22.31,23.21,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-3H-4-A,327,U1363,F,3,3-4,H,4,A,0,22,23.46,23.68,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-4-A,327,U1363,F,3,3-4,H,4,A,22,44,23.68,23.9,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-3H-4-A,327,U1363,F,3,3-4,H,4,A,44,77,23.9,24.23,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-4-A,327,U1363,F,3,3-4,H,4,A,77,150,24.23,24.96,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-3H-5-A,327,U1363,F,3,3-5,H,5,A,0,22,24.96,25.18,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-3H-5-A,327,U1363,F,3,3-5,H,5,A,22,97,25.18,25.93,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-5-A,327,U1363,F,3,3-5,H,5,A,97,120,25.93,26.16,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",,,,,,
327-U1363F-3H-6-A,327,U1363,F,3,3-6,H,6,A,0,67,26.46,27.13,,medium sand,,medium sand,,,,,,,,,,,
327-U1363F-3H-6-A,327,U1363,F,3,3-6,H,6,A,67,150,27.13,27.96,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",medium sand,,,,,
327-U1363F-3H-7-A,327,U1363,F,3,3-7,H,7,A,0,71,27.96,28.67,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",medium sand,,,,,
327-U1363F-3H-CC-A,327,U1363,F,3,3-CC,H,CC,A,0,12,28.67,28.79,,sand-silt-clay [S54],,sand-silt-clay,,,,,"Shepard, 1954",medium sand,,,,,
327-U1363F-4H-1-A,327,U1363,F,4,4-1,H,1,A,17,150,28.67,30.0,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",cyclic ,,,,,
327-U1363F-4H-2-A,327,U1363,F,4,4-2,H,2,A,0,150,30.0,31.5,,clayey silt [S54],,clayey silt,,,,,"Shepard, 1954",cyclic ,,,,,
