Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
366-U1497B-1F-1-A,0,48,0.0,0.48,I,,,,,,,serpentinite,sand,with mud,serpentinite sand with mud,10YR 8/4 (very pale brown),massive,unconsolidated,clay,1.0,granule,8.0,"Mixture of sand and serpentine mud. Reddish-brownish-greenish. Munsell only approximates this color. Sand and coarse sand size dark green serpentine, with reddish sand and small clasts of oxidized serpentine. May have siltstone component, can't tell without smear.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,1,F,1,A
366-U1497B-1F-1-A,48,85,0.48,0.85,IIA,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 1 7/5GY (light greenish grey),massive,unconsolidated,clay,1.0,pebble,9.0,"Our old friend pale green serpentine mud with 2 clasts, one pale green like matrix, the other black UM rock, decomposed. Clasts 3-4 cm across.",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,1,F,1,A
366-U1497B-1F-1-A,85,150,0.85,1.5,,,,,,,,,,,,,,,,,,,MBIO,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,1,F,1,A
366-U1497B-1F-2-A,0,35,1.5,1.85,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 6/5B (bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,"Blue mud matrix with clasts of black serpentinite. Some pale green material mixed in, usually around clasts. Reaction boundary?",poor,,,,ultramafic rock,12.0,granule,8.0,pebble,9.0,angular,,,,,,,,,serpentine clay matrix,,,Variegated blue with green,,,,366,U1497,B,1,F,2,A
366-U1497B-1F-2-A,35,50,1.85,2.0,IIB,,,,,,,,,,,,,,,,,,IW,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,1,F,2,A
366-U1497B-1F-3-A,0,90,2.0,2.9,IIB,,,,,,,serpentinite,pebbly mud,with lithic clasts,serpentinite pebbly mud with lithic clasts,GLEY 2 6/5B (bluish gray),massive,unconsolidated,clay,1.0,clay,1.0,"Variegated blue-green matrix, mostly blue, with black UM clasts. Clasts shattered. Moderate up arching.",,,,,ultramafic rock,15.0,granule,8.0,cobble,10.0,subangular,,,,,,,,,serpentine clay matrix,,,Variegated blue with green,,,,366,U1497,B,1,F,3,A
366-U1497B-1F-3-A,90,145,2.9,3.45,IIB,,,,,,,,,,,,,,,,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,1,F,3,A
366-U1497B-1F-CC-A,0,28,3.45,3.73,IIB,,,,,,,sandy,pebbly mud,with lithic clasts,sandy pebbly mud with lithic clasts,GLEY 2 6/5B (bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,"Some drilling distrubance, clast count may be higher, some of matrix may be shattered clasts.",,,,,ultramafic rock,3.0,granule,8.0,pebble,9.0,subangular,,,,,,,,,,,,,,,,366,U1497,B,1,F,CC,A
366-U1497B-2F-1-A,0,75,3.7,4.45,IIB,,,,,,,serpentinite,mud,with lithic clasts,serpentinite mud with lithic clasts,GLEY 2 7/5B (light bluish gray),massive,unconsolidated,clay,1.0,pebble,9.0,,,,,,ultramafic rock,3.0,granule,8.0,pebble,9.0,subangular,,,,,,,,,serpentine clay matrix,,,,,,,366,U1497,B,2,F,1,A
366-U1497B-2F-1-A,75,150,4.45,5.2,IIB,,,,,,,,,,,,,,,1.0,,,"MBIO, IW",,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1497,B,2,F,1,A
