Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
363-U1487A-1H-1-A,0,4,0.0,0.04,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,10YR 4/3 (brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,1,A,,,,,
363-U1487A-1H-1-A,4,144,0.04,1.44,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,1,A,,,,,
363-U1487A-1H-2-A,0,38,1.5,1.88,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5Y 6/2 (light olive gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,2,A,,,,,
363-U1487A-1H-2-A,38,150,1.88,3.0,clay-rich nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-rich nannofossil-rich foraminiferal ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,2,A,,,,,
363-U1487A-1H-3-A,0,145,3.0,4.45,clay-rich nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-rich nannofossil-rich foraminiferal ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,3,A,,,,,
363-U1487A-1H-4-A,0,78,4.5,5.28,clay-rich nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-rich nannofossil-rich foraminiferal ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,4,A,,,,,
363-U1487A-1H-4-A,78,101,5.28,5.51,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,4,A,,,,,
363-U1487A-1H-5-A,0,17,5.51,5.68,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5GY 7/1 (light greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,5,A,,,,,
363-U1487A-1H-5-A,17,73,5.68,6.24,clay-rich nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-rich nannofossil-rich foraminiferal ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,5,A,,,,,
363-U1487A-1H-CC-A,0,10,6.24,6.34,clay-bearing nannofossil-rich [X363],foraminiferal ooze [Leg339],clay-bearing nannofossil-rich foraminiferal ooze,,5GY 6/1 (greenish gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1487,A,1,H,CC,A,,,,,
