Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max [mm],Lithification,Comment,File Data,Unnamed: 23
329-U1365A-1H-1-A,329,U1365,A,1,1-1,H,1,A,0,150,0.0,1.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-1H-2-A,329,U1365,A,1,1-2,H,2,A,0,150,1.5,3.0,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-1H-3-A,329,U1365,A,1,1-3,H,3,A,0,88,3.0,3.88,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-1H-3-A,329,U1365,A,1,1-3,H,3,A,88,95,3.88,3.95,zeolitic pelagic,clay [S54] ,with pyrite,zeolitic pelagic clay with pyrite,"Shepard, 1954",,,,,,
329-U1365A-1H-3-A,329,U1365,A,1,1-3,H,3,A,95,150,3.95,4.5,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-1H-4-A,329,U1365,A,1,1-4,H,4,A,0,138,4.5,5.88,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-1H-CC-A,329,U1365,A,1,1-CC,H,CC,A,0,30,5.88,6.18,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-2H-1-A,329,U1365,A,2,2-1,H,1,A,0,150,6.2,7.7,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-2-A,329,U1365,A,2,2-2,H,2,A,0,50,7.7,8.2,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-2-A,329,U1365,A,2,2-2,H,2,A,50,80,8.2,8.5,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",50.0,,,,,
329-U1365A-2H-2-A,329,U1365,A,2,2-2,H,2,A,80,150,8.5,9.2,,clay [S54] ,,clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-3-A,329,U1365,A,2,2-3,H,3,A,0,150,9.2,10.7,,clay [S54] ,,clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-4-A,329,U1365,A,2,2-4,H,4,A,0,150,10.7,12.2,,clay [S54] ,,clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-5-A,329,U1365,A,2,2-5,H,5,A,0,81,12.2,13.01,,clay [S54] ,,clay,"Shepard, 1954",100.0,,,,,
329-U1365A-2H-CC-A,329,U1365,A,2,2-CC,H,CC,A,0,24,13.01,13.25,,clay [S54] ,,clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-1-A,329,U1365,A,3,3-1,H,1,A,0,112,15.7,16.82,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-2-A,329,U1365,A,3,3-2,H,2,A,0,20,16.82,17.02,zeolitic pelagic,clay [S54] ,,zeolitic pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-2-A,329,U1365,A,3,3-2,H,2,A,20,150,17.02,18.32,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-3-A,329,U1365,A,3,3-3,H,3,A,0,150,18.32,19.82,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-4-A,329,U1365,A,3,3-4,H,4,A,0,70,19.82,20.52,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-4-A,329,U1365,A,3,3-4,H,4,A,70,150,20.52,21.32,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50.0,,,,,
329-U1365A-3H-5-A,329,U1365,A,3,3-5,H,5,A,0,70,21.32,22.02,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50.0,,,,,
329-U1365A-3H-5-A,329,U1365,A,3,3-5,H,5,A,70,150,22.02,22.82,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-6-A,329,U1365,A,3,3-6,H,6,A,0,117,22.82,23.99,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-3H-CC-A,329,U1365,A,3,3-CC,H,CC,A,0,15,23.99,24.14,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
329-U1365A-4H-1-A,329,U1365,A,4,4-1,H,1,A,0,150,24.7,26.2,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-2-A,329,U1365,A,4,4-2,H,2,A,0,150,26.2,27.7,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-3-A,329,U1365,A,4,4-3,H,3,A,0,150,27.7,29.2,metalliferous pelagic,clay [S54] ,,metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-4-A,329,U1365,A,4,4-4,H,4,A,0,150,29.2,30.7,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-5-A,329,U1365,A,4,4-5,H,5,A,0,150,30.7,32.2,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-6-A,329,U1365,A,4,4-6,H,6,A,0,150,32.2,33.7,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-7-A,329,U1365,A,4,4-7,H,7,A,0,68,33.7,34.38,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-4H-CC-A,329,U1365,A,4,4-CC,H,CC,A,0,38,34.38,34.76,pelagic,clay [S54] ,,pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-1-A,329,U1365,A,5,5-1,H,1,A,0,150,34.2,35.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-2-A,329,U1365,A,5,5-2,H,2,A,0,150,35.7,37.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-3-A,329,U1365,A,5,5-3,H,3,A,0,45,37.2,37.65,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-3-A,329,U1365,A,5,5-3,H,3,A,45,150,37.65,38.7,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,,
329-U1365A-5H-4-A,329,U1365,A,5,5-4,H,4,A,0,150,38.7,40.2,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,,
329-U1365A-5H-5-A,329,U1365,A,5,5-5,H,5,A,0,70,40.2,40.9,,interlayered pelagic clay and porcellanite [Exp329],,interlayered pelagic clay and porcellanite,,,,,,,
329-U1365A-5H-5-A,329,U1365,A,5,5-5,H,5,A,70,150,40.9,41.7,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-6-A,329,U1365,A,5,5-6,H,6,A,0,150,41.7,43.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-7-A,329,U1365,A,5,5-7,H,7,A,0,70,43.2,43.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-5H-CC-A,329,U1365,A,5,5-CC,H,CC,A,0,7,43.9,43.97,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,
329-U1365A-6H-1-A,329,U1365,A,6,6-1,H,1,A,0,69,43.7,44.39,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,soupy and fractured chert throughout.,,
329-U1365A-6H-CC-A,329,U1365,A,6,6-CC,H,CC,A,0,38,44.39,44.77,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,soupy and fractured chert throughout.,,
329-U1365A-7H-1-A,329,U1365,A,7,7-1,H,1,A,0,91,44.7,45.61,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-7H-CC-A,329,U1365,A,7,7-CC,H,CC,A,0,14,45.61,45.75,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-8H-1-A,329,U1365,A,8,8-1,H,1,A,0,98,45.7,46.68,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-8H-CC-A,329,U1365,A,8,8-CC,H,CC,A,0,27,46.68,46.95,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-9H-1-A,329,U1365,A,9,9-1,H,1,A,0,67,46.9,47.57,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-9H-CC-A,329,U1365,A,9,9-CC,H,CC,A,0,14,47.57,47.71,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout,,
329-U1365A-10H-1-A,329,U1365,A,10,10-1,H,1,A,0,119,47.7,48.89,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout.,,
329-U1365A-11H-1-A,329,U1365,A,11,11-1,H,1,A,0,109,48.9,49.99,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout.,,
329-U1365A-12H-1-A,329,U1365,A,12,12-1,H,1,A,0,150,50.0,51.5,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout.,,
329-U1365A-12H-CC-A,329,U1365,A,12,12-CC,H,CC,A,0,29,51.5,51.79,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,fractured chert throughout.,,
329-U1365A-13H-1-A,329,U1365,A,13,13-1,H,1,A,0,83,51.8,52.63,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-14H-1-A,329,U1365,A,14,14-1,H,1,A,0,125,52.8,54.05,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-14H-1-A,329,U1365,A,14,14-1,H,1,A,125,147,54.05,54.27,,clay [S54] ,,clay,"Shepard, 1954",,,,,,
329-U1365A-15H-1-A,329,U1365,A,15,15-1,H,1,A,0,90,54.3,55.2,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-15H-1-A,329,U1365,A,15,15-1,H,1,A,90,100,55.2,55.3,,clay [S54] ,,clay,"Shepard, 1954",,,,,,
329-U1365A-15H-2-A,329,U1365,A,15,15-2,H,2,A,0,54,55.3,55.84,,clay [S54] ,,clay,"Shepard, 1954",,,,,,
329-U1365A-15H-CC-A,329,U1365,A,15,15-CC,H,CC,A,0,17,55.84,56.01,,clay [S54] ,,clay,"Shepard, 1954",,,,,,
329-U1365A-16H-1-A,329,U1365,A,16,16-1,H,1,A,0,89,55.8,56.69,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-17H-1-A,329,U1365,A,17,17-1,H,1,A,0,117,56.8,57.97,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-18H-1-A,329,U1365,A,18,18-1,H,1,A,0,69,57.8,58.49,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-18H-CC-A,329,U1365,A,18,18-CC,H,CC,A,0,36,58.49,58.85,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-19H-1-A,329,U1365,A,19,19-1,H,1,A,0,114,58.8,59.94,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",,,,,,
329-U1365A-20H-1-A,329,U1365,A,20,20-1,H,1,A,0,150,59.8,61.3,,chert [MMK88],,chert,"Mazullo, Meyer & Kidd, 1988",100.0,,,,,
329-U1365A-21H-CC-A,329,U1365,A,21,21-CC,H,CC,A,0,30,61.3,61.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",100.0,,,,,
