Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,MAJ Lith. prefix+name [read only],Sediment structures,MAJ Lith. color,Bioturbation intensity,Clast abundance,Macrofossil,MAJ Lith. ave. grain size ,Diagenetic constituent,Diagenetic constituent composition,General interval comment,MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,Lith. abundance sum [%],Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
363-U1490B-1H-1-A,0,20,0.0,0.2,radiolarian-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],radiolarian-bearing foraminifer-rich nannofossil ooze,,7.5YR 7/3 (pink),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,1,A,,,,,
363-U1490B-1H-1-A,20,73,0.2,0.73,radiolarian-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],radiolarian-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,1,A,,,,,
363-U1490B-1H-1-A,73,142,0.73,1.42,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 8/2 (very pale brown),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,1,A,,,,,
363-U1490B-1H-1-A,142,150,1.42,1.5,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,1,A,,,,,
363-U1490B-1H-2-A,0,42,1.5,1.92,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,2,A,,,,,
363-U1490B-1H-2-A,42,45,1.92,1.95,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,2,A,,,,,
363-U1490B-1H-2-A,45,115,1.95,2.65,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,2,A,,,,,
363-U1490B-1H-2-A,115,119,2.65,2.69,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,2,A,,,,,
363-U1490B-1H-2-A,119,150,2.69,3.0,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,2,A,,,,,
363-U1490B-1H-3-A,0,5,3.0,3.05,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,3,A,,,,,
363-U1490B-1H-3-A,5,9,3.05,3.09,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,3,A,,,,,
363-U1490B-1H-3-A,9,83,3.09,3.83,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,3,A,,,,,
363-U1490B-1H-3-A,83,89,3.83,3.89,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,3,A,,,,,
363-U1490B-1H-3-A,89,150,3.89,4.5,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,3,A,,,,,
363-U1490B-1H-4-A,0,33,4.5,4.83,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,4,A,,,,,
363-U1490B-1H-4-A,33,37,4.83,4.87,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,10YR 7/1 (light gray),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,4,A,,,,,
363-U1490B-1H-4-A,37,102,4.87,5.52,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,4,A,,,,,
363-U1490B-1H-4-A,102,113,5.52,5.63,,foraminiferal ooze [Leg339],foraminiferal ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,4,A,,,,,
363-U1490B-1H-4-A,113,150,5.63,6.0,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,4,A,,,,,
363-U1490B-1H-5-A,0,134,6.0,7.34,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,5,A,,,,,
363-U1490B-1H-CC-A,0,17,7.34,7.51,clay-bearing foraminifer-rich [X363],nannofossil ooze [Leg339],clay-bearing foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),moderate [DB86],,,,,,,,,,,,,,,,,,,363,U1490,B,1,H,CC,A,,,,,
363-U1490B-2H-1-A,0,140,7.5,8.9,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,2.5Y 8/1 (white),heavy [DB86],,,,,,greenish layers are common,,,,,,,,,,,,,363,U1490,B,2,H,1,A,,,,,
363-U1490B-2H-1-A,140,150,8.9,9.0,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),heavy [DB86],,,,,,greenish layers are common,,,,,,,,,,,,,363,U1490,B,2,H,1,A,,,,,
363-U1490B-2H-2-A,0,150,9.0,10.5,foraminifer-rich [X363],nannofossil ooze [Leg339],foraminifer-rich nannofossil ooze,,N 8.5 (white),heavy [DB86],,,,,,greenish layers are common,,,,,,,,,,,,,363,U1490,B,2,H,2,A,,,,,
