Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data
374-U1524A-1H-1-A,0,42,0,0.42,diatom bearing,mud,,diatom bearing mud,,10YR 5/3 (brown),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-1H-1-A,42,58,0.42,0.58,diatom bearing,mud,,diatom bearing mud,mottling [BJ80],10YR 6/2 (light brownish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-1-A,58,68,0.58,0.68,diatom bearing,mud,,diatom bearing mud,,10YR 6/2 (light brownish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-1H-1-A,68,87,0.68,0.87,diatom bearing,mud,,diatom bearing mud,,GLEY 1 6/5G (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-1-A,87,101,0.87,1.01,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-1-A,101,127,1.01,1.27,diatom rich,mud,,diatom rich mud,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-1-A,127,141,1.27,1.41,diatom bearing,mud,,diatom bearing mud,,10YR 5/3 (brown),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-2-A,0,47,1.46,1.93,diatom bearing,mud,,diatom bearing mud,,10YR 5/3 (brown),heavy [DB86],3,,,,,,,,,,,,
374-U1524A-1H-2-A,47,93,1.93,2.39,diatom bearing,mud,,diatom bearing mud,,10YR 6/2 (light brownish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-1H-2-A,93,146,2.39,2.92,diatom bearing,mud,,diatom bearing mud,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,lonestone,,,Lonestone at 109,,,
374-U1524A-1H-3-A,0,23,2.92,3.15,diatom bearing,mud,,diatom bearing mud,,10YR 6/2 (light brownish gray),complete [DB86],4,,,,,,lonestone,,,"Lonestones at 39, 21, 28.5, 46",,,
374-U1524A-1H-3-A,23,41,3.15,3.33,diatom bearing,sandy mud(stone) to muddy sand(stone) [S54m],,diatom bearing sandy mud(stone) to muddy sand(stone),,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,lonestone,sharp boundary or contact,,,,,
374-U1524A-1H-3-A,41,75,3.33,3.67,diatom rich,mud,,diatom rich mud,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,lonestone,sharp boundary or contact,,,,,
374-U1524A-1H-3-A,75,95,3.67,3.87,diatom rich,sandy mud(stone) to muddy sand(stone) [S54m],,diatom rich sandy mud(stone) to muddy sand(stone),,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-1H-CC-A,0,10,3.87,3.97,diatom bearing,mud,,diatom bearing mud,,10YR 6/2 (light brownish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-2H-1-A,0,42,4,4.42,,,,,,10YR 6/2 (light brownish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-1-A,0,150,4,5.5,diatom bearing,mud,,diatom bearing mud,lamination,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-1-A,42,150,4.42,5.5,,,,,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,gradational boundary or contact,,,,,
374-U1524A-2H-2-A,0,150,5.5,7,diatom bearing,mud,,diatom bearing mud,lamination,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-2-A,0,150,5.5,7,,,,,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-3-A,0,14,7,7.14,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,
374-U1524A-2H-3-A,0,90,7,7.9,,,,,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-3-A,0,150,7,8.5,diatom bearing,mud,,diatom bearing mud,,,,,,,,,,lonestone,,,,,,
374-U1524A-2H-3-A,14,32,7.14,7.32,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-3-A,32,75,7.32,7.75,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-2H-3-A,32,75,7.32,7.75,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,gradational boundary or contact,,,,,
374-U1524A-2H-3-A,75,138,7.75,8.38,,,,,lamination,,,,,,,,,,,,,,,
374-U1524A-2H-3-A,75,138,7.75,8.38,,,,,,10YR 6/2 (light brownish gray),,,,,,,,,,,,,,
374-U1524A-2H-3-A,90,138,7.9,8.38,,,,,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-3-A,138,150,8.38,8.5,,,,,,GLEY 1 5/10Y (greenish gray),moderate [DB86],2,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-4-A,0,12,8.5,8.62,,,,,,GLEY 1 5/10Y (greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-2H-4-A,0,150,8.5,10,diatom bearing,mud,,diatom bearing mud,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-2H-4-A,12,33,8.62,8.83,,,,,,GLEY 1 5/10Y (greenish gray),slight [DB86],1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-4-A,33,150,8.83,10,,,,,,GLEY 1 4/10Y (dark greenish gray),,1,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-4-A,33,150,8.83,10,,,,,,,slight [DB86],1,,,,,,mud clast,,,,,,
374-U1524A-2H-5-A,0,150,10,11.5,diatom bearing,mud,,diatom bearing mud,lamination,,moderate [DB86],2,,,,,,mud clast,,,,,,
374-U1524A-2H-5-A,0,150,10,11.5,,,,,,GLEY 1 4/10Y (dark greenish gray),,2,,,,,,,,,,,,
374-U1524A-2H-6-A,0,70,11.5,12.2,,,,,,GLEY 1 4/10Y (dark greenish gray),slight [DB86],1,,,,,,,,,,,,
374-U1524A-2H-6-A,0,145,11.5,12.95,diatom bearing,mud,,diatom bearing mud,lamination,,,,,,,,,,,,,,,
374-U1524A-2H-6-A,70,145,12.2,12.95,,,,,mottling [BJ80],,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-6-A,70,145,12.2,12.95,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-7-A,0,4,13,13.04,,,,,,GLEY 1 7/5GY (light greenish grey),,,,,,,,,,,,,,
374-U1524A-2H-7-A,0,68,13,13.68,diatom bearing,mud,,diatom bearing mud,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-7-A,4,44,13.04,13.44,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-2H-7-A,4,44,13.04,13.44,,,,,,10YR 7/3 (very pale brown),,,,,,,,,sharp boundary or contact,,,,,
374-U1524A-2H-CC-A,0,9,13.68,13.77,diatom bearing,mud,,diatom bearing mud,,,moderate [DB86],2,,,,,,,,,,,,
374-U1524A-2H-CC-A,0,9,13.68,13.77,,,,,,10YR 7/3 (very pale brown),,,,,,,,,,,,,,
374-U1524A-3H-1-A,0,77,13.5,14.27,,,,,,,slight [DB86],1,,,,,,,,,,,,
374-U1524A-3H-1-A,0,117,13.5,14.67,,,,,,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,
374-U1524A-3H-1-A,0,150,13.5,15,diatom rich,mud,,diatom rich mud,lamination,,,,,,,,,mud clast,,,,,,
374-U1524A-3H-1-A,0,150,13.5,15,,,,,mottling [BJ80],,,,,,,,,,,,,,,
374-U1524A-3H-1-A,77,150,14.27,15,,,,,,,moderate [DB86],2,,,,,,,,,,,,
