Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,LITH 1 prefix+name [read only],LITH 1 prefix+name+suffix [read only],LITH 1 abundance [%],LITH 1 color,LITH 1 lithification,LITH 1 ave. grain size class,LITH 1 ave. grain size rank [read only],LITH 1 max. grain size class,LITH 1 max. grain size rank [read only],LITH 1 grain sorting,LITH 1 Ash abundance name,LITH 1 Ash abundance rank (read only),LITH 1 comment,Bottom contact geometry,Bottom contact attitude,LITH 1 Layer or bedding thickness,LITH 1 Sedimentary structure,LITH 1 Bioturbation intensity,LITH 1 Bioturbation intensity rank [read only],LITH 1 Deformational structure,LITH 1 Deformational structure attitude,LITH 1 Diagenetic structure,LITH 1 Diagenetic constituent,LITH 1 Diagenetic constituent composition,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,LITH 2 prefix+name [read only],LITH 2 prefix+name+suffix [read only],LITH 2 abundance [%],LITH 2 color,LITH 2 lithification,LITH 2 ave. grain size class,LITH 2 ave. grain size rank [read only],LITH 2 max. grain size class,LITH 2 max. grain size rank [read only],LITH 2 grain sorting,LITH 2 Ash abundance name,LITH 2 Ash abundance rank (read only),General interval comment,LITH 1 Macrofossil,LITH 1 Macrofossil abundance name,LITH 2 Macrofossil,LITH 1 Clast abundance,LITH 1 Number of clasts (>2mm),LITH 1 Clast 1 igneous [%],LITH 1 Clast 1 igneous -  grain size,LITH 1 Clast 1 igneous -  roundness,LITH 1 Clast 1 igneous -  lithology,LITH 1 Clast 2 sediment [%],LITH 1 Clast 2 sediment - grain size,LITH 1 Clast 2 sediment - roundness,LITH 1 Clast 3 -other LITH [%],LITH 1 Clast 3 metamorphic - grain size,LITH 1 Clast 3 metamorphic - roundness,Total clasts calculated LITH 1 [%],LITH 1 Matrix 1 igneous - pumiceous [%],LITH 1 Matrix 2 igneous - scoriaceous [%],LITH 1 Matrix 5 volcaniclastic [%],LITH 1 Matrix 6 sediment [%],LITH 1 Matrix 7 -other LITH [%],LITH 1 Matrix biogenic carbonate [%],LITH 1 Matrix detritical carbonate [%],LITH 1 Matrix carbonate [%],Total matrix calculated LITH 1 [%],LITH 1 Matrix sorting,LITH 1 Matrix alteration intensity,LITH 1 Matrix alteration rank,LITH 1 Matrix comments,Clast comment,File Data,Exp,Site,Hole,Core,Type,Section,A/W
368-U1502B-2R-1-A,0,26,727.7,727.96,nannofossil rich,claystone [Leg339],with gravel [2014],nannofossil rich claystone,nannofossil rich claystone with gravel,,10YR 7/4 (very pale brown),lithified [B84],clay [W22_1],1,pebble [W22_2],9,moderate [BP01],,,several separated pebbles and cobbles,,,,contact not recovered,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,A [A85],,,,,,,,,,,,,,,,,,,,,,,,,,Secondary unknown green mineral as angular clasts,,368,U1502,B,2,R,1,A
368-U1502B-2R-1-A,34,85,728.04,728.55,,breccia [F70],,breccia,breccia,,10YR 6/6 (brownish yellow),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [2014],,,,,,,contact not recovered,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,2,R,1,A
368-U1502B-3R-1-A,0,12,733.7,733.82,,breccia [F70],,breccia,breccia,,10YR 6/6 (brownish yellow),lithified [B84],granule [W22_2],8,pebble [W22_2],9,poor [2014],,,,,,,,none [DB86],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,1,A
368-U1502B-3R-1-A,12,59,733.82,734.29,,limestone [MMK88],,limestone,limestone,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,medium sand [W22_2],5,moderate [2014],,,Green alteration minerals present. Limestone consist of dolomite.,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,1,A
368-U1502B-3R-1-A,59,114,734.29,734.84,clast rich,clay [Leg339],,clast rich clay,clast rich clay,,GLEY 1 3/10GY (very dark greenish gray),well consolidated [B84],clay [W22_1],1,cobble [W22_2],10,poor [2014],,,igneous clasts are strongly altered,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,C [A85],10,100,pebble [W22_2],sub-rounded,dolerite,,,,,,,100,,,,,,,,,,,,,,,,368,U1502,B,3,R,1,A
368-U1502B-3R-1-A,114,147,734.84,735.17,,limestone [MMK88],,limestone,limestone,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,medium sand [W22_2],5,moderate [2014],,,Green alteration minerals present. Limestone consist of dolomite.,,,,,heavy [DB86],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,1,A
368-U1502B-3R-2-A,0,33,735.17,735.5,,limestone [MMK88],,limestone,limestone,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,medium sand [W22_2],5,moderate [2014],,,Green alteration minerals present. Limestone consist of dolomite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,2,A
368-U1502B-3R-2-A,33,84,735.5,736.01,clast rich,clay [Leg339],,clast rich clay,clast rich clay,,GLEY 1 3/10GY (very dark greenish gray),well consolidated [B84],clay [W22_1],1,cobble [W22_2],10,poor [2014],,,clasts are strongly altered,gradational,inclined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A85],15,90,pebble [W22_2],sub-rounded,dolerite,10,pebble [W22_2],angular,,,,100,,,,,,,,,,,,,,,,368,U1502,B,3,R,2,A
368-U1502B-3R-2-A,84,110,736.01,736.27,,limestone [MMK88],,limestone,limestone,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,medium sand [W22_2],5,moderate [2014],,,Green alteration minerals present. Limestone consist of dolomite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,2,A
368-U1502B-3R-CC-A,0,14,736.27,736.41,,limestone [MMK88],,limestone,limestone,,GLEY 1 6/N (gray),lithified [B84],clay [W22_1],1,medium sand [W22_2],5,moderate [2014],,,Green alteration minerals present. Limestone consist of dolomite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,U1502,B,3,R,CC,A
