Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],MAJ Lith. Prefix,MAJ Lith. Principal name,MAJ Lith. Suffix,MAJ Lith. prefix+name+suffix [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Diagenetic constituent,Diagenetic constituent composition,Biogenic material,Lithologic accessories,Contact or boundary type,Contact geometry,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
374-U1524C-4R-1-A,0,105.0,278.7,279.75,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,,,,,,,374,U1524,C,4,R,1,A
374-U1524C-4R-1-A,31,33.0,279.01,279.03,,,,,lens or pod [BJ84],,,,,,,,,,,,Lighter greenish gray (gley 1 7/10GY) diatom ooze. Very thin sand clusters above it.,,,,374,U1524,C,4,R,1,A
374-U1524C-4R-1-A,83,88.0,279.53,279.58,,,,,lens or pod [BJ84],,,,,,,,,,gradational boundary or contact,irregular,Lighter greenish gray (gley 1 7/10GY) diatom ooze. Very thin sand clusters above it.,,,,374,U1524,C,4,R,1,A
374-U1524C-4R-CC-A,0,10.0,279.75,279.85,muddy,diatom ooze,,muddy diatom ooze,mottling [BJ80],GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,,,,,,,374,U1524,C,4,R,CC,A
374-U1524C-5R-CC-A,0,11.0,288.3,288.41,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1524,C,5,R,CC,A
374-U1524C-6R-CC-A,0,5.0,297.9,297.95,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,,,,,374,U1524,C,6,R,CC,A
374-U1524C-7R-1-A,0,37.0,307.5,307.87,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,sharp boundary or contact,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,37,43.0,307.87,307.93,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,,,,,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,43,58.0,307.93,308.08,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,lonestone,,,Lonestone at 43-50 cm.,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,58,60.0,308.08,308.1,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,,,,gradational boundary or contact,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,60,65.0,308.1,308.15,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,65,70.0,308.15,308.2,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,,,,gradational boundary or contact,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,70,85.0,308.2,308.35,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,sharp boundary or contact,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,85,103.0,308.35,308.53,muddy,diatom ooze,,muddy diatom ooze,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,pyrite,,,gradational boundary or contact,,Pyritized laminae at 86 and 94 cm.,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-1-A,103,136.0,308.53,308.86,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,,,,,,,374,U1524,C,7,R,1,A
374-U1524C-7R-CC-A,0,14.0,308.86,309.0,muddy,diatom ooze,,muddy diatom ooze,lamination,GLEY 1 5/10Y (greenish gray),moderate [DB86],2.0,,,,,,,,,,,,,374,U1524,C,7,R,CC,A
374-U1524C-8R-1-A,0,20.0,317.1,317.3,,cobble gravel [USGS],,cobble gravel,,,,,,,,,,,,,Volcanic clasts.,,,,374,U1524,C,8,R,1,A
374-U1524C-8R-1-A,20,37.0,317.3,317.47,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,mottling [BJ80],GLEY 1 6/10GY (greenish gray),heavy [DB86],3.0,,,,,,,,,Volcanic grains.,,,,374,U1524,C,8,R,1,A
374-U1524C-8R-CC-A,0,7.0,317.47,317.54,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,burrows,GLEY 1 6/10GY (greenish gray),heavy [DB86],3.0,,,,,,,,,,,,,374,U1524,C,8,R,CC,A
374-U1524C-9R-1-A,0,27.0,326.7,326.97,diatom rich,mud,,diatom rich mud,lamination,GLEY 1 4/10Y (dark greenish gray),moderate [DB86],2.0,,,,,,,sharp boundary or contact,,,,,,374,U1524,C,9,R,1,A
374-U1524C-9R-1-A,27,40.0,326.97,327.1,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,burrows,GLEY 1 6/10GY (greenish gray),heavy [DB86],3.0,,,,,,,,,,,,,374,U1524,C,9,R,1,A
374-U1524C-9R-1-A,40,107.0,327.1,327.77,diatom rich,mud,,diatom rich mud,lamination,GLEY 1 4/10Y (dark greenish gray),moderate [DB86],2.0,,,,,,lonestone,sharp boundary or contact,,"Lonestone at 39 (chert fragment), 46-49, 112-114, 121-124, and 127 cm.",,,,374,U1524,C,9,R,1,A
374-U1524C-9R-1-A,107,149.0,327.77,328.19,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,pyrite,,,,,,,,,374,U1524,C,9,R,1,A
374-U1524C-9R-1-A,112,114.0,327.82,327.84,,,,,lens or pod [BJ84],,,,,,,pyrite,,,,,Sand pod widh pyritized burrow in it.,,,,374,U1524,C,9,R,1,A
374-U1524C-9R-2-A,0,9.0,328.19,328.28,diatom rich,clast-poor muddy diamict [M89m],,diatom rich clast-poor muddy diamict,burrows,GLEY 1 7/10GY (light greenish grey),heavy [DB86],3.0,,,,pyrite,,,gradational boundary or contact,,,,,,374,U1524,C,9,R,2,A
