Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,Complete name,Lithology [%],"Dominant grain size (Wentworth, 1922)",Clastic grain: roundness,Lithification,Lithology comment,Color,Color code,Volcaniclastic grain size name,Volcaniclastic grain minerals,Extra Sample ID Data,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
324-U1347A-1W-1-A,324,U1347,A,1,1-1,W,1,A,0,9,0,0.09,,Pumice,,,Pumice,100,,,finely vesiculated magma,"Several pieces of light grey and tan pumice, largest piece is ~5cm .",light gray,10YR 7/1,lapillus [S81],pumice,,,,
324-U1347A-1W-1-A,324,U1347,A,1,1-1,W,1,A,9,16,0.09,0.16,,chert [MMK88],"Mazullo, Meyer ",,chert,100,crypto-crystalline,,well indurated,Black chert with thin (~1mm) coating of white chalk.,black,N 2.5,,,,,,
324-U1347A-2R-1-A,324,U1347,A,2,2-1,R,1,A,0,5,71,71.05,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Black chert,black,5YR 2.5/1,,,,,,
324-U1347A-2R-1-A,324,U1347,A,2,2-1,R,1,A,5,8.5,71.05,71.085,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,well indurated,Dark brown chert,brown,10YR 3/3,,,,,,
324-U1347A-2R-1-A,324,U1347,A,2,2-1,R,1,A,8.5,14,71.085,71.14,,,,,,,cryptocrystalline [324],angular (Default),,,,,,,,,,
324-U1347A-3R-1-A,324,U1347,A,3,3-1,R,1,A,0,13,80.5,80.63,,chert [MMK88],"Mazullo, Meyer ",,chert,100,cryptocrystalline [324],,Well indurated,"Black chert with recrystallized radiolarian ""ghosts"" and traces of calcareous porcellanite on the edges",black,10YR 2.5/1,,,,,,
324-U1347A-3R-1-A,324,U1347,A,3,3-1,R,1,A,13,14.5,80.63,80.645,,,,,,,,,,,,,,basalt,,,,
324-U1347A-3R-1-A,324,U1347,A,3,3-1,R,1,A,13,21.4,80.63,80.714,,,,,,,,,,,,,,basalt,,,,
324-U1347A-3R-1-A,324,U1347,A,3,3-1,R,1,A,13,22,80.63,80.72,silicified,limestone [MMK88],"Mazullo, Meyer ","with calcite, volcanoclastics/ glauconite?","silicified limestone with glauconite, radiolarians and volcaniclastics",100,,,well indurated,"Well indurated, pale calcareous porcellanite/radiolarite with green sand-sized clasts of glauconite throughout. Radiolarians abundant and replaced by glauconite throughout. Micritic matrix. Highly silicified limestone/porcellanite.",light brownish gray,10YR 6/2,,,,,,
324-U1347A-4R-1-A,324,U1347,A,4,4-1,R,1,A,0,4,90.1,90.14,,chert [MMK88],"Mazullo, Meyer ",,chert,100,,,well indurated,"hard piece of dark radiolarian chert. Small patch of white chalk, possibly infilling a burrow. ",black,10YR 2.5/1,,,,,,
