Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary geometry+definition [read only],Bottom contact or boundary attitude,Layer or bedding thickness,Lithology lithification,Grading,Sorting,Primary sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],2nd sedimentary structure,3rd sedimentary structure,Minor components,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,DOMINANT clast roundness,Clast comments,Matrix comments,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W
375-U1519D-1H-1-A,0,130,0.0,1.3,,,mud,,mud,mud,mud,10Y 7/1 (light greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,Mud. Entire section is soupy and structurless.,,,,375,U1519,D,1,H,1,A
375-U1519D-1H-2-A,0,129,1.52,2.81,,,mud,,mud,mud,mud,10Y 7/1 (light greenish gray),,,,,,unconsolidated,,,,,,,,,,,,,,"Mud with two pinky white, coarse grained ash layers at 10 and 18 cm.",,,,375,U1519,D,1,H,2,A
375-U1519D-1H-3-A,0,26,3.03,3.29,,,mud,,mud,mud,mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Mud alternating with medium to thick layers of light pink ash at 11 and 21 cm. Ash layer at the bottom continues in CC section,,,,375,U1519,D,1,H,3,A
375-U1519D-1H-3-A,26,92,3.29,3.95,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5YR 7/1 (light gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,well,,,,,,,,,,,,,,,,375,U1519,D,1,H,3,A
375-U1519D-1H-CC-A,0,8,4.18,4.26,,,ash/tuff,,ash/tuff,ash/tuff,ash/tuff,5YR 7/1 (light gray),curviplanar,sharp,curviplanar sharp,sub-horizontal,thin bed,unconsolidated,normal grading,well,,,,,,,,,,,,Ash layer from section above.,,,,375,U1519,D,1,H,CC,A
375-U1519D-2H-1-A,0,130,4.3,5.6,,,mud,,mud,mud,mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to graysh green mud. Silt pod with shell fragments at 118-121 cm.,,,,375,U1519,D,2,H,1,A
375-U1519D-2H-2-A,0,131,5.82,7.13,,,mud,,mud,mud,mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to graysh green mud.,,,,375,U1519,D,2,H,2,A
375-U1519D-2H-3-A,0,130,7.35,8.65,,,mud,,mud,mud,mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,2,H,3,A
375-U1519D-2H-4-A,0,131,8.87,10.18,,,mud,,mud,mud,mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud.,,,,375,U1519,D,2,H,4,A
375-U1519D-2H-5-A,0,138,10.4,11.78,,,alternating silt and mud,,alternating silt and mud,alternating silt and mud,alternating silt and mud,5YR 7/1 (light gray),,,,,,unconsolidated,,,,,,,,,,,,,,Greenish gray to grayish green mud. A silt very thin bed at 22 cm.,,,,375,U1519,D,2,H,5,A
