Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology prefix,Lithology principal name,Lithology suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Lithological asseccories,Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links
351-U1438D-2R-1-A,351,U1438,D,2,2-1,R,1,A,,0,78,219,219.78,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 4/1 (dark gray),,silt [W22_1],2,fine sand [W22_2],4,,irregular,gradational,inclined,thin lamina [B01],poor [2014],,cross-lamination,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-1-A,351,U1438,D,2,2-1,R,1,A,,79,81,219.79,219.81,,,,,tuffaceous,sandstone [2014],,tuffaceous sandstone,tuffaceous sandstone,sand,,,5Y 5/2 (olive gray),,very fine sand [W22_2],3,fine sand [W22_2],4,,irregular,gradational,inclined,,poor [2014],,,none,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-1-A,351,U1438,D,2,2-1,R,1,A,,81,113,219.81,220.13,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5G 6/1 (greenish gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,wavy,sub-horizontal,,poor [2014],,,slight,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-1-A,351,U1438,D,2,2-1,R,1,A,,113,129,220.13,220.29,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5G 6/1 (greenish gray),,silt [W22_1],2,very fine sand [W22_2],3,,irregular,wavy,sub-horizontal,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-1-A,351,U1438,D,2,2-1,R,1,A,,129,150,220.29,220.5,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,,,,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-2-A,351,U1438,D,2,2-2,R,2,A,,0,50,220.5,221,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5Y 4/1 (dark gray),,clay [W22_1],1,silt [W22_1],2,,planar,sharp,inclined,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-2-A,351,U1438,D,2,2-2,R,2,A,,50,56,221,221.06,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5Y 4/1 (dark gray),,silt [W22_1],2,very fine sand [W22_2],3,,planar,sharp,inclined,,poor [2014],,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-2-A,351,U1438,D,2,2-2,R,2,A,,56,107,221.06,221.57,,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mud,,,5Y 4/1 (dark gray),,clay [W22_1],1,silt [W22_1],2,,,,,,poor [2014],,,moderate,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-3-A,351,U1438,D,2,2-3,R,3,A,,0,40,221.67,222.07,,,,,tuffaceous,mudstone [2014],with nannofossils [2014],tuffaceous mudstone,tuffaceous mudstone with nannofossils,mudstone with nannofossils,,,5YR 6/1 (gray),,clay [W22_1],1,silt [W22_1],2,,irregular,gradational,inclined,,poor [2014],normally graded,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-U1438D-2R-3-A,351,U1438,D,2,2-3,R,3,A,,40,55,222.07,222.22,,,,,tuffaceous,siltstone [2014],,tuffaceous siltstone,tuffaceous siltstone,siltstone,,,5YR 6/1 (gray),,silt [W22_1],2,very fine sand [W22_2],3,,planar,sharp,sub-horizontal,,poor [2014],,,strong,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
