Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Minor Lithology Prefix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,0.0,5.0,0.0,0.05,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,15.0,25.0,0.15,0.25,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,35.0,42.5,0.35,0.425,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,52.5,62.5,0.525,0.625,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,82.5,90.0,0.825,0.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,100.0,110.0,1.0,1.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-1-A,329,U1370,E,1,1-1,H,1,A,130.0,140.0,1.3,1.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,0.0,10.0,1.5,1.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,30.0,40.0,1.8,1.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,50.0,60.0,2.0,2.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,80.0,90.0,2.3,2.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,100.0,110.0,2.5,2.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-2-A,329,U1370,E,1,1-2,H,2,A,130.0,140.0,2.8,2.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,0.0,10.0,3.0,3.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,30.0,40.0,3.3,3.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,50.0,90.0,3.5,3.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,100.0,110.0,4.0,4.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-3-A,329,U1370,E,1,1-3,H,3,A,120.0,130.0,4.2,4.3,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,0.0,30.0,4.5,4.8,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,60.0,110.0,5.1,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-4-A,329,U1370,E,1,1-4,H,4,A,130.0,142.0,5.8,5.92,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
329-U1370E-1H-CC-A,329,U1370,E,1,1-CC,H,CC,A,0.0,18.0,6.02,6.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,
