Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,Extra Sample ID Data
371-U1508C-3R-2-A,89,102,285.33,285.46,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,GLEY 1 6/10Y (greenish gray),,,,,,fine sand [W22_2],4,,,,,Sporadically present glauconitic grains.,uncertain boundary or contact,,,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,3,R,2,A,,,,
371-U1508C-3R-2-A,102,132,285.46,285.76,,,,,,nannofossil chalk [Leg339],,nannofossil chalk,,,GLEY 1 5/5GY (greenish gray),,,normal grading,,,very fine sand [W22_2],3,,,moderate [B06],3,"Glauconite is present sporadically, with increasing abundance down section.",uncertain boundary or contact,,,,,,,,,nannofossil chalk,nannofossil chalk,,,,371,U1508,C,3,R,2,A,,,,
371-U1508C-3R-2-A,132,135,285.76,285.79,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,GLEY 1 6/10Y (greenish gray),,,,,,fine sand [W22_2],4,,,,,Sporadically present glauconitic grains.,uncertain boundary or contact,,,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,3,R,2,A,,,,
371-U1508C-4R-1-A,0,56,287.6,288.16,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,bioclasts,,GLEY 1 6/10Y (greenish gray),,,inverse grading,,,fine sand [W22_2],4,,,,,Glauconite grains present abundantly in top 20 cm with decreasing abundance down section.,,,,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,4,R,1,A,,,,
371-U1508C-4R-CC-A,0,8,288.22,288.3,,,,,,foraminiferal chalk [Leg339],,foraminiferal chalk,,,GLEY 1 6/10Y (greenish gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,4,R,CC,A,,,,
371-U1508C-6R-1-A,0,8,316.0,316.08,,,,,nannofossil-rich [2014b],foraminiferal chalk [Leg339],,nannofossil-rich foraminiferal chalk,bioclasts,,GLEY 1 6/10Y (greenish gray),,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,nannofossil-rich foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,6,R,1,A,,,,
371-U1508C-7R-1-A,0,37,321.0,321.37,,,,,,foraminiferal chalk [Leg339],with nannofossils [2014],foraminiferal chalk with nannofossils,silicate minerals,bioclasts,GLEY 1 6/10Y (greenish gray),,,,,,medium sand [W22_2],5,,,,,,uncertain boundary or contact,,,,,,,,,foraminiferal chalk,foraminiferal chalk with nannofossils,,,,371,U1508,C,7,R,1,A,,,,
371-U1508C-7R-1-A,37,97,321.37,321.97,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,GLEY 1 4/10Y (dark greenish gray),,,,,,silt [W22_1],2,,,slight [B06],2,Burrows are often pyritized. Relatively coarse grained areas are present sporadically.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,7,R,1,A,,,,
371-U1508C-7R-2-A,0,111,322.12,323.23,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,GLEY 1 4/10Y (dark greenish gray),,,,,,silt [W22_1],2,,,slight [B06],2,Burrows are often pyritized. Relatively coarse grained areas predominantly being silicate mineral rich nannofossil chalk with foraminifers are present sporadically.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,7,R,2,A,,,,
371-U1508C-7R-3-A,0,78,323.23,324.01,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,GLEY 1 4/10Y (dark greenish gray),,,,,,silt [W22_1],2,,,slight [B06],2,Burrows are often pyritized. Relatively coarse grained areas predominantly being silicate mineral rich nannofossil chalk with foraminifers are present sporadically.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,7,R,3,A,,,,
371-U1508C-7R-CC-A,0,27,324.01,324.28,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,,,GLEY 1 4/10Y (dark greenish gray),,,,,,silt [W22_1],2,,,slight [B06],2,Burrows are often pyritized. Relatively coarse grained areas predominantly being silicate mineral rich nannofossil chalk with foraminifers are present sporadically.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,7,R,CC,A,,,,
371-U1508C-9R-1-A,0,142,450.0,451.42,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"Dark lamina at 77cm, fractured siliceous interval at 107-109",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,1,A,,,,
371-U1508C-9R-2-A,0,96,451.42,452.38,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,~0.5 mm fine sand layer with sharp base at 77cm 36,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,2,A,,,,
371-U1508C-9R-2-A,96,98,452.38,452.4,,,,,cherty,limestone [USGS],,cherty limestone,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,heavy [DB91],4,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,9,R,2,A,,,,
371-U1508C-9R-2-A,98,113,452.4,452.55,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,2,A,,,,
371-U1508C-9R-3-A,0,15,452.7,452.85,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,3,A,,,,
371-U1508C-9R-3-A,15,16,452.85,452.86,,,,,clayey,foraminiferal chalk [Leg339],,clayey foraminiferal chalk,foraminifers,silicate minerals,GLEY 1 5/N (gray),bed,,,,,fine sand [W22_2],4,,,,,,,,,,,,,,,clayey foraminiferal chalk,foraminiferal chalk,,,,371,U1508,C,9,R,3,A,,,,
371-U1508C-9R-3-A,16,77,452.86,453.47,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,Siliceous interval at 45 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,3,A,,,,
371-U1508C-9R-CC-A,0,14,453.47,453.61,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,9,R,CC,A,,,,
371-U1508C-10R-1-A,0,20,455.4,455.6,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,1,A,,,,
371-U1508C-10R-1-A,20,21,455.6,455.61,,,,,cherty,limestone [USGS],,cherty limestone,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,heavy [DB91],4,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,10,R,1,A,,,,
371-U1508C-10R-1-A,21,149,455.61,456.89,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,1,A,,,,
371-U1508C-10R-2-A,0,146,456.89,458.35,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,2,A,,,,
371-U1508C-10R-3-A,0,125,458.35,459.6,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,3,A,,,,
371-U1508C-10R-4-A,0,84,459.8,460.64,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,4,A,,,,
371-U1508C-10R-CC-A,0,18,460.64,460.82,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"presence of planolites, zoophycos and nereites",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,10,R,CC,A,,,,
371-U1508C-11R-1-A,0,107,465.0,466.07,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,1,A,,,,
371-U1508C-11R-1-A,107,109,466.07,466.09,,,,,cherty,limestone [USGS],,cherty limestone,,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,heavy [DB91],4,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,11,R,1,A,,,,
371-U1508C-11R-1-A,109,131,466.09,466.31,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,1,A,,,,
371-U1508C-11R-2-A,0,126,466.31,467.57,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,A ~1 cm layer of pinkish calcareous clasts at 28 cm.,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,2,A,,,,
371-U1508C-11R-2-A,126,128,467.57,467.59,,,,,cherty,limestone [USGS],,cherty limestone,,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,heavy [DB91],4,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,11,R,2,A,,,,
371-U1508C-11R-2-A,128,134,467.59,467.65,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,2,A,,,,
371-U1508C-11R-3-A,0,146,467.65,469.11,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,"At 13 cm, thin siliceous interval. At 47 cm, a sandy interval. At 84 cm, a ~1cm-long angular black clast.",,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,3,A,,,,
371-U1508C-11R-4-A,0,103,469.11,470.14,,,,,clayey,nannofossil chalk [Leg339],with foraminifers [2014],clayey nannofossil chalk with foraminifers,silicate minerals,,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1508,C,11,R,4,A,,,,
371-U1508C-11R-4-A,103,110,470.14,470.21,,,,,cherty,limestone [USGS],,cherty limestone,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,,,nodule,,heavy [DB91],4,,,,,,,,,,,cherty limestone,limestone,,,,371,U1508,C,11,R,4,A,,,,
371-U1508C-11R-4-A,110,128,470.21,470.39,,,,,clayey,nannofossil chalk [Leg339],,clayey nannofossil chalk,foraminifers,silicate minerals,GLEY 1 6/5GY (greenish gray),massive [BJ84],,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,clayey nannofossil chalk,nannofossil chalk,,,,371,U1508,C,11,R,4,A,,,,
