Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name+suffix [read only],Lithology color (Munsell),Layer or bedding thickness,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Sorting,Grading,Sedimentary structure,Diagenetic structure,Clasts (>2 mm) DOMINANT,DOMINANT Clasts % [%],DOMINANT Clasts ave. grain size class,DOMINANT Clasts ave. grain size rank [read only],DOMINANT Clasts max. grain size class,DOMINANT Clasts max. grain size rank [read only],DOMINANT clast roundness,Clasts (>2 mm) Subdominant,Subdominant Clasts % [%],Subdominant Clasts ave. grain size class,Subdominant Clasts ave. grain size rank [read only],Subdominant Clasts max. grain size class,Subdominant Clasts max. grain size rank [read only],Subdominant clast roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT",Matrix sorting,Matrix modifier,Matrix comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix
366-U1492A-1H-1-A,0.0,16.0,0.0,0.16,I,1.0,,,planar,sharp,horizontal,clayey,mud,with gravel,clayey mud with gravel,5GY 6/1 (greenish gray),massive,unconsolidated,clay,1.0,clay,1.0,,poor,reversely graded,,,lithic,5.0,granule,8.0,pebble,9.0,subangular,carbonate,4.0,granule,8.0,granule,8.0,subangular,,serpentine clay matrix,well,with aragonite crystals,,,,,366,U1492,A,1,H,1,A,,,
366-U1492A-1H-1-A,16.0,96.0,0.16,0.96,I,2.0,,,,,,clayey,pebbly mud,,clayey pebbly mud,5GY 6/1 (greenish gray),massive,unconsolidated,clay,1.0,clay,1.0,,well,,,,lithic,3.0,granule,8.0,medium sand,5.0,sub-rounded,ultramafic rock,1.0,granule,8.0,pebble,9.0,subangular,,serpentine clay matrix,well,with aragonite crystals,,,,,366,U1492,A,1,H,1,A,,,
366-U1492A-1H-1-A,96.0,151.0,0.96,1.51,I,,,,,,,,,,,,,,,,,,Missing - taken for microbiologists,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,1,H,1,A,,,
366-U1492A-1H-2-A,0.0,26.0,1.51,1.77,I,1.0,,,planar,gradational,horizontal,clayey,pebbly mud,,clayey pebbly mud,5GY 6/1 (greenish gray),massive,unconsolidated,clay,1.0,clay,1.0,,well,,,,lithic,3.0,granule,8.0,medium sand,5.0,sub-rounded,ultramafic rock,1.0,granule,8.0,granule,8.0,subangular,,serpentine clay matrix,well,with aragonite crystals,,,,,366,U1492,A,1,H,2,A,,,
366-U1492A-1H-2-A,26.0,151.0,1.77,3.02,I,2.0,,,,,,clayey,pebbly mud,,clayey pebbly mud,7.5YR 6/4 (light brown),massive,unconsolidated,clay,1.0,coarse sand,6.0,,well,,,,ultramafic rock,10.0,pebble,10.0,cobble,10.0,angular,lithic,2.0,pebble,10.0,pebble,9.0,sub-rounded,ultramafic clasts with consolidated serpentine matrix,serpentine clay matrix,well,with aragonite crystals,,,,,366,U1492,A,1,H,2,A,,,
366-U1492A-1H-3-A,0.0,46.0,3.02,3.48,I,1.0,,,planar,gradational,horizontal,clayey,pebbly mud,,clayey pebbly mud,7.5YR 6/4 (light brown),massive,unconsolidated,clay,1.0,coarse sand,6.0,,well,,,,ultramafic rock,5.0,pebble,10.0,pebble,9.0,angular,lithic,1.0,pebble,10.0,pebble,9.0,sub-rounded,ultramafic clasts with consolidated serpentine matrix,serpentine clay matrix,well,with aragonite crystals,,,,,366,U1492,A,1,H,3,A,,,
366-U1492A-1H-3-A,46.0,96.0,3.48,3.98,IIA,2.0,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,5G 7/4 (light green),massive,consolidated,clay,1.0,clay,1.0,,well,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,sub-rounded,,,,,,,,,serpentine clay matrix,well,,,,,,366,U1492,A,1,H,3,A,,,
366-U1492A-1H-3-A,96.0,150.0,3.98,4.52,IIA,,,,,,,,,,,,,,,,,,Missing - taken for microbiologists,,,,,,,,,,,,,,,,,,,,,,,,,,,366,U1492,A,1,H,3,A,,,
366-U1492A-1H-4-A,0.0,70.0,4.52,5.22,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 3/1 (dark bluish gray),massive,consolidated,clay,1.0,clay,1.0,,well,,,,ultramafic rock,5.0,granule,8.0,pebble,9.0,sub-rounded,,,,,,,,,serpentine clay matrix,well,,,,,,366,U1492,A,1,H,4,A,,,
366-U1492A-1H-CC-A,0.0,22.0,5.22,5.44,IIB,,,,,,,serpentinite,pebbly mud,,serpentinite pebbly mud,10B 3/1 (dark bluish gray),massive,consolidated,clay,1.0,clay,1.0,,well,,,,ultramafic rock,10.0,granule,8.0,pebble,9.0,sub-rounded,,,,,,,,,serpentine clay matrix,well,,,,,,366,U1492,A,1,H,CC,A,,,
