Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Principal Name,REFERENCE,Lithology Prefix,COMPLETE NAME,LITHOLOGY [%],LITHIFICATION,COLOR,GRAVEL SIZE CLASTLITHOLOGY,GRAVEL SIZE CLASTSHAPE,GRAVEL SIZE CLASTROUNDNESS,VOLCANICLASTIC GRAINS,COMMENTS,PHENOCRYST ABUNDANCE,PHENOCRYST COMPOSITION,PHENOCRYST GRAIN SIZE (mm),GROUNDMASS GRAIN SIZE (mm),GROUNDMASS COLOUR,VESICLE ABUNDANCE,VESICLE SHAPE,Extra Sample ID Data
323-U1341C-1H-1-A,323,U1341,C,1,1-1,H,1,A,0,94,0,0.94,diatom clayey silt,,,diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-1H-1-A,323,U1341,C,1,1-1,H,1,A,94,106,0.94,1.06,foraminifer ooze,Leg 323,,foraminifer ooze,100,soft,2.5Y 4/3,,,,,Thickly laminated,,,,,,,,
323-U1341C-1H-1-A,323,U1341,C,1,1-1,H,1,A,106,116,1.06,1.16,diatom clayey silt,,,diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-1H-1-A,323,U1341,C,1,1-1,H,1,A,116,120,1.16,1.2,diatom clayey silt,,,diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-1H-1-A,323,U1341,C,1,1-1,H,1,A,120,150,1.2,1.5,diatom clayey silt,,,diatom clayey silt,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1341C-1H-2-A,323,U1341,C,1,1-2,H,2,A,0,8,1.5,1.58,foraminifer ooze,Leg 323,,foraminifer ooze,100,soft,2.5Y 4/3,,,,,,,,,,,,,
323-U1341C-1H-2-A,323,U1341,C,1,1-2,H,2,A,8,150,1.58,3,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-1H-3-A,323,U1341,C,1,1-3,H,3,A,0,150,3,4.5,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-1H-4-A,323,U1341,C,1,1-4,H,4,A,0,78,4.5,5.28,diatom silty clay,,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-1H-4-A,323,U1341,C,1,1-4,H,4,A,78,84,5.28,5.34,diatom clayey silt,,,diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-1H-4-A,323,U1341,C,1,1-4,H,4,A,84,100,5.34,5.5,diatom silty clay,Leg 323,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-1H-CC-A,323,U1341,C,1,1-CC,H,CC,A,0,26,5.28,5.54,diatom silty clay,,foraminifer-bearing,foraminifer-bearing diatom silty clay,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-2H-1-A,323,U1341,C,2,2-1,H,1,A,0,88,5.5,6.38,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 4/4,,,,,,,,,,,,,
323-U1341C-2H-1-A,323,U1341,C,2,2-1,H,1,A,0,150,5.5,7,diatom clayey silt,,,foram bearing diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-2H-3-A,323,U1341,C,2,2-3,H,3,A,0,105,8.5,9.55,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1341C-2H-3-A,323,U1341,C,2,2-3,H,3,A,105,118,9.55,9.68,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,50,soft,5Y 4/1 ,,,,,,,,,,,,,
323-U1341C-2H-3-A,323,U1341,C,2,2-3,H,3,A,105,118,9.55,9.68,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,50,soft,5Y 4/2,,,,,,,,,,,,,
323-U1341C-2H-3-A,323,U1341,C,2,2-3,H,3,A,118,119,9.68,9.69,foraminifer ooze,,,foraminifer ooze,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1341C-2H-3-A,323,U1341,C,2,2-3,H,3,A,144,150,9.94,10,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 4/3,,,,,,,,,,,,,
323-U1341C-2H-4-A,323,U1341,C,2,2-4,H,4,A,0,28,10,10.28,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 4/2,,,,,,,,,,,,,
323-U1341C-2H-4-A,323,U1341,C,2,2-4,H,4,A,28,32,10.28,10.32,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 4/4,,,,,,,,,,,,,
323-U1341C-2H-4-A,323,U1341,C,2,2-4,H,4,A,32,85,10.32,10.85,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 5/2,,,,,,,,,,,,,
323-U1341C-2H-4-A,323,U1341,C,2,2-4,H,4,A,85,150,10.85,11.5,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 5/3,,,,,,,,,,,,,
323-U1341C-2H-5-A,323,U1341,C,2,2-5,H,5,A,0,150,11.5,13,diatom clayey silt,,,diatom clayey silt,100,soft,10Y 4/1,,,,,,,,,,,,,
323-U1341C-2H-6-A,323,U1341,C,2,2-6,H,6,A,0,50,13,13.5,diatom clayey silt,,foraminifer-bearing,foraminifer-bearing diatom clayey silt,100,soft,5Y 5/4,,,,,,,,,,,,,
