Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina patagonica	Pseudohastigerina wilcoxensis	Globanomalina australiformis	Acarinina primitiva	Acarinina cuneicamerata	Globigerinatheka senni	Chiloguembelina sp.	Acarinina camerata	Acarinina pseudotopilensis	Acarinina matthewsae	Globorotaloides turgida	Globigerinoides higginsi	Subbotina linaperta	Acarinina bullbrooki	Subbotina frontosa	Acarinina collactea	Subbotina eocaena	Pseudohastigerina micra	Subbotina inaequispira	Subbotina angiporoides	Globigerinatheka index	Chiloguembelina cubensis	Subbotina hagni	Globorotaloides suteri	Paragloborotalia nana	Catapsydrax echinatus	Tenuitellinata insolita	Subbotina cf. eocaena	Pseudohastigerina barbadoensis	Morozovella sp.	Globigerina officinalis	Chiloguembelina spp.	Acarinina echinata	Acarinina aculeata	Subbotina brevis	Praetenuitella praegemma	Praetenuitella insolita	Catapsydrax dissimilis	Tenuitella munda	Tenuitella gemma	Tenuitella angustiumbilicata	Globigerinita juvenilis	Globigerina labiacrassata	Globigerina euapertura	Tenuitellinata juvenilis	Tenuitellinata angustiumbilicata	Tenuitella munda/juvenilis transition	Subbotina labiacrassata	Tenuitellinata juvenilis/uvula transition	Subbotina euapertura	Tenuitellinata uvula	Globigerinita praestainforthi	Globigerinita boweni	Globigerina praebulloides	Catapsydrax unicavus	Globigerina woodi	Globigerina bulloides	Neogloboquadrina pachyderma	Comment



  SR	Early Oligocene  	                 	AP16              	              	120	 749	B	  1	H	 1	  40.00	      0.4000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	R               	R               	                            	R                      	                         	F                     	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	F                        	                    	                 	                     	F                          	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Early Oligocene  	                 	AP16              	              	120	 749	B	  1	H	 2	  40.00	      1.9000	Berggren 	Planktonic Foraminifers                      	C              	G                 	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	                      	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	R               	R               	                            	R                      	                         	                      	                        	                                	                                     	                       	                                         	                    	                    	                             	                    	F                        	                    	                 	                     	R                          	from ODP Leg 120 SR Vol 2 Chapter 31 Table Appendix E back pocket microfiche

  SR	Late Oligocene   	                 	T. angustiumbilicata	              	120	 749	B	  1	H	 2	  50.00	      2.0000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	7                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	2                     	                	                	                            	                       	                         	                      	25                      	1                               	                                     	68                     	                                         	37                  	                    	                             	2                   	                         	                    	cf               	1                    	                           	Other taxa = 3; from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578

  SR	Late Oligocene   	                 	T. angustiumbilicata	              	120	 749	B	  1	H	 2	  50.00	      2.0000	Li       	Planktonic Foraminifers                      	               	                  	                    	                             	                            	                   	                       	                      	                   	                  	                          	                    	                       	                        	                   	                    	                  	                   	                 	                       	                      	                      	                      	                        	               	5                     	                     	                     	                       	                     	                              	               	                       	                    	                  	                  	                	                        	                       	                      	54              	                	                            	                       	                         	                      	108                     	4                               	29                                   	16                     	9                                        	                    	1                   	                             	21                  	                         	                    	                 	3                    	                           	from ODP Leg 120 SR Vol 2 Chapter 32 Table 3 p 578
