Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thalassiosira praeoestrupii,Thalassiosira eccentrica,Thalassionema nitzschioides,Stephanopyxis turris,Pyxidicula zabelinae,Nitzschia rolandii,Neodenticula kamtschatica,Coscinodiscus marginatus,Actinoptychus senarius,Paralia sulcata,Koizumia tatsunokuchiensis,Thalassiosira nidulus,Nitzschia fossilis,Chaetoceros spp. (resting spores),Thalassiosira antiqua,Delphineis surirella,Thalassiosira lineata,Aulacoseira spp.,Actinocyclus curvatulus,Cocconeis costata,Asteromphalus flabellatus,Proboscia barboi,Thalassiothrix longissima,Thalassiosira jouseae,Rhizosolenia hebetata f. hiemalis,Actinocyclus octonarius,Odontella aurita,Nitzschia reinholdii,Grammatophora spp.,Delphineis simonsenii,Coscinodiscus radiatus,Actinocyclus ochotensis,Thalassiosira oestrupii,Thalassiosira nordenskioeldii,Fragilariopsis doliolus,Hemidiscus cuneiformis,Thalassiosira latimarginata,Thalassiosira gravida,Actinocyclus oculatus,Azpeitia nodulifera,Thalassiosira convexa,Neodenticula koizumii,Stephanopyxis horridus,Neodenticula seminae,Azpeitia tabularis,Nitzschia marina,Rhizosolenia bergonii,Nitzschia interruptestriata,Proboscia curvirostris,Bacterosira fragilis,Cyclotella striata,Porosira glacialis,Actinocyclus ingens,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  1,H,CC,  23.00,      7.6800,Ikeda    ,Diatoms                                      ,A              ,M                 ,                           ,R                       ,                           ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,R                    ,                ,F                      ,                 ,                         ,                ,                         ,                     ,                                 ,R                      ,                ,                    ,                  ,                     ,                      ,C                      ,C                      ,                             ,R                      ,                      ,C                          ,                     ,                     ,                   ,                     ,                     ,                      ,F                   ,                  ,                ,                     ,                           ,                      ,T                   ,                  ,                  ,T                  ,"reworking=few (D. dimorpha, N. kamtschatica, N. koizumii, and N. reinholdii)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  2,H,CC,  22.00,     17.6900,Ikeda    ,Diatoms                                      ,A              ,G                 ,                           ,                        ,                           ,A                   ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,F                                ,                     ,R                   ,C                    ,                ,R                      ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,C                     ,R                      ,C                      ,                             ,                       ,                      ,C                          ,C                    ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,                ,                     ,                           ,                      ,R                   ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  3,H,CC,  40.00,     27.4500,Ikeda    ,Diatoms                                      ,C              ,G                 ,                           ,F                       ,F                          ,C                   ,                    ,                  ,                         ,                        ,                      ,F              ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,F                      ,                 ,                         ,                ,                         ,                     ,                                 ,                       ,                ,                    ,                  ,                     ,                      ,                       ,                       ,                             ,F                      ,                      ,F                          ,                     ,                     ,                   ,                     ,                     ,                      ,F                   ,                  ,                ,                     ,R                          ,                      ,F                   ,                  ,                  ,                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,NPD 12            ,NPD 12        ,186,1150,A,  4,H,CC,  23.00,     36.6500,Ikeda    ,Diatoms                                      ,C              ,M                 ,                           ,                        ,C                          ,                    ,                    ,                  ,                         ,                        ,                      ,               ,                          ,                     ,                  ,C                                ,                     ,                    ,                     ,                ,                       ,F                ,                         ,                ,                         ,                     ,                                 ,                       ,F               ,                    ,                  ,                     ,                      ,                       ,C                      ,                             ,                       ,                      ,C                          ,C                    ,                     ,                   ,                     ,                     ,                      ,C                   ,                  ,                ,                     ,F                          ,                      ,F                   ,                  ,F                 ,                   ,       
