Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globorotalia crassaformis crassaformis,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,   0.00,      0.0000,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,R                           ,F                         ,-                   ,-                           ,R                  ,-                            ,-                     ,F                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,F                            ,R                           ,R                        ,-                    ,-               ,"PT; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,   7.00,      0.0700,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,R                           ,C                         ,-                   ,-                           ,F                  ,-                            ,-                     ,C                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,F                            ,R                           ,-                        ,-                    ,-               ,"from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,  33.00,      0.3300,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,F                         ,-                   ,-                           ,F                  ,-                            ,-                     ,C                    ,-                   ,-                     ,R                     ,-                              ,-                              ,-                                     ,C                                ,F                                  ,C                            ,F                           ,-                        ,-                    ,-               ,"M;SP; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Holocene         ,                 ,Z                 ,              ,155, 941,A,  1,H, 1,  42.00,      0.4200,Showers  ,Planktonic Foraminifers                      ,A              ,G                 ,F                           ,F                         ,-                   ,-                           ,F                  ,-                            ,-                     ,F                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                     ,C                                ,C                                  ,C                            ,F                           ,-                        ,-                    ,-               ,"SP; from Leg 155IR; p. 523 Table 4,"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
