Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra umbilica	Reticulofenestra hillae	Reticulofenestra hampdenensis	Isthmolithus recurvus	Discoaster nodifer	Dictyococcites bisectus	Cyclicargolithus floridanus	Clausicoccus fenestratus	Chiasmolithus oamaruensis	Chiasmolithus altus	Blackites spinosus	Zygrhablithus bijugatus	Reticulofenestra orangensis	Pontosphaera pulchripora	Discoaster deflandrei	Dictyococcites scrippsae	Coccolithus formosus	Coccolithus eopelagicus	Reticulofenestra lockerii	Sphenolithus predistentus	Sphenolithus moriformis	Helicosphaera seminulum	Helicosphaera recta	Coccolithus pelagicus	Coronocyclus nitescens	Helicosphaera compacta	Discoaster trinidadensis	Pontosphaera multipora	Lanternithus minutus	Braarudosphaera bigelowii	Discoaster tanii	Discoaster adamanteus	Clausicoccus subdistichus	Discoaster variabilis	Dictyococcites danicus	Triquetrorhabdulus rugosus	Reticulofenestra pseudoumbilicus	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Discoaster pentaradiatus	Calcidiscus macintyrei	Calcidiscus leptoporus	Geminilithella rotula	Discoaster surculus	Discoaster brouweri	Discoaster asymmetricus	Ceratolithus acutus	Amaurolithus primus	Scyphosphaera spp.	Reticulofenestra gelida	Pseudoemiliania lacunosa	Pontosphaera japonica	Helicosphaera carteri	Discoaster tamalis	Discoaster neorectus	Discoaster hamatus	Helicosphaera sellii	Gephyrocapsa aperta	Dictyococcites productus	Rhabdosphaera clavigera	Reticulofenestra asanoi	Pontosphaera millepuncta	Helicosphaera hyalina	Gephyrocapsa caribbeanica	Ceratolithus cristatus	Comment



  IR	                 	Quaternary       	                  	NN19          	182	1128	C	  1	H	CC	  11.00	      7.9300	Shafik   	Nannofossils                                 	C              	G                 	                         	                       	                             	                     	                  	                       	                           	                        	                         	                   	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	F                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	A                        	A                      	                      	                        	                      	C                     	                     	                   	                   	                       	                   	                   	F                 	                       	A                       	                     	C                    	                  	                    	                  	                    	A                  	                        	C                      	F                      	R                       	C                    	F                        	R                     	       

  IR	                 	                 	                  	NN19          	182	1128	C	  2	H	CC	  15.00	     16.7400	Shafik   	Nannofossils                                 	C              	G                 	                         	                       	                             	                     	                  	R                      	R                          	                        	                         	                   	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	C                    	                      	                      	                        	                      	                    	                         	                	                     	                         	                     	                      	                          	                                	A                        	A                      	                      	                        	C                     	A                     	                     	                   	                   	                       	                   	                   	                  	                       	A                       	                     	C                    	                  	                    	                  	R                   	C                  	F                       	                       	                       	                        	                     	                         	                      	       

  IR	                 	Early Pliocene   	                  	NN15          	182	1128	C	  3	H	CC	   0.00	     26.6100	Shafik   	Nannofossils                                 	C              	M                 	                         	                       	                             	                     	                  	F                      	C                          	                        	                         	R                  	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	A                    	                      	                      	                        	                      	                    	                         	                	                     	                         	R                    	                      	R                         	R                               	C                        	C                      	C                     	F                       	C                     	C                     	                     	C                  	                   	F                      	                   	                   	F                 	R                      	R                       	R                    	F                    	R                 	R                   	R                 	                    	                   	                        	                       	                       	                        	                     	                         	                      	Obvious reworking from Paleogene (a lot) and from Miocene (a little).

  IR	                 	Early Pliocene   	                  	NN12          	182	1128	C	  4	H	CC	  55.00	     35.7500	Shafik   	Nannofossils                                 	C              	G                 	                         	                       	                             	                     	                  	                       	                           	                        	                         	                   	                  	                       	                           	                        	                     	                        	                    	                       	                         	                         	                       	                       	                   	C                    	                      	                      	                        	                      	                    	                         	                	                     	                         	C                    	                      	                          	A                               	C                        	A                      	                      	F                       	C                     	C                     	R                    	C                  	F                  	R                      	R                  	C                  	                  	                       	                        	                     	                     	                  	                    	                  	                    	                   	                        	                       	                       	                        	                     	                         	                      	       
