Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus moriformis,Coccolithus pelagicus,Reticulofenestra pseudoumbilicus,Helicosphaera carteri,Discoaster variabilis,Discoaster pentaradiatus,Discoaster calcaris,Discoaster brouweri,Discoaster bollii,Discoaster pseudovariabilis,Catinaster coalitus,Umbilicosphaera sibogae,Thoracosphaera spp.,Syracosphaera pulchra,Syracosphaera lamina,Sphenolithus grandis,Rhabdosphaera clavigera,Reticulofenestra minutula,Holodiscolithus macroporus,Discolithina japonica,Discoaster pansus,Discoaster deflandrei,Dictyococcites productellus,Calcidiscus tropicus,Calcidiscus leptoporus,Discolithina multipora,Discoaster hamatus,Triquetrorhabdulus rugosus,Discolithina discopora,Scapholithus fossilis,Discosphaera tubifera,Discoaster asymmetricus,Cyclolithella annula,Sphenolithus abies,Discoaster neohamatus,Catinaster calyculus,Holodiscolithus solidus,Discoaster challengeri,Oolithotus antillarum,Discoaster moorei,Sphenolithus compactus,Discoaster prepentaradiatus,Hayaster perplexus,Helicosphaera minuta,Discoaster surculus,Discoaster blackstockae,Reticulofenestra minuta,Discoaster quadramus,Discoaster quinqueramus,Discoaster berggrenii,Helicosphaera sellii,Syracosphaera nodosa,Cricosphaera quadrilaminata,Ceratolithus armatus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Scyphosphaera pulcherrima,Amaurolithus amplificus,Amaurolithus primus,Gephyrocapsa spp. (small),Pseudoemiliania lacunosa,Ceratolithus cristatus,Discolithina syracusana,Discoaster tamalis,Gephyrocapsa margerelii,Scyphosphaera sp.,Ceratolithus rugosus,Gephyrocapsa oceanica s.l.,Gephyrocapsa caribbeanica,Helicosphaera wallichii,Ceratolithus telesmus,Gephyrocapsa oceanica (>6 microns),Umbellosphaera irregularis,Helicosphaera inversa,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  1,H, 1, 142.00,      1.4200,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,VR                   ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,VR                     ,VR                 ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,F                          ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,VR                     ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,F                        ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,C                         ,                         ,                       ,                     ,                                  ,                          ,                     ,F                ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  1,H, 3,  29.00,      3.2900,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,F                      ,                   ,R                    ,                    ,                    ,R                      ,                         ,                          ,                     ,                 ,                     ,R                          ,                    ,F                     ,                      ,                  ,                          ,                      ,R                    ,                     ,                       ,VR                  ,                  ,                     ,                    ,                       ,                      ,R                    ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,R                        ,                        ,                      ,                       ,                  ,                       ,                 ,                    ,F                         ,                         ,                       ,                     ,                                  ,F                         ,                     ,F                ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  1,H, 5,  60.00,      6.6000,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,                     ,                     ,                        ,                   ,VR                 ,                 ,                           ,                   ,                       ,                   ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,                           ,                    ,                      ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,                  ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,VR                    ,                       ,                  ,                       ,                 ,                    ,VR                        ,                         ,                       ,                     ,                                  ,                          ,                     ,                 ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NN21              ,              ,124, 767,B,  1,H,CC,  16.00,      8.9600,Shyu     ,Nannofossils                                 ,               ,                  ,                       ,                     ,                                ,R                    ,                     ,                        ,                   ,                   ,                 ,                           ,                   ,VR                     ,VR                 ,                     ,                    ,                    ,                       ,                         ,                          ,                     ,                 ,                     ,VR                         ,                    ,R                     ,                      ,                  ,                          ,                      ,                     ,                     ,                       ,                    ,VR                ,                     ,                    ,                       ,                      ,                     ,                 ,                      ,                           ,                  ,                    ,                   ,                       ,                       ,                    ,                       ,                     ,                    ,                    ,                           ,                    ,                            ,                      ,                         ,                       ,                   ,                         ,                        ,                      ,                       ,                  ,VR                     ,                 ,                    ,F                         ,                         ,                       ,                     ,                                  ,                          ,                     ,VR               ,from ODP Leg 124 SR Chapter 10 Table 2 back-pocket
