Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia plesiotumida,Pulleniatina spp. (sinistral),Globorotalia margaritae,Globigerinoides obliquus,Pulleniatina spp. (dextral),Globorotalia menardii (dex.),Globorotalia cf. Gr. margaritae,Globorotalia tumida,Neogloboquadrina acostaensis (dextral),Sphaeroidinella dehiscens,Globorotalia ronda,Globorotalia flexuosa,Globorotalia tosaensis,Globorotalia cf. Gr. flexuosa,Globorotalia menardii (sin.),Globorotalia cf. Gr. truncatulinoides,Globorotalia truncatulinoides,Globigerinoides ruber (pink),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B,  1,H,CC,  16.00,      8.9600,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B,  2,H, 3,  85.00,     12.8500,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,                                     ,R                            ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B,  2,H, 6, 123.00,     17.7300,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,                           ,                            ,                               ,R                  ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,                                     ,                             ,R                           ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B,  3,H,CC,  21.00,     28.3900,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,                            ,                               ,                   ,                                      ,                         ,                  ,                     ,                      ,                             ,R                           ,                                     ,                             ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,N22               ,              ,124, 767,B,  6,H,CC,  22.00,     57.0000,Nederbragt,Planktonic Foraminifers                      ,               ,                  ,                         ,                             ,                       ,                        ,R                          ,                            ,                               ,R                  ,                                      ,R                        ,                  ,                     ,                      ,                             ,R                           ,                                     ,R                            ,                            ,from ODP Leg 124 SR Chapter 11 Table 1 p 163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
