Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tristylospyris triceros,Theocyrtis tuberosa,Staurolastrum sp.,Lychnocanoma sp. A,Lophocyrtis pegetrum,Lithocyclia angusta,Dorcadospyris sp.,Dorcadospyris ateuchus,Didymocyrtis prismatica,Artophormis gracilis,Theocyrtis annosa,Theocorys spongoconus,Pterocanium (?) sp. A,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 76,X, 6,   4.00,    721.0400,Scherer  ,Radiolarians                                 ,A              ,P                 ,R                      ,                   ,                 ,R                 ,C                   ,R                  ,A                ,C                     ,                       ,R                   ,                 ,R                    ,                     ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 76,X, 7,  38.00,    722.8800,Scherer  ,Radiolarians                                 ,C              ,P                 ,R                      ,                   ,                 ,F                 ,F                   ,R                  ,A                ,C                     ,                       ,R                   ,                 ,                     ,                     ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 77,X, 2,  23.00,    724.9300,Scherer  ,Radiolarians                                 ,C              ,P                 ,                       ,                   ,R                ,R                 ,F                   ,R                  ,A                ,F                     ,                       ,R                   ,F                ,                     ,                     ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 77,X,CC,  28.00,    725.9200,Scherer  ,Radiolarians                                 ,C              ,P                 ,R                      ,                   ,R                ,F                 ,F                   ,C                  ,A                ,F                     ,R                      ,F                   ,F                ,                     ,F                    ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 78,X, 1,  54.00,    733.4400,Scherer  ,Radiolarians                                 ,A              ,P                 ,R                      ,                   ,R                ,F                 ,F                   ,C                  ,A                ,C                     ,R                      ,F                   ,R                ,R                    ,F                    ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,D. ateuchus (RP21),              ,124, 767,B, 78,X, 1,  87.00,    733.7700,Scherer  ,Radiolarians                                 ,F              ,P                 ,R                      ,                   ,                 ,F                 ,R                   ,F                  ,A                ,F                     ,                       ,F                   ,F                ,                     ,                     ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,T. tuberosa       ,              ,124, 767,B, 78,X,CC,  28.00,    734.1500,Scherer  ,Radiolarians                                 ,R              ,P                 ,C                      ,C                  ,F                ,R                 ,F                   ,F                  ,A                ,C                     ,R                      ,F                   ,                 ,                     ,                     ,from ODP Leg 124 SR Chapter 25 Table 1 p 347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
