Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster surculus,Ceratolithus acutus,Calcidiscus macintyrei,Amaurolithus primus,Helicosphaera sellii,Coccolithus pelagicus,Reticulofenestra pseudoumbilica,Pseudoemiliania lacunosa,Discoaster triradiatus,Discoaster asymmetricus,Discoaster pentaradiatus,Discoaster brouweri,Amaurolithus delicatus,Helicosphaera neogranulata,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,Pleistocene      ,CN13a             ,CN12d         ,189,1168,B,  1,H,CC,  21.00,      3.8900,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,C                     ,                   ,C                   ,A                    ,                               ,                        ,                      ,                       ,                        ,                   ,                      ,F                         ,A                        ,F                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B,  2,H,CC,  11.00,     12.8500,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,A                     ,                   ,F                   ,A                    ,                               ,C                       ,                      ,                       ,                        ,                   ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,CN12d             ,CN12d         ,189,1168,B,  3,H,CC,  28.00,     23.4400,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,A                     ,                   ,C                   ,A                    ,                               ,                        ,R                     ,                       ,                        ,C                  ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,CN12d             ,CN12d         ,189,1168,B,  4,H,CC,  15.00,     32.2100,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,A                     ,                   ,                    ,A                    ,                               ,                        ,                      ,                       ,                        ,F                  ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,CN12d             ,CN12d         ,189,1168,B,  5,H,CC,  11.00,     42.1300,nannos   ,Nannofossils                                 ,A              ,M                 ,                   ,                   ,A                     ,                   ,F                   ,A                    ,                               ,                        ,R                     ,                       ,                        ,C                  ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Late Pliocene    ,Late Pliocene    ,CN12b             ,CN12a         ,189,1168,B,  6,H,CC,   8.00,     51.5100,nannos   ,Nannofossils                                 ,A              ,M                 ,F                  ,                   ,A                     ,                   ,F                   ,A                    ,                               ,                        ,                      ,                       ,                        ,F                  ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B,  7,H,CC,   8.00,     61.3200,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,A                     ,                   ,                    ,A                    ,                               ,                        ,                      ,                       ,F                       ,F                  ,R                     ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B,  8,H,CC,  15.00,     69.9100,nannos   ,Nannofossils                                 ,A              ,G                 ,                   ,                   ,A                     ,                   ,F                   ,A                    ,C                              ,                        ,R                     ,                       ,C                       ,                   ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,CN11a             ,CN10c         ,189,1168,B,  9,H,CC,   0.00,     78.9000,nannos   ,Nannofossils                                 ,A              ,M                 ,A                  ,                   ,A                     ,                   ,C                   ,A                    ,A                              ,C                       ,R                     ,F                      ,                        ,                   ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,189,1168,B, 10,H,CC,  12.00,     87.9900,nannos   ,Nannofossils                                 ,A              ,M                 ,                   ,                   ,A                     ,                   ,F                   ,A                    ,                               ,                        ,                      ,                       ,                        ,                   ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Early Pliocene   ,Early Pliocene   ,CN10b             ,CN10b         ,189,1168,B, 12,H,CC,   7.00,    108.4100,nannos   ,Nannofossils                                 ,A              ,G                 ,F                  ,F                  ,F                     ,R                  ,                    ,                     ,                               ,                        ,                      ,                       ,                        ,                   ,                      ,                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
