Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Globorotalia plesiotumida,Globorotalia limbata,Globoquadrina venezuelana,Globigerinoides trilobus,Globigerinoides sacculifer,Globigerinoides ruber,Globigerinoides obliquus,Globigerinoides extremus,Neogloboquadrina acostaensis,Globorotaloides hexagona,Globorotalia menardii,Globorotalia exilis,Globigerinita glutinata,Pulleniatina obliquiloculata,Dentoglobigerina globosa,Neogloboquadrina dutertrei,Globorotalia tumida,Globorotalia tosaensis,Orbulina universa,Neogloboquadrina humerosa,Candeina nitida,Globorotalia bermudezi,Globigerinoides tenellus,Globigerinoides quadrilobatus,Globorotalia ungulata,Globorotalia theyeri,Globorotalia scitula,Sphaeroidinella dehiscens,Globigerina falconensis,Pulleniatina finalis,Globigerinoides conglobatus,Globigerinoides immaturus,Globorotalia crassula,Neogloboquadrina pachyderma,Globigerinella aequilateralis,Zeaglobigerina decoraperta,Dentoglobigerina altispira,Globigerina bulloides,Zeaglobigerina rubescens,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  1,H,CC,  26.00,      7.9900,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                              ,                         ,                    ,                         ,                        ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,                          ,                   ,                      ,                 ,                         ,               ,R                     ,R                       ,R                            ,                     ,R                   ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,R                            ,                          ,                          ,                     ,                        ,P                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  3,X,CC,  25.00,     21.5000,Ibaraki  ,Planktonic Foraminifers                      ,R              ,M                 ,                              ,                         ,                    ,                         ,                        ,                          ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,R                      ,                            ,                        ,R                         ,R                  ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,R                          ,                             ,                          ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  4,X,CC,  27.00,     29.7600,Ibaraki  ,Planktonic Foraminifers                      ,R              ,G                 ,                              ,                         ,                    ,                         ,R                       ,R                         ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,                       ,R                           ,                        ,R                         ,                   ,                      ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,R                          ,                         ,                     ,                           ,                             ,R                         ,                          ,                     ,                        ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Pleistocene      ,                  ,N22           ,170,1043,A,  5,X,CC,  16.00,     38.9300,Ibaraki  ,Planktonic Foraminifers                      ,F              ,G                 ,                              ,                         ,                    ,                         ,R                       ,                          ,R                    ,                        ,                        ,                            ,R                       ,R                    ,                   ,R                      ,R                           ,                        ,R                         ,R                  ,R                     ,                 ,                         ,               ,                      ,                        ,                             ,                     ,                    ,                    ,                         ,                       ,                    ,                           ,                         ,                     ,                           ,                             ,                          ,                          ,                     ,                        ,                         ,       
