Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus verensis,Sphenolithus moriformis,Sphenolithus abies,Reticulofenestra pseudoumbilicus,"Reticulofenestra ""small""",Discoaster quinqueramus,Discoaster intercalaris,Discoaster brouweri,Discoaster berggrenii,Coccolithus miopelagicus,Triquetrorhabdulus rugosus,Calcidiscus leptoporus,Pontosphaera discopora,Helicosphaera carteri,Discoaster surculus,Ceratolithus rugosus,Calcidiscus macintyrei,Helicosphaera sellii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Sphenolithus heteromorphus,Helicosphaera ampliaperta,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Reticulofenestra asanoi,Helicosphaera wallichii,Helicosphaera neogranulata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1043,A,  1,H,CC,  26.00,      7.9900,Muza     ,Nannofossils                                 ,R              ,M                 ,rR                   ,rR                     ,                  ,                                ,R                       ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,                     ,                   ,                    ,                      ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,170,1043,A,  2,H,CC,  48.00,     16.8900,Muza     ,Nannofossils                                 ,T              ,P                 ,                     ,                       ,                  ,                                ,                        ,                       ,                       ,                   ,                     ,                        ,                          ,R                     ,                      ,                     ,                   ,                    ,rR                    ,                    ,                     ,                         ,                        ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  3,X,CC,  25.00,     21.5000,Muza     ,Nannofossils                                 ,R              ,G                 ,                     ,                       ,                  ,                                ,R                       ,                       ,                       ,                   ,                     ,                        ,                          ,                      ,                      ,                     ,                   ,                    ,                      ,rR                  ,                     ,                         ,rR                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Late Pliocene    ,                  ,NN19          ,170,1043,A,  4,X,CC,  27.00,     29.7600,Muza     ,Nannofossils                                 ,A              ,G                 ,                     ,                       ,                  ,                                ,A                       ,                       ,                       ,                   ,                     ,                        ,                          ,C                     ,R                     ,F                    ,                   ,                    ,                      ,rR                  ,C                    ,C                        ,rF                      ,                          ,                         ,                     ,                           ,                      ,                       ,                       ,                          ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
