Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira jouseae	Thalassiosira antiqua	Thalassionema nitzschioides	Stephanopyxis turris	Proboscia barboi	Paralia sulcata	Nitzschia reinholdii	Nitzschia fossilis	Neodenticula seminae	Neodenticula koizumii	Chaetoceros spp. (resting spores)	Actinoptychus senarius	Actinocyclus oculatus	Actinocyclus curvatulus	Thalassiosira oestrupii	Thalassiosira latimarginata	Thalassiosira eccentrica	Coscinodiscus marginatus	Thalassiothrix longissima	Thalassiosira gravida	Proboscia curvirostris	Bacterosira fragilis	Rhizosolenia hebetata f. hiemalis	Fragilariopsis doliolus	Coscinodiscus radiatus	Denticulopsis simonsenii	Thalassiosira lineata	Rhizosolenia bergonii	Comment



  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	D	  1	H	CC	  25.00	      7.5100	Ikeda    	Diatoms                                      	A              	G                 	                     	                     	F                          	F                   	                	               	                    	                  	F                   	                     	F                                	                      	                     	R                      	R                      	F                          	                        	                        	R                        	R                    	                      	T                   	C                                	                       	                      	                        	R                    	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	D	  2	H	CC	  23.00	     17.4400	Ikeda    	Diatoms                                      	A              	G                 	                     	                     	R                          	F                   	                	               	                    	                  	F                   	                     	F                                	                      	                     	F                      	R                      	R                          	                        	                        	R                        	C                    	                      	                    	                                 	F                      	R                     	                        	R                    	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 12            	NPD 12        	186	1151	D	  3	H	 4	  70.00	     22.2000	Ikeda    	Diatoms                                      	C              	G                 	F                    	                     	R                          	                    	                	               	                    	                  	F                   	                     	F                                	                      	                     	R                      	                       	                           	                        	                        	                         	R                    	                      	                    	                                 	                       	                      	                        	T                    	R                    	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  3	H	CC	  25.00	     26.8800	Ikeda    	Diatoms                                      	C              	G                 	F                    	                     	R                          	                    	                	               	                    	                  	R                   	                     	C                                	                      	                     	                       	R                      	T                          	                        	R                       	R                        	F                    	T                     	T                   	                                 	R                      	                      	r                       	                     	                     	rework=T(D.sim)

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  4	H	CC	  24.00	     36.4200	Ikeda    	Diatoms                                      	A              	G                 	F                    	                     	F                          	                    	                	               	                    	                  	F                   	                     	A                                	                      	                     	R                      	R                      	R                          	                        	R                       	                         	C                    	R                     	                    	R                                	R                      	                      	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  5	H	CC	  23.00	     45.7100	Ikeda    	Diatoms                                      	C              	G                 	F                    	                     	R                          	F                   	                	               	T                   	                  	R                   	                     	F                                	                      	                     	R                      	                       	                           	                        	                        	                         	F                    	                      	                    	R                                	R                      	R                     	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  6	H	CC	  23.00	     55.3700	Ikeda    	Diatoms                                      	C              	G                 	R                    	                     	F                          	R                   	                	               	                    	                  	F                   	                     	C                                	                      	                     	                       	                       	                           	                        	                        	                         	F                    	R                     	                    	R                                	T                      	R                     	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  7	H	CC	   7.00	     64.5600	Ikeda    	Diatoms                                      	A              	G                 	                     	                     	F                          	                    	                	               	R                   	                  	C                   	                     	C                                	                      	                     	F                      	R                      	R                          	                        	                        	                         	F                    	R                     	                    	                                 	                       	                      	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 11            	NPD 11        	186	1151	D	  8	H	CC	  24.00	     74.6300	Ikeda    	Diatoms                                      	A              	G                 	F                    	                     	F                          	                    	                	               	R                   	T                 	F                   	                     	F                                	                      	                     	R                      	                       	                           	                        	C                       	R                        	R                    	F                     	F                   	                                 	                       	                      	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 10            	NPD 10        	186	1151	D	  9	H	CC	  24.00	     83.4300	Ikeda    	Diatoms                                      	A              	G                 	F                    	                     	F                          	                    	                	               	R                   	R                 	F                   	                     	F                                	                      	F                    	                       	R                      	T                          	R                       	R                       	                         	                     	                      	                    	                                 	                       	                      	                        	                     	                     	       

  IR	Pleistocene      	Pleistocene      	NPD 9             	NPD 9         	186	1151	D	 10	H	CC	  16.00	     93.2700	Ikeda    	Diatoms                                      	C              	G                 	R                    	T                    	F                          	R                   	F               	R              	R                   	T                 	F                   	F                    	C                                	T                     	F                    	R                      	                       	                           	                        	                        	                         	                     	                      	                    	                                 	                       	                      	                        	                     	                     	       

