Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pseudohastigerina micra,Acarinina primitiva,Globanomalina australiformis,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Middle Eocene    ,                  ,              ,183,1136,A,  4,R,CC,   5.00,     27.6400,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,+                      ,+                  ,+                           ,Upper AP7.
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Eocene     ,                  ,              ,183,1136,A,  6,R,CC,   7.00,     52.4700,Coxall   ,Planktonic Foraminifers                      ,A              ,G                 ,-                      ,+                  ,                            ,Lower AP7.
,,,,,,,,,,,,,,,,,,,,
