Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygodiscus erectus	Zygodiscus elegans	Zygodiscus diplogrammus	Watznaueria barnesae	Vekshinella crux	Vekshinella angusta	Tranolithus orionatus	Tegumentum stradneri	Stephanolithion laffittei	Rhagodiscus asper	Rhagodiscus angustus	Reinhardtites fenestratus	Radiolithus planus	Prediscosphaera columnata	Podorhabdus coronadventis	Podorhabdus albianus	Manivitella pemmatoidea	Lucianorhabdus compactus	Lithraphidites carniolensis	Lithraphidites alatus	Lithastrinus floralis	Eiffellithus turriseiffelii	Cretarhabdus crenulatus	Chiastozygus litterarius	Broinsonia signata	Braarudosphaera regularis	Braarudosphaera africana	Biscutum constans	Bidiscus ignotus	Vekshinella matalosa	Nannoconus truitti	Helicolithus trabeculatus	Cyclagelosphaera margerelii	Corollithion signum	Rhagodiscus splendens	Parhabdolithus infinitus	Parhabdolithus embergeri	Gartnerago nanum	Broinsonia enormis	Zygodiscus minimus	Scapholithus fossilis	Corollithion completum	Markalius circumradiatus	Cruciellipsis chiasta	Cretarhabdus loriei	Bidiscus rotatorius	Zeugrhabdotus acanthus	Zeugrhabdotus theta	Cretarhabdus surirellus	Corollithion achylosum	Prediscosphaera cretacea	Lithraphidites acutum	Corollithion exiguum	Chiastozygus amphipons	Podorhabdus dietzmannii	Zygodiscus spiralis	Repagalum parvidentatum	Quadrum nitidum	Micula decussata	Microrhabdulus decoratus	Lucianorhabdus cayeuxii	Lithraphidites praequadratus	Eiffellithus eximius	Cylindralithus serratus	Cribrosphaerella pelta	Cribrosphaerella ehrenbergii	Cribrosphaerella circula	Cribrocorona gallica	Ceratolithoides aculeus	Broinsonia parca	Arkhangelskiella cymbiformis	Ahmuellerella regularis	Gartnerago obliquum	Cyclagelosphaera rotaclypeata	Ceratolithoides verbeekii	Reinhardtites anthophorus	Micula concava	Lithastrinus grillii	Broinsonia furtiva	Podorhabdus decorus	Phanulithus obscurus	Prediscosphaera spinosa	Quadrum trifidum	Prediscosphaera majungae	Lucianorhabdus quadrifidus	Cretarhabdus conicus	Rhagodiscus reniformis	Reinhardtites levis	Quadrum quadratum	Microrhabdulus belgicus	Eiffellithus gorkae	Ahmuellerella octoradiata	Comment



  SR	Campanian        	                 	CC22(Perch-Nielsen)	              	101	 627	B	 27	X	 1	  40.00	    249.1000	Watkins  	Nannofossils                                 	               	P                 	                  	                  	R                      	A                   	R               	                   	                     	                    	R                        	                 	R                   	                         	                  	                         	                         	                    	F                      	                        	R                          	                     	                     	F                          	R                      	R                       	                  	                         	                        	                 	                	                    	                  	                         	                           	                   	R                    	                        	R                       	                	                  	                  	                     	                      	                        	                     	                   	                   	R                     	                   	R                      	                      	F                       	                     	                    	R                     	                       	F                  	R                      	R              	F               	F                       	R                      	R                           	R                   	R                      	C                     	R                           	R                       	                    	R                      	F               	C                           	                       	                   	                             	                         	R                        	              	                    	                  	                   	R                   	R                      	R               	                        	                          	R                   	                      	R                  	                 	                       	R                  	                         	from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 2 p 72-73

  SR	Campanian        	                 	CC22(Perch-Nielsen)	              	101	 627	B	 27	X	 3	  40.00	    252.1000	Watkins  	Nannofossils                                 	               	P                 	                  	                  	F                      	C                   	R               	                   	R                    	                    	                         	                 	R                   	                         	                  	                         	                         	                    	R                      	                        	R                          	                     	                     	R                          	F                      	R                       	                  	                         	                        	R                	                	                    	                  	                         	                           	                   	R                    	                        	R                       	                	                  	                  	                     	                      	                        	                     	                   	                   	R                     	                   	R                      	                      	F                       	                     	R                   	F                     	                       	R                  	R                      	R              	R               	F                       	R                      	R                           	R                   	R                      	F                     	R                           	R                       	R                   	R                      	F               	L                           	R                      	                   	                             	                         	R                        	              	                    	                  	                   	                    	                       	R               	                        	                          	F                   	                      	R                  	                 	                       	R                  	                         	from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 2 p 72-73

  SR	Campanian        	                 	CC22(Perch-Nielsen)	              	101	 627	B	 27	X	 5	  40.00	    255.1000	Watkins  	Nannofossils                                 	               	P                 	                  	                  	R                      	A                   	                	                   	R                    	                    	                         	                 	R                   	                         	                  	                         	                         	                    	F                      	                        	R                          	                     	                     	R                          	R                      	R                       	                  	                         	                        	R                	                	                    	                  	                         	                           	                   	R                    	                        	R                       	                	                  	                  	                     	                      	                        	                     	                   	                   	                      	                   	R                      	                      	C                       	                     	                    	R                     	                       	R                  	R                      	R              	R               	F                       	R                      	R                           	R                   	R                      	R                     	R                           	R                       	R                   	R                      	F               	R                           	                       	                   	                             	                         	                         	              	                    	                  	                   	                    	                       	R               	                        	                          	R                   	R                     	R                  	R                	                       	                   	                         	from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 2 p 72-73

  SR	Campanian        	                 	CC22(Perch-Nielsen)	              	101	 627	B	 28	X	 1	  40.00	    258.6000	Watkins  	Nannofossils                                 	               	P                 	                  	                  	R                      	C                   	R               	                   	F                    	                    	                         	                 	R                   	                         	                  	                         	                         	                    	R                      	                        	R                          	                     	                     	R                          	R                      	R                       	                  	                         	                        	                 	                	                    	                  	                         	                           	                   	                     	                        	R                       	                	                  	                  	                     	                      	                        	                     	                   	                   	                      	                   	F                      	                      	F                       	                     	                    	R                     	                       	R                  	R                      	R              	R               	F                       	R                      	R                           	R                   	R                      	F                     	C                           	F                       	R                   	R                      	R               	R                           	                       	                   	R                            	                         	R                        	              	                    	R                 	R                  	                    	                       	R               	                        	                          	R                   	R                     	R                  	                 	                       	R                  	                         	from Watkins & Verbeek; ODP 101 SR Chapter 3 Table 2 p 72-73
