Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Paragloborotalia nympha,Paragloborotalia continuosa,Orbulina universa,Orbulina suturalis,Globoturborotalita woodi,Globoturborotalita decoraperta,Globoturborotalita apertura,Globorotalia panda,Globorotalia miotumida,Globorotalia explicationis,Globorotalia conoidea,Globigerinita uvula,Globigerinita glutinata,Globigerinella obesa,Globigerina quinqueloba,Globigerina falconensis,Globigerina bulloides,Globorotalia scitula,Paragloborotalia nana,Globorotalia juanai,Neogloboquadrina pachyderma (sinistral),Sphaeroidinellopsis seminulina,Globorotalia conomiozea,Globorotalia puncticuloides,Globorotalia pliozea,Globorotalia challengeri,Neogloboquadrina humerosa,Globorotalia sphericomiozea,Globorotalia puncticulata,Globorotalia crassaformis,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN12a         ,189,1172,C,  8,H,CC,  15.00,     76.2200,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                           ,+                ,                  ,                        ,                              ,+                          ,                  ,                      ,                          ,                     ,                   ,+                      ,                    ,                       ,+                      ,+                    ,                    ,                     ,                   ,+                                      ,                              ,+                      ,+                          ,+                   ,+                       ,+                        ,+                          ,+                        ,+                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1172,C,  9,H,CC,  27.00,     85.8100,forams   ,Planktonic Foraminifers                      ,A              ,G                 ,                       ,                           ,+                ,                  ,                        ,                              ,                           ,                  ,                      ,                          ,                     ,+                  ,+                      ,                    ,+                      ,+                      ,+                    ,+                   ,                     ,                   ,+                                      ,                              ,+                      ,+                          ,                    ,+                       ,+                        ,+                          ,                         ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1172,C, 10,H,CC,   0.00,     94.4500,forams   ,Planktonic Foraminifers                      ,C              ,M                 ,                       ,                           ,+                ,                  ,                        ,                              ,                           ,                  ,                      ,                          ,                     ,+                  ,                       ,                    ,                       ,+                      ,+                    ,+                   ,                     ,                   ,+                                      ,                              ,+                      ,+                          ,+                   ,+                       ,                         ,                           ,                         ,                         ,some dissolution
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,SN11          ,189,1172,C, 11,H,CC,  21.00,    104.9000,forams   ,Planktonic Foraminifers                      ,C              ,G                 ,                       ,                           ,+                ,                  ,                        ,                              ,                           ,                  ,                      ,                          ,                     ,                   ,                       ,                    ,                       ,+                      ,+                    ,+                   ,                     ,                   ,+                                      ,                              ,+                      ,                           ,                    ,                        ,                         ,                           ,                         ,                         ,       
