Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comment,Preservation,Nannofossil abundance,Fasciculithus involutus,Discoaster diastypus,Tribrachiatus orthostylus,Sphenolithus radians,Tribrachiatus contortus,Discoaster lodoensis,Discoaster sublodoensis,Girgisia gammation,Nannotetrina cristata,Nannotetrina  fulgens,Chiasmolithus gigas,Sphenolithus furcatolithoides,Reticulofenestra umbilicus (> 14 μm),Reticulofenestra reticulata,Chiasmolithus solitus,Dictyococcites bisectus (> 10 μm),Isthmolithus recurvus,Chiasmolithus grandis,Chiasmolithus oamaruensis,Discoaster barbadiensis,Discoaster saipanensis,Coccolithus formosus,Sphenolithus distentus,Sphenolithus ciperoensis,Sphenolithus predistentus,Triquetrorhabdulus sp. (long),Sphenolithus delphix,Biantholithus sparsus,Biantholithus? flosculus,Blackites amplus bases,Blackites creber,Blackites gladius,Blackites herculesii,Blackites inflatus,Blackites perlongus,Blackites spinosus,Blackites tenuis,Braarudosphaera bigelowii,Bramletteius serraculoides,Calcidiscus pacificanus,Calcidiscus protoannulus,Calciosolenia aperta,Calciosolenia fossilis,calcispheres,Campylosphaera dela,Chiasmolithus altus,Chiasmolithus bidens,Chiasmolithus californicus (> 13 μm),Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus nitidus,Chiasmolithus titus,Chiphragmolithus acanothodes,Chiphragmolithus armatus,Chiphragmolithus barbatus,Chiphragmolithus calathus,Clausicoccus fenestratus,Clausicoccus subdistichus,Clausicoccus vanheckiae,Coccolithus cachaoi,Coccolithus eopelagicus (> 14 μm),Coccolithus pelagicus,Coronocyclus nitescens,Cruciplacolithus cruciformis,Cruciplacolithus edwardsii,Cruciplacolithus latipons,Cyclicargolithus abisectus (11 μm),Cyclicargolithus floridanus (5-11 μm),Cyclicargolithus floridanus small (< 5 μm),Cyclicargolithus? luminis,Daktylethra punctulata,Dictyococcites scrippsae (< 10 μm),Discoaster araneus,Discoaster backmanii,Discoaster bifax,Discoaster binodosus,Discoaster deflandrei,Discoaster delicatus,Discoaster distinctus,Discoaster falcatus,Discoaster kuepperi,Discoaster lenticularis,Discoaster mahmoudii,Discoaster mediosus,Discoaster nodifer,Discoaster ornatus,Discoaster pacificus,Discoaster paelikei,Discoaster salisburgensis,Discoaster tanii,Discoaster wemmelensis,Ellipsolithus anadoluensis,Ellipsolithus distichus,Ellipsolithus macellus,Ericsonia robusta (small),Hayella situliformis,Helicosphaera bramlettei,Helicosphaera clarissima,Helicosphaera compacta,Helicosphaera ethologa,Helicosphaera euphratis,Helicosphaera gartneri,Helicosphaera heezenii,Helicosphaera lophota,Helicosphaera obliqua,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera reticulata,Helicosphaera seminulum,Helicosphaera wilcoxonii,Ilselithina fusa,Jakubowskia leoniae,Lanternithus minutus,Lophodolithus acutus,Lophodolithus mochlophorus,Lophodolithus nascens,Lophodolithus reniformis,Lophodolithus rotundus,Markalius inversus,Micrantholithus attenuatus,Micrantholithus flos,Neochiastozygus junctus,Neochiastozygus rosenkrantzii,Neococcolithes dubius,Neococcolithes protenus,Neocrepidolithus grandiculus,Pedinocyclus larvalis,Pemma basquense,Pemma papillatum,Pontosphaera exilis,Pontosphaera multipora,Pontosphaera plana,Pontosphaera versa,Pseudotriquetrorhabdulus inversus,Reticulofenestra daviesii,Reticulofenestra dictyoda  (10-14 μm),Reticulofenestra dictyoda  (3-10 μm),Reticulofenestra lockeri,Reticulofenestra minuta (< 3 μm),Rhomboaster calcitrapa,Rhomboaster cuspis,Scyphosphaera apsteinii,Sphenolithus akropodus,Sphenolithus arthurii,Sphenolithus conicus,Sphenolithus conspicuus,Sphenolithus editus,Sphenolithus moriformis,Sphenolithus obtusus,Sphenolithus orphanknollensis,Sphenolithus pseudoradians,Sphenolithus runus,Sphenolithus spiniger,Sphenolithus strigosus,Sphenolithus tribulosus,Sphenolithus villae,Toweius callosus,Toweius crassus,Toweius eminens,Toweius magnicrassus,Toweius occultatus,Toweius pertusus,Toweius serontinus,Tribrachiatus digitalis,Umbilicosphaera bramlettei,Umbilicosphaera jordanii,Zeugrhabdotus sigmoides,Zygodiscus plectopons,Zygrhablithus bijugatus
320-U1334A-10H-3-W 90/90,320,U1334,A,10,10-3,H,3,W,90/90,0,0,88.1,88.1,PB - ,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],R [320_Ns],,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,
320-U1334A-10H-6-W 90/90,320,U1334,A,10,10-6,H,6,W,90/90,0,0,92.6,92.6,PB - ,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,A [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,
320-U1334A-10H-7-W 30/30,320,U1334,A,10,10-7,H,7,W,30/30,0,0,93.5,93.5,TDJ - no delphix,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-10H-CC-PAL-NANNO,320,U1334,A,10,10-CC,H,CC,PAL,NANNO,0,0,93.95,93.95,PB/TDJ - delphix,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],F [320_Ns],,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,C [320_Ns],,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-1-W 100/101,320,U1334,A,11,11-1,H,1,W,100/101,0,0,94.7,94.7,TDJ - ,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-2-W 100/101,320,U1334,A,11,11-2,H,2,W,100/101,0,0,96.2,96.2,TDJ - ,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-3-W 20/21,320,U1334,A,11,11-3,H,3,W,20/21,0,0,96.9,96.9,PB - carinatus,M [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,C [320_Ns],F [320_Ns],,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-6-W 30/31,320,U1334,A,11,11-6,H,6,W,30/31,0,0,101.5,101.5,PB - carinatus,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,C [320_Ns],F [320_Ns],,,,,,,,,,,,,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,
320-U1334A-11H-CC-PAL-NANNO,320,U1334,A,11,11-CC,H,CC,PAL,NANNO,0,0,103.75,103.75,PB - carinatus,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],F [320_Ns],,,,,,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1334A-12H-2-W 70/70,320,U1334,A,12,12-2,H,2,W,70/70,0,0,105.4,105.4,PB - carinatus,P [320_N],A [320_Ng],,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,,C [320_Ns],,,,,,,,,,,,,,,A [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [320_Ns],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C [320_Ns],,,C [320_Ns],,,,,,,,,,,,,,,,,,,,,
