Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Hemiaulus altus,Hemiaulus angustobrachiatus,Hemiaulus caracteristicus,Hemiaulus danicus,Hemiaulus dissimilis,Hemiaulus grassus,Hemiaulus incisus,Hemiaulus inequilaterus,Hemiaulus peripterus,Hemiaulus polycystinorum,Hemiaulus polymorphus var. morsianus,Hemiaulus rectus var. twista,Hemiaulus sp.,Hemiaulus stilwelli,Hemiaulus subacutus,Hemiaulus taurus,Hemidiscus cuneiformis,Hemidiscus karstenii,Hemidiscus karstenii f.1,Hercotheca sp.,Hyalodiscus sp.,Ikebea tenuis,Kannoa hastata,Kannoa sp.,Kisseleviella carina,Kisseleviella cicatricata,Kisseleviella ezoensis,Kisseleviella faballiforma,Kisseleviella gaster,Kisseleviella sp.,Kisseleviella tricoronata,Kisselviella magnaareolata,Liradiscus ovalis,Lisitzinia ornata,Lithodesmium minusculum,Navicula directa,Navicula spp.,Navicula wisei,Naviculata udintsevii,Neobrunia mirabilis,Nitzschia denticuloides,Nitzschia efferans,Nitzschia grossepunctata,Nitzschia miocenica,Nitzschia sicula,Nitzschia sp. 17,Nitzschia spp.,Odontella spp.,Paralia sulcata,Paralia sulcata var. crenulata,Porosira glacialis,Porosira pseudodenticulata,Porotheca danica,Proboscia barboi,Proboscia ?cretacea,Proboscia curvirostris,Proboscia inermis,Proboscia sp,Pseudopodosira sp.,Pseudopyxilla spp.,Pseudotriceratium radiosoreticulatum,Pterotheca aculeifera,Pterotheca sp. A of Scherer et al. 2001,Pyrgupyxis eocena,Pyxilla prolongata,Pyxilla sp.,Pyxilla reticulata,Raphidodiscus marylandicus,Rhabdonema spp.,Rhaphoneis amphiceros,Rhaphoneis spp.,Rhizosolenia antarctica,Rhiozosolenia antennata var. antennata,Rhizosolenia antennata var. semispina,Rhizosolenia costata,Rhizosolenia fidicularis,Rhizosolenia harwoodii,Rhizosolenia hebetata,Rhizosolenia hebetata f. hebetata,Rhizosolenia hebetata f. semispina,Rhizosolenia simplex,Rhizosolenia sp. B,Rhizosolenia sp. D sensu Olney et al 2007,Rhizosolenia oligocaenica,Rhizosolenia spp.,Rocella gelida,Rocella gelida  var. schraderi,Rocella praenitida,Rocella semigelida,Rocella vigilans var. A,Rocella vigilans var. B,Roperia tesselata,Rossiella fennerae,Rossiella symmetrica,Rouxia antarctica,Rouxia californica,Rouxia constricta,Rouxia diploneides,Rouxia heteropolara,Rouxia isopolica,Rouxia leventerae,Rouxia naviculoides,Rouxia peragalli,Rouxia sp. 2 of Gersonde and Burckle,Rouxia spp.,Rouxia sp. spatulate long heteropolar (MIS),Rylandsia biradiata,Sceptroneis lingulatus,Sceptroneis pesplanus,Sceptroneis sp.,Shionodiscus gracilis var. expectus,Shionodiscus sp. Exp 318,Sceptroneis sp. (small),Shionodiscus gracilis var. gracilis,Shionodiscus oestrupii,Shionodiscus tetraoestrupii,Shionodiscus tetraoestrupii var. reimeri,Skeletonema penicillus,Skeletonema utriculosa,"""Skeletonema"" utriculosa",Skeletonemopsis barbabadensis,Skeletonemopsis mahoodii,Skeletonemopsis and Skeletonema grp,Sphynctolethus pacificus,Stellarima microtrias,Stellarima stellaris,Stephanonycites coronis,Stephanonycites tabularis,Stephanonycites variegatus,Stephanopyxis grunowii,Stephanopyxis spp.,Stictodiscus hardmanianus,Stictodiscus kittonianus,Syndendrium rugosum,Synedropsis cheethamii,Synedropsis sp.,Synedropsis sp. C,Thalassionema nitzschioides  var. parva,Thalassionema nitzschioides,Thalassiosira frauenfeldii,Thalassiosira antarctica,Thalassiosira complicata,Thalassiosira convexa,Thalassiosira convexa var. aspinosa,Thalassiosira eccentrica,Thalassiosira elliptipora,Thalassiosira fasciculata,Thalassiosira gravida,Thalassiosira insigna,Thalassiosira insigna/inura trans,Thalassiosira inura,Thalassiosira aff. Inura,Thalassiosira jacksonii,Thalassiosira kolbei,Thalassiosira lentiginosa,Thalassiosira lentiginosa var. obovatus,Thalassiosira lineata,Thalassiosira mahoodii,Thalassiosira miocenica,Thalassiosira nansenii,Thalassiosira nativa,Thalassiosira oliverana,Thalassiosira oliverana var. sparsa,Thalassiosira poroseriata,Thalassiosira praeconvexa,Thalassiosira praefraga,Thalassiosira sp.,Thalassiosira spp.,Thalassiosira striata,Thalassiosira teres,Thalassiosira torokina,Thalassiosira trifulta,Thalassiosira tumida,Thalassiosira vulnifica,Thalassiosira yabei,Thalassiosira webbii,Thalassiothrix antarctica,Thalassiothrix flaugenferdii,Thalassiothrix longissima,Thalassiothrix miocenica,Triceratium inconspicuum var. trilobata,Triceratium kanayae,Triceratium kanayae var. quadriloba,Triceratium pileus,Triceratium pulvinar,Triceratium unguiculatum,Trichotoxon reinboldii,Trinacria cornuta,Trinacria excavata,Trinacria simulacrum,Trinacria spp.,Trochosira coronata,Trochosira spinosa,Tubaformis unicornis,Vallodiscus sp.,Vallodiscus lanceolatus,Xanthiopyxis sp.,Nitzschia denticuloides var. M,Trochosira spp.
318-U1361A-1H-CC-PAL,318,U1361,A,1,1-CC,H,CC,PAL,0,7,8.96,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,
318-U1361A-2H-CC-PAL,318,U1361,A,2,2-CC,H,CC,PAL,0,7,18.97,19.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,
318-U1361A-3H-CC-PAL,318,U1361,A,3,3-CC,H,CC,PAL,0,5,28.215,28.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,R-F,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,X[318_Si],R[318_Si],,,,,,,,X[318_Si],,,,,,,R[318_Si],,,,,,X[318_Si],,,X[318_Si],,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,
318-U1361A-4H-CC-PAL,318,U1361,A,4,4-CC,H,CC,PAL,0,5,36.48,36.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,F[318_Si],,,X[318_Si],,,,,,,R[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,X[318_Si],,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,
318-U1361A-5H-CC-PAL,318,U1361,A,5,5-CC,H,CC,PAL,0,5,47.37,47.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,R[318_Si],,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,
318-U1361A-6H-CC-PAL,318,U1361,A,6,6-CC,H,CC,PAL,0,5,56.675,56.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,F[318_Si],,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,
318-U1361A-7H-CC-PAL,318,U1361,A,7,7-CC,H,CC,PAL,0,5,66.5,66.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,X?,,,,F[318_Si],,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,X[318_Si],X[318_Si],,,,,,,,,X[318_Si],,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,X[318_Si],,,,R[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-8H-CC-PAL,318,U1361,A,8,8-CC,H,CC,PAL,0,5,75.12,75.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,F[318_Si],,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,
318-U1361A-9H-CC-PAL,318,U1361,A,9,9-CC,H,CC,PAL,0,5,85.39,85.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,
318-U1361A-10H-CC-PAL,318,U1361,A,10,10-CC,H,CC,PAL,0,5,94.94,94.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,F[318_Si],,,,,,,,,,R[318_Si],,,F[318_Si],,X[318_Si],,X[318_Si],,,,X[318_Si],,,,,,X[318_Si],,,F[318_Si],R[318_Si],,,,,,,,,X[318_Si],,,,,,F[318_Si],,,,X[318_Si],,,,F[318_Si],,,X[318_Si],,,,,X[318_Si],,,,F[318_Si],,,,,,,,,,,X[318_Si],,,,,,,F[318_Si],,,,,,,X[318_Si],F[318_Si],,,,,,,,,,,,,,,,,,,,,,
