Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Sample comment,Preservation,Group abundance,Florisphaera profunda,Emiliania huxleyi,Gephyrocapsa ericsonii,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Pseudoemiliania lacunosa,Pseudoemiliania ovata,Reticulofenestra asanoi,Reticulofenestra pseudoumbilicus,Reticulofenestra minuta,Reticulofenestra haqii,Reticulofenestra rotaria,Dictyococcites antarcticus,Cyclicargolithus floridanus,Coccolithus pelagicus,Coccolithus miopelagicus,Calcidiscus leptoporus,Calcidiscus macintyrei,Umbilicosphaera sibogae,Umbilicosphaera jafari,Umbilicosphaera rotula,Oolithotus fragilis,Helicosphaera carteri,Helicosphaera wallichii,Helicosphaera pavimentum,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera sellii,Helicosphaera stalis,Helicosphaera walbersdorfensis,Pontosphaera multipora,Pontosphaera japonica,Pontosphaera discopora,Scyphosphaera apsteinii,Scyphosphaera pulcherrima,Scyphosphaera canescens,Scyphosphaera globulata,Rhabdosphaera clavigera,Discosphaera tubifera,Umbellosphaera irregularis,Umbellosphaera tenuis,Syracosphaera pulchra,Syracosphaera lamina,Calciosolenia murrayi,Ceratolithus cristatus,Ceratolithus acutus,Amaurolithus tricorniculatus,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus amplificus,Sphenolithus abies,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster brouweri,Discoaster triradiatus,Discoaster variabilis,Discoaster pentaradiatus,Discoaster surculus,Discoaster tamalis,Discoaster asymmetricus,Discoaster quinqueramus,Discoaster berggrenii,Discoaster bollii,Discoaster bellus,Discoaster loeblichii,Discoaster hamatus,Discoaster neohamatus,Discoaster deflandrei,Discoaster kugleri,Discoaster petaliformis,Discoaster signus,Discoaster druggii,Orthorhabdus rugosus,Calcidiscus premacintyrei,Catinaster calyculus,Catinaster coalitus,Ceratolithus larrymayeri,Gephyrocapsa omega,Coronocyclus nitescens,Helicosphaera ampliaperta,Helicosphaera euphratis,Minylitha convallis,Orthorhabdus serratus,Sphenolithus capricornutus,Sphenolithus disbelemnos,Triquetrorhabdulus carinatus,Algirosphaera robusta,Braarudosphaera bigelowii,Calcidiscus pacificanus,Calcidiscus pataecus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Catinaster mexicanus,Cryptococcolithus mediaperforate,Dictyococcites bisectus,Discoaster altus,Discoaster bergenii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster exilis,Discoaster extensus,Discoaster musicus,Discoaster neorectus,Discoaster prepentaradiatus,Discoaster spp.,Gephyrocapsa lumina,Gephyrocapsa muellerae,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Ceratolithus atlanticus,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Orthorhabdus rioi,Orthorhabdus striatus,Pontosphaera spp.,Pontosphaera syracusana,Reticulofenestra daviesii,Reticulofenestra gelida,Reticulofenestra minutula,Rhabdosphaera poculii,Rhabdosphaera spp.,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera tubifera,Scyphosphaera ventriosa,Solidopons petrae,Sphenolithus calyculus,Sphenolithus conicus,Sphenolithus dissimilis,Syracolithus schilleri,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus milowii,Umbilicosphaera hulburtiana,Reworked species,Diatoms,Radiolarian fragments,Datum type,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1486B-1H-CC-PAL-NANNO,0,5,5.94,5.99,NN21 [M71],LB expected,VG [P33],D [A22],V [A94],V [A94],F [A30],C [A04],F [A30],,,,,,,,,,,,F [A30],,C [A04],,,C [A04],F [A30],F [A30],F [A30],,,,,,,R [A30],R [A30],,,,,F [A30],,F [A30],F [A30],C [A04],F [A30],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,1,H,CC,PAL,NANNO
363-U1486B-2H-3-W 50/50-NANNO,0,0,9.5,9.5,NN21 [M71],LB Optic,,,V [A94],A [A23],V [A94],A [A23],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,3,W,50/50-NANNO
363-U1486B-2H-5-W 50/50-NANNO,0,0,12.5,12.5,NN21 [M71],LB Optic,,,V [A94],C [A04],V [A94],A [A23],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,5,W,50/50-NANNO
363-U1486B-2H-CC-PAL-NANNO,0,5,16.01,16.06,NN21 [M71],LB Below Eh dominance Ge>>,VG [P33],D [A22],V [A94],F [A30],A [A23],C [A04],C [A04],,,,,,,,,,,,C [A04],,C [A04],,,C [A04],F [A30],C [A04],F [A30],,,,,,,R [A30],F [A30],,,,,f [A30],,,,C [A04],,,P [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,2,H,CC,PAL,NANNO
363-U1486B-3H-3-W 20/20-NANNO,0,0,18.65,18.65,NN21 [M71],lb optic,,,V [A94],F [A30],V [A94],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,3,W,20/20-NANNO
363-U1486B-3H-5-W 100/100-NANNO,0,0,22.35,22.35,NN20 [M71],LB optic,,,A [A23],x [A115],C [A04],P [A30],V [A94],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,5,W,100/100-NANNO
363-U1486B-3H-CC-PAL-NANNO,0,5,25.37,25.42,NN21 [M71],LB - checked,VG [P33],D [A22],V [A94],F [A30],A [A23],C [A04],A [A23],x [A115],x [A115],,,,,,,,,,C [A04],,C [A04],,,C [A04],F [A30],F [A30],P [A30],,,,,,R [A30],F [A30],,,,,,,R [A30],,,F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,3,H,CC,PAL,NANNO
363-U1486B-4H-3-W 50/50-NANNO,0,0,28.5,28.5,NN20 [M71],,,,F [A30],x [A115],A [A23],C [A04],V [A94],x [A115],x [A115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,3,W,50/50-NANNO
363-U1486B-4H-5-W 50/50-NANNO,0,0,31.5,31.5,NN19 [M71],TDJ -,VG [P33],D [A22],V [A94],,A [A23],C [A04],A [A23],F [A30],C [A04],,,,,,,,,,C [A04],,C [A04],,,C [A04],F [A30],F [A30],,,,,,,,,,,,,,,,,R [A30],F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,5,W,50/50-NANNO
363-U1486B-4H-CC-PAL-NANNO,0,5,35.05,35.1,NN19 [M71],LB,VG [P33],D [A22],V [A94],x [A115],A [A23],F [A30],A [A23],F [A30],F [A30],,,,,,,,,,F [A30],,C [A04],,,C [A04],F [A30],F [A30],P [A30],,,,,,R [A30],F [A30],,,,,,,,,,F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,4,H,CC,PAL,NANNO
363-U1486B-5H-2-W 75/75-NANNO,0,0,36.75,36.75,NN19 [M71],lb,VG [P33],D [A22],V [A94],,A [A23],A [A23],C [A04],A [A23],A [A23],,,,,,,,,,F [A30],,F [A30],,,F [A30],F [A30],F [A30],,,,,,,,,R [A30],,,,,,,,,F [A30],F [A30],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,2,W,75/75-NANNO
363-U1486B-5H-4-W 75/75-NANNO,0,0,39.75,39.75,NN19 [M71],lb,,,V [A94],,A [A23],A [A23],C [A04],A [A23],A [A23],,,,,,,,,,F [A30],,C [A04],,,F [A30],F [A30],F [A30],,,,,,,,F [A30],F [A30],,,,,,,,F [A30],C [A04],F [A30],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,4,W,75/75-NANNO
363-U1486B-5H-6-W 75/75-NANNO,0,0,42.75,42.75,NN19 [M71],lb,,,,,A [A23],A [A23],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,6,W,75/75-NANNO
363-U1486B-5H-CC-PAL-NANNO,0,5,44.4,44.45,NN19 [M71],LB,VG [P33],D [A22],C [A04],,R [A30],R [A30],V [A94],C [A04],F [A30],,,,,,,,,,F [A30],,C [A04],,,,F [A30],F [A30],P [A30],,,,,,F [A30],R [A30],,,,,,,,,,F [A30],C [A04],C [A04],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363,U1486,B,5,H,CC,PAL,NANNO
