Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,General comment,Beella digitata,Beella praedigitata,Catapsydrax parvulus,Globigerina bulloides,Globigerina ciperoensis,Globigerina euapertura,Globigerina falconensis,Globigerina foliata,Globigerina sp.,Globigerinella aequilateralis,Globigerinella calida,Globigerinella radians,Globigerinita,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber,Globigerinoides ruber (pyramidalis),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides trilobus,Globigerinopsis obesa,Globoconella,Globoconella conomiozea,Globoconella inflata,Globoconella miotumida,Globoconella miotumida (DEX),Globoconella miotumida (SIN),Globoconella mons,Globoconella pliozea,Globoconella pseudospinosa,Globoconella puncticulata,Globoconella puncticuloides (compressed),Globoconella puncticuloides (vaulted),Globoconella sphericomiozea,Globoconella subconomiozea,Globoconella triangula,Globoconella triangula     (cf.),Globoquadrina dehiscens,Globoquadrina praedehiscens,Globorotalia lenguaensis,Globorotalia praescitula,Globorotalia tumida,Globorotaloides hexagonus,Globorotaloides turgidus,Hirsutella bermudezi,Hirsutella hirsuta,Hirsutella hirsuta (DEX),Hirsutella hirsuta (SIN),Hirsutella ichinosekiensis,Hirsutella margaritae (cf.),Hirsutella panda,Hirsutella scitula,Hirsutella scitula (cf.),Hirsutella scitula (DEX),Hirsutella scitula (SIN),Menardella limbata,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina incompta,Neogloboquadrina pachyderma,Orbulina,Orbulina bilobata,Orbulina universa,Orbulina universa (juvenile),Paragloborotalia continuosa,Paragloborotalia mayeri,Paragloborotalia nana,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis,Sphaeroidinella dehiscens,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis sp.,Subbotina angiporoides,Subbotina angiporoides minima,Tenuitella,Tenuitella gemma,Truncorotalia cf. crassacarina,Truncorotalia crassacarinina,Truncorotalia crassacarinina (DEX),Truncorotalia crassacarinina (SIN),Truncorotalia crassaconica,Truncorotalia crassaconica     (cf.),Truncorotalia crassaconica     (cf.) (DEX),Truncorotalia crassaconica     (cf.) (SIN),Truncorotalia crassaconica (DEX),Truncorotalia crassaconica (SIN),Truncorotalia crassaformis,Truncorotalia crassaformis (DEX),Truncorotalia crassaformis (SIN),Truncorotalia crassula,Truncorotalia crassula     (cf.),Truncorotalia crassula     (cf.) (DEX),Truncorotalia crassula     (cf.) (SIN),Truncorotalia juanai,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Truncorotalia truncatulinoides (DEX),Truncorotalia truncatulinoides (SIN),Turborotalita angustiumbilicata,Turborotalita quinqueloba,Zeaglobigerina,Zeaglobigerina apertura,Zeaglobigerina connecta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina sp.,Zeaglobigerina woodi,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
375-U1518F-2R-CC-PAL-FORAM,0,10,199.8,199.9,VG,D,,,,,C,,,R,,,,,,,F,,,,,F,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,R,,,,,R,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,2,20,,R,,,,,,,,,,,,375,U1518,F,2,R,CC,PAL,FORAM,,
375-U1518F-3R-CC-PAL-FORAM,0,10,212.49,212.59,VG,D,,,,,C,,,C,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,R,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,17,0,,,,,,,,,,,,,,375,U1518,F,3,R,CC,PAL,FORAM,,
375-U1518F-4R-CC-PAL-FORAM,0,10,219.21,219.31,VG (M),A,,,,,C,,,,,,,,,,F,,,,,R,,,,,,,,C,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,R,,,,,,,R,R,,,F,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,R,,,,,,R,1,0,,,,,,,,,,,,,,375,U1518,F,4,R,CC,PAL,FORAM,,
375-U1518F-5R-CC-PAL-FORAM,0,10,229.91,230.01,VG,A,,,,,A,,,,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,5,1,,,,,,,,,,,,,,375,U1518,F,5,R,CC,PAL,FORAM,,
375-U1518F-6R-CC-PAL-FORAM,0,13,239.08,239.21,VG,D,,,,,C,,,,,,,,,,R,,,,R,R,,,,,,,,C,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,,R,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,4,0,,,,,,,,,,,,,,375,U1518,F,6,R,CC,PAL,FORAM,,
375-U1518F-7R-3-PAL(81-91)-FORAM,0,10,248.77,248.87,VG,C,,,,,A,,,R,,,,,,,R,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,X,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,7,15,,,,,,,,,,,,,,375,U1518,F,7,R,3,PAL(81-91),FORAM,,
375-U1518F-8R-CC-PAL-FORAM,0,5,258.89,258.94,VG,D,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,F,11,0,,,,,,,,,,,,,,375,U1518,F,8,R,CC,PAL,FORAM,,
375-U1518F-9R-5-PAL-FORAM,0,10,270.17,270.27,VG,D,,,,,C,,,R,,,,,,,F,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,C,,,,,,F,,,,,,,X,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,10,0,,,,,,,,,,,,,,375,U1518,F,9,R,5,PAL,FORAM,,
375-U1518F-10R-CC-PAL-FORAM,0,15,277.53,277.68,VG,D,,,,,C,,,,,,,,,,,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,9,0,,,,,,,,,,,,,,375,U1518,F,10,R,CC,PAL,FORAM,,
375-U1518F-11R-CC-PAL-FORAM,0,10,286.63,286.73,VG,F,,,,,A,,,F,,,,,,,,,,,,R,,,,,,,,A,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,3,0,,,,,,,,,,,,,,375,U1518,F,11,R,CC,PAL,FORAM,,
375-U1518F-12R-CC-PAL-FORAM,0,10,296.9,297,VG,D,,,,,C,,,,,,,,,,C,,,,,R,,,,,,,,C,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,,,,C,R,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,13,0,,,,,,,,,,,,,,375,U1518,F,12,R,CC,PAL,FORAM,,
375-U1518F-13R-CC-PAL-FORAM,0,11,306.95,307.06,VG,C,,,,,,,,R,,F,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,,,,,,,,,F,0,9,,,,,,,,,,,R,0,3,,,C,2,38,,,,,,,,R?,,,,,,375,U1518,F,13,R,CC,PAL,FORAM,,
375-U1518F-14R-1-W 129/133-PAL-FORAM,0,4,314.09,314.13,VG,C,,,,,,,,R,,C,,,,,F,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,D,13,,F,,,,,,,,,,,,375,U1518,F,14,R,1,W,129/133-PAL-FORAM,,
375-U1518F-14R-CC-PAL-FORAM,0,10,315.23,315.33,VG,F,,,,,R,,,R,,,,,,,X,,,,,,,,,,,,,D,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,1,33,,,,,,,,,,,,,,375,U1518,F,14,R,CC,PAL,FORAM,,
375-U1518F-15R-CC-PAL-FORAM,0,9,325.8,325.89,VG,C,,,,,F,,,R,,R,,,,,F,,,,,F,,,,,,,,D,,,,,,,,,X,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,1,39,,R,,,,,,,,,,,,375,U1518,F,15,R,CC,PAL,FORAM,,
375-U1518F-16R-4-W 60/65-PAL-FORAM,0,5,336.73,336.78,VG,A,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1,28,,,,,,,,,,,,,,375,U1518,F,16,R,4,W,60/65-PAL-FORAM,,
375-U1518F-16R-CC-PAL-FORAM,0,1,336.34,336.35,VG,F,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,0,6,,,,,,,,,,,,,,375,U1518,F,16,R,CC,PAL,FORAM,,
375-U1518F-17R-CC-PAL-FORAM,0,10,346.41,346.51,VG,D,,,,,C,,,,,,,,,,,,,,,R,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,17,24,,,,,,,,,,,,,,375,U1518,F,17,R,CC,PAL,FORAM,,
375-U1518F-18R-2-PAL(112-122)-FORAM,0,10,353.74,353.84,VG,F,,,,,C,,,,,,,,,,,,,,,,,,,,,,,A,(R?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,0,5,,,,,,,,,,(R),,,,375,U1518,F,18,R,2,PAL(112-122),FORAM,,
375-U1518F-19R-CC-PAL-FORAM,0,5,362.9,362.95,VG,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,4,5,,,,,,,,,,R,,,,375,U1518,F,19,R,CC,PAL,FORAM,,
375-U1518F-20R-CC-PAL-FORAM,0,10,373.71,373.81,VG,A,,,,,C,(X),,C,,,,,,,C,,,,,R,,,,,,,,A,,,,,,,,,R,,,,,,,,,,,,,,,,,,,F,,,,,,,C,,,,,,,,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,2,32,,,,,,,,,,,,,,375,U1518,F,20,R,CC,PAL,FORAM,,
375-U1518F-21R-CC-PAL-FORAM,0,5,383.11,383.16,VG,A,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,8,46,,,,,,,,,,,,,,375,U1518,F,21,R,CC,PAL,FORAM,,
375-U1518F-22R-CC-PAL-FORAM,0,10,391.96,392.06,VG (M),C,,,,,,,,,,,,,,,R,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,C,,,,R,,,,(R),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,1,16,,,,,,,,,,,,,,375,U1518,F,22,R,CC,PAL,FORAM,,
375-U1518F-23R-CC-PAL-FORAM,0,10,402.53,402.63,VG,D,,,,,C,,,,,,,,,,,,,,,F,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,5,46,,,,,,,,,,,,,,375,U1518,F,23,R,CC,PAL,FORAM,,
375-U1518F-24R-2-PAL-FORAM,0,10,411.68,411.78,VG,R,,,,,F,,,,,,,,,,R,,,,X,X,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,3,4,,,,,,,,,,,,,,375,U1518,F,24,R,2,PAL,FORAM,,
375-U1518F-25R-4-PAL-FORAM,0,10,422.12,422.22,VG,F,,,,,,,,R,,,,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,10,29,,,,,,,,,,,,,,375,U1518,F,25,R,4,PAL,FORAM,,
375-U1518F-26R-CC-PAL-FORAM,0,10,431.52,431.62,VG,A,,,,,F,,,F,,,R,,,,R,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,C,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,13,60,,,,,,,,,,,,,,375,U1518,F,26,R,CC,PAL,FORAM,,
375-U1518F-27R-CC-PAL-FORAM,0,10,441.35,441.45,VG,C,,,,,F,,,,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,C,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,C,1,18,,,,,,,,,,(R),,,,375,U1518,F,27,R,CC,PAL,FORAM,,
375-U1518F-28R-CC-PAL-FORAM,0,10,451.64,451.74,VG,A,,,,,F,,,R,,,,,,,F,,,,,R,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,0,9,,,,,,,,,,C,1,17,,R,,,,,,,(X),,,,,375,U1518,F,28,R,CC,PAL,FORAM,,
375-U1518F-29R-CC-PAL-FORAM,0,6,462.92,462.98,VG,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,C,1,3,,,,,,,,,,(R),,,,375,U1518,F,29,R,CC,PAL,FORAM,,
375-U1518F-30R-CC-PAL-FORAM,0,10,474.43,474.53,VG,A,,,,,F,,,R,,,,,,,,,,,,F,,,R,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,A,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,F,0,10,,,,,,,,,,,,,,375,U1518,F,30,R,CC,PAL,FORAM,,
375-U1518F-31R-CC-PAL-FORAM,0,10,484.53,484.63,VG,C,,,,,,,,R,,F,,,,,,,,,,C,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,0,10,,,,,,,R?,0,3,,,C,3,16,,,,,,,,,,,,,,375,U1518,F,31,R,CC,PAL,FORAM,,
375-U1518F-32R-CC-PAL-FORAM,0,12,492.26,492.38,VG,A,,,,,F,,,R,,,R,,,,R,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,A,,,,,R,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,C,2,42,,,,,,,,,,(R),,,,375,U1518,F,32,R,CC,PAL,FORAM,,
