Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Diatoms group abundance,Diatom preservation dissolution,Diatom preservation fragmentation,Diatom preservation pyritization,Achnanthes brevipes,Achnanthes sp.,Actinocyclus actinochilus,Actinocyclus curvatulus,Actinocyclus dimorphus,Actinocyclus ellipticus,Actinocyclus ellipticus f. lanceolata,Actinocyclus fasciculatus,Actinocyclus ingens,Actinocyclus ingens  var. nodus,Actinocyclus ingens var. ingens,Actinocyclus ingens var. ovalis,Actinocyclus karstenii,Actynocyclus cf. aff. karstenii,Actinocyclus lanceolatus,Actinocyclus maccollumii,Actinocyclus mahoodii,Actinocyclus octonarius,Actinocyclus octonarius var. tenella,Actinocyclus spp.,Actinocylus octonarius var. asteriscus,Actinocylus sp. F,Actinoptychus senarius,Actinoptychus splendens,Actinocyclus sp. cf. tsugaruensis,Actinoptychus spp.,Alaucodiscus spp.,Alveus marinus,Amphiprora sp.,Amphora helenensis,Amphora sp.,Anaulus spp.,Arachnodiscus ehrenbergi,Arachnodiscus oamaruensis,Arachnoidiscus spp.,Araniscus lewisianus,Asterolampra affinis,Asterolampra insignis,Asterolampra punctifera,Asterolampra spp.,Asterolampra tela,Asterolampra vulgaris,Asteromphalus flabellatus,Asteromphalus hookeri,Asteromphalus hyalinus,Asteromphalus kennettii,Asteromphalus oligocenicus,Asteromphalus parvulus,Asteromphalus spp.,Asteromphalus symmetricus,Aulacodiscus brownei,Aulacodiscus sp.,Aulacoseira spp.,Azpeitia endoi,Azpeitia gombosi,Azpeitia nodulifera,Azpeitia oligocenica,Azpeitia sp.,Azpeitia tabularis,Azpeitia tabularis var. egregius,Baxteriopsis brunii,Biddulphia spp.,Bogorovia gombosii,Bogorovia veniamini,Brightwellia hyperborea,Cavitatus jouseanus,Cavitatus jouseanus early form,Cavitatus linearis,Cavitatus miocenicus,Cestodiscus antarcticus,Cestodiscus convexus,Cestodiscus reticulatus,Cestodiscus reticulatus_robustus cpx,Cestodiscus sp.,Chaetoceros bullbosum,Chaetoceros spp.,Chaetoceros spp. (resting spores),Cocconeis costata,Cocconeis spp.,Corethron criophilum,Coscinodiscus asteromphalus,Coscinodiscus hajosiae,Coscinodiscus marginatus,Coscinodiscus oculus-iridis,Coscinodiscus radiatus,Coscinodiscus rhombicus,Coscinodiscus sp. A,Coscinodiscus spp.,Creania lacyae,Crucidenticula ikebei,Crucidenticula kanayae,Crucidenticula nicobarica,Cymatosira biharensis,Cymatosira palpebraforma,Cymatosira praecompacta,Dactylacanthis invalida,Dactylacanthis proxima,Dactylacanthis rara,Dactylacanthis spp.,Dactyliosolen antarcticus,Delphineis spp.,Denticula norwegica,Denticulopsis barronii,Denticulopsis  cf. katayamae,Denticulopsis crassa,Denticulopsis delicata,Denticulopsis dimorpha,Denticulopsis dimorpha var. areolata,Denticulopsis hustedtii,Denticulopsis hyalina,Denticulopsis ichikawae,Denticulopsis lauta,Denticulopsis maccollumii,Denticulopsis okunoi,Denticulopsis ovata,Denticulopsis praedimorpha,Denticulopsis praedimorpha v. minor,Denticulopsis praedimorpha v. intermedia,Denticulopsis simonsenii,Denticulopsis spp.,Denticulopsis vulgaris,Dicladia sp.,Diploneis spp.,Distephanosira architecturalis,Entopyla spp.,Eucampia antarctica,Eucampia antarctica var twista,Eurossia irregularis var. incurvatus,Eurrosia irregularis var. irregularis,Eustephanias inermis,Eustephanias quasinermis,Eustephanias ramigenus,Eustephanias spp.,Fragilaria sp.,Fragilariopsis arcula,Fragilariopsis aurica,Fragilariopsis barronii,Fragilariopsis bohatyi,Fragilariopsis claviceps,Fragilariopsis clementia,Fragilariopsis curta,Fragilariopsis cylindrus,Fragilariopsis doliolus,Fragilariopsis donahuensis,Fragilariopsis fossilis,Fragilariopsis interfrigidaria,Fragilariopsis januaria,Fragilariopsis kerguelensis,Fragilariopsis lacrima,Fragilariopsis laqueus,Fragilariopsis linearis,Fragilariopsis maleinterpretaria,Fragilariopsis matuyamae,Fragilariopsis matuyamae var. heteropola,Fragilariopsis obliquecostata,Fragilariopsis praecurta,Fragilariopsis praeinterfrigidaria,Fragilariopsis pseudonana,Fragilariopsis reinholdii,Fragilariopsis rhombica,Fragilariopsis ritscheri,Fragilariopsis robusta,Fragilariopsis separanda,Fragilariopsis sp. A,Fragilariopsis spp.,Fragilariopsis sublinearis,Fragilariopsis tigris,Fragilariopsis truncata,Fragilariopsis vanheurckii,Fragilariopsis weaveri,Genus and species indeterminate #1,Goniothecium decoratum,Goniothecium odontella,Goniothecium rogersii,Grammatophora spp.,Diatom preservation - pyritization2
318-U1355A-1R-1-PAL-DIAT2,318,U1355,A,1,1-1,R,1,PAL,DIAT2,0,1,0.0,0.01,A[318_Si],G[318_Si],G[318_Si],,,,R[318_Si],,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,R[318_Si],,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,A[318_Si],,,X[318_Si],,,,,,,,,X[318_Si],X[318_Si],,X[318_Si],,,,,,,,,,,,,
318-U1355A-1R-1-PAL-DIAT4,318,U1355,A,1,1-1,R,1,PAL,DIAT4,0,1,0.0,0.01,A[318_Si],G[318_Si],G[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C[318_Si],,,,,,,R[318_Si],,,,,R[318_Si],X[318_Si],,R[318_Si],,,X[318_Si],,,,,,,,,,
318-U1355A-1R-1-PAL-DIAT5,318,U1355,A,1,1-1,R,1,PAL,DIAT5,0,1,0.0,0.01,C[318_Si],G[318_Si],G[318_Si],,,,,R[318_Si],,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,R[318_Si],,,,,,,C[318_Si],,,,,,,X[318_Si],,,,,F[318_Si],R[318_Si],,X[318_Si],,,,,,,,,,,,,
318-U1355A-1R-1-W 70/70-DIAT2,318,U1355,A,1,1-1,R,1,W,70/70-DIAT2,0,0,0.7,0.7,A[318_Si],G[318_Si],G[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,C[318_Si],,,X[318_Si],,,,,,,,,R[318_Si],X[318_Si],,X[318_Si],,X[318_Si],,,,,,,,,,,
318-U1355A-1R-3-W 91/91-DIAT2,318,U1355,A,1,1-3,R,3,W,91/91-DIAT2,0,0,3.91,3.91,R[318_Si],P[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,X[318_Si],,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,
318-U1355A-2R-1-PAL-DIAT1,318,U1355,A,2,2-1,R,1,PAL,DIAT1,0,1,4.99,5.0,C[318_Si],M[318_Si],G[318_Si],,,,X[318_Si],,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],,,,,X[318_Si],,C[318_Si],,,,,,,,,,,,,X[318_Si],,X[318_Si],,,R[318_Si],,,,,,,,,,
318-U1355A-2R-1-PAL-DIAT2,318,U1355,A,2,2-1,R,1,PAL,DIAT2,0,1,4.99,5.0,F[318_Si],M[318_Si],G[318_Si],,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,F[318_Si],,,,,,,X[318_Si],,,,,X[318_Si],X[318_Si],,,,,,,,,,,,,,,
318-U1355A-2R-1-PAL-DIAT3,318,U1355,A,2,2-1,R,1,PAL,DIAT3,0,1,4.99,5.0,C[318_Si],M[318_Si],G[318_Si],,,,X[318_Si],,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,F[318_Si],,,,,,,X[318_Si],,,,,X[318_Si],X[318_Si],,X[318_Si],,X[318_Si],X[318_Si],,,,,,,,,,
318-U1355A-2R-1-W 77/77-DIAT2,318,U1355,A,2,2-1,R,1,W,77/77-DIAT2,0,0,4.27,4.27,C[318_Si],M[318_Si],G[318_Si],,,,R[318_Si],,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,F[318_Si],,,,,,,X[318_Si],,,,,,R[318_Si],,,,,X[318_Si],,,,,,,,,,
318-U1355A-2R-1-W 82/82-DIAT4,318,U1355,A,2,2-1,R,1,W,82/82-DIAT4,0,0,4.32,4.32,A[318_Si],M[318_Si],G[318_Si],,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R[318_Si],,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,,,,,,,,,,,,X[318_Si],,,,,,,,,,,,,,,X[318_Si],X[318_Si],,,,,,C[318_Si],,,,,,,R[318_Si],,,,,X[318_Si],R[318_Si],,X[318_Si],,,X[318_Si],,,,,,,,,,
