Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Abundance,Preservation,Mixing,Artophormis dominasinensis,Lychnocanoma turgidum,Theocyrtis perpumila n. sp.,Thyrsocyrtis orthotenes n. sp.,Lophocyrtis jacchia,Podocyrtis papalis,Cryptocarpium azyx,Thyrsocyrtis lochites,Dorcadospyris copelata n. sp.,Spongatractus pachystylus,Anthocyrtoma spp.,Calocycloma ampulla,Thyrsocyrtis bromia,Thyrsocyrtis tetracantha,Zygocircus cimelium,Rhopalocanium ornatum,Theocyrtis careotuberosa n. sp.,Dorcadospyris ombros n. sp.,Tristylospyris triceros,Theocotyle ficus,Dorcadospyris anastasis n. sp.,Dictyophimus craticula,Calocyclas turris,Podocyrtis goetheana,Podocyrtis chalara,Botryocella sp. gr.,Podocyrtis apeza,Thyrsocyrtis krooni,Dictyoprora pirum,Lithochytris vespertilio,Dictyoprora armadillo,Sethochytris triconiscus,Lithocyclia aristotelis gr.,Podocyrtis mitra,Lophocyrtis biaurita,Podocyrtis trachodes,Artophormis barbadensis,Podocyrtis ampla,Zealithapium mitra,Zealithapium anoectum,Cryptocarpium ornatum,Eusyringium lagena,Podocyrtis fasciolata,Zealithapium plegmacantha,Podocyrtis sinuosa,Podocyrtis helenae,Podocyrtis diamesa,Podocyrtis phyxis,Spongatractus balbis,Eusyringium fistuligerum,Thyrsocyrtis tensa,Theocotyle venezuelensis,Theocotyle conica,Lamptonium fab. constrictum,Lamptonium fab. fabaeforme,Theocotyle cryptocephala,Periphaena tripyramis triangula,Thyrsocyrtis robusta,Thyrsocyrtis hirsuta,Lamptonium fab. chaunothorax,Periphaena delta,Theocorys anaclasta,Calocycloma castum,Thyrsocyrtis triacantha,Comments,File data
320-U1331A-4H-2-W 104/106,320,U1331,A,4,4-2,H,2,W,104/106,0,0,26.74,26.74,A,M,2,,,R,,R,,R,R,R,,,,,,,,F,R,R,,,,,,,,,,,,R,,R,,,,R,,R,,F,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-4H-4-W 104/106,320,U1331,A,4,4-4,H,4,W,104/106,0,0,29.74,29.74,A,M,2,,,R,R,R,,R,R,R,,,,R,R,,,R,R,R,,,,,,,,,,,,R,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-4H-CC,320,U1331,A,4,4-CC,H,CC,,,0,0,34.14,34.14,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,R,R,,,,,,R,,R,,R,,R,,,,,,,R,,R,,,R,,,R,,,,R,,,R,,,,,,
320-U1331A-5H-2-W,320,U1331,A,5,5-2,H,2,W,,0,0,35.2,35.2,A,G,1,,R,R,R,R,R,R,C,R,,,,R,F,,,R,R,R,,,R,R,R,,,,R,,,R,,R,R,,,R,,R,,R,,,,,,,,,,,,,,,,,,,,,,,R,,
320-U1331A-5H-4-W,320,U1331,A,5,5-4,H,4,W,,0,0,38.2,38.2,A,G,1,,R,R,R,R,R,R,F,R,,,,R,F,,,R,R,R,,,R,R,,,,,R,,,R,,R,,,,,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-5H-CC-PAL,320,U1331,A,5,5-CC,H,CC,PAL,,0,0,42.97,42.97,,,,,,,,,,,,,,,,,,,,,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-6H-2-W,320,U1331,A,6,6-2,H,2,W,,0,0,44.7,44.7,A,G,2,,R,R,R,,R,R,R,,,,,R,,,R,R,R,R,,R,R,,,,,,,,,R,,R,R,,,R,,R,,R,,,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-6H-4-W,320,U1331,A,6,6-4,H,4,W,,0,0,47.7,47.7,A,G,2,,R,R,R,,R,,,,R,,,R,,,R,R,R,R,,R,R,,R,R,,R,,,R,R,,R,R,,R,R,R,,,R,,R,R,R,,,,,R,,R,,,,,,R,,,,,,R,,
320-U1331A-6H-CC-PAL,320,U1331,A,6,6-CC,H,CC,PAL,,0,0,52.6,52.6,,,,,R,,R,,R,,,,R,,,,,R,R,,R,,,R,R,,F,R,,R,,,R,,R,,,,,,,,,,,R,,R,,,,,R,,,,,,,,,,,,,R,R,,
320-U1331A-7H-2-W 95/97,320,U1331,A,7,7-2,H,2,W,95/97,0,0,55.15,55.15,A,G,1,,,R,R,,,,,,R,R,R,,,R,R,R,R,,,R,,,R,R,,R,,R,,R,,vR,R,,vR,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-7H-4-W 95/97,320,U1331,A,7,7-4,H,4,W,95/97,0,0,58.15,58.15,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,R,R,,,R,,,R,F,,R,,R,R,R,,,R,,vR,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-7H-CC-PAL,320,U1331,A,7,7-CC,H,CC,PAL,,0,0,62.6,62.6,,,,,,R,R,,R,,,,,vR,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,vR,,R,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-8H-2-W 104/106,320,U1331,A,8,8-2,H,2,W,104/106,0,0,64.74,64.74,A,G,1,,,R,R,,,,,,R,R,R,,,R,vR,,R,,,,,,,F,,R,,,R,R,R,,R,,,vR,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-8H-4-W 104/106,320,U1331,A,8,8-4,H,4,W,104/106,0,0,67.74,67.74,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-8H-CC-PAL,320,U1331,A,8,8-CC,H,CC,PAL,,0,0,72.17,72.17,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,vR,vR,,,R,,,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-9H-2-W 105/107,320,U1331,A,9,9-2,H,2,W,105/107,0,0,74.25,74.25,A,G,1,,,R,R,,R,,,,R,vR,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-9H-4-W 105/107,320,U1331,A,9,9-4,H,4,W,105/107,0,0,77.25,77.25,A,G,1,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,F,,R,,,R,R,R,,R,,,vR,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-9H-CC-PAL,320,U1331,A,9,9-CC,H,CC,PAL,,0,0,81.61,81.61,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,R,,,,,R,R,R,,F,,vR,,,,,R,,,,R,,,,,R,,,,,,,,,,,,vR,,R,,
320-U1331A-10H-2-W 95/97,320,U1331,A,10,10-2,H,2,W,95/97,0,0,83.65,83.65,A,G,1,,,R,R,,R,,,,R,vR,R,,,R,R,,R,,,,,,,R,,,,,R,R,R,,,,vR,,R,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-10H-4-W 95/97,320,U1331,A,10,10-4,H,4,W,95/97,0,0,86.65,86.65,A,G,1,,,R,R,,R,,,,R,vR,R,,,vR,R,,R,,,,,,,R,,,,,R,R,R,,F,,R,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-10H-CC,320,U1331,A,10,10-CC,H,CC,,,0,0,90.37,90.37,,,,,,R,R,,R,,,,R,R,R,,,,vR,,R,,,,,,,,,,,,R,R,R,,F,,F,,,,,R,,,,-,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-11H-3-W,320,U1331,A,11,11-3,H,3,W,,0,0,92.88,92.88,A,G,1,,,R,R,,R,,,,R,vR,R,,,vR,vR,,R,,,,,,,,,,,,R,R,R,,F,,F,,R,,,,,vR,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-11H-5-W,320,U1331,A,11,11-5,H,5,W,,0,0,95.88,95.88,A,G,1,,,R,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,F,,F,,R,,,,,vR,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-11H-CC-PAL,320,U1331,A,11,11-CC,H,CC,PAL,,0,0,99.47,99.47,,,,,,R,R,,R,,,,R,R,R,,,R,R,,R,,,,,,,,,,,,R,R,,,F,,F,,R,,,,R,R,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-12H-2-W 106/108,320,U1331,A,12,12-2,H,2,W,106/108,0,0,102.76,102.76,A,G,1,,,,R,,R,,,,R,R,R,,,vR,vR,,R,,,,,,,,,,,,R,R,,,F,,vR,,R,,,,R,,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-12H-4-W 106/108,320,U1331,A,12,12-4,H,4,W,106/108,0,0,105.76,105.76,A,G,1,,,,R,,R,,,,R,R,R,,,vR,,,R,,,,,,,,,,,,R,R,,,F,,vR,,R,,,,R,vR,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-12H-CC-PAL,320,U1331,A,12,12-CC,H,CC,PAL,,0,0,110.15,110.15,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,F,,,,F,,,,R,,R,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-13H-2-W,320,U1331,A,13,13-2,H,2,W,,0,0,111.2,111.2,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,R,,,,R,,,,R,vR,,R,,,,,R,,,,,,,,,,,,,,R,,
320-U1331A-13H-4-W,320,U1331,A,13,13-4,H,4,W,,0,0,114.2,114.2,A,G,,,,,R,,R,,,,R,vR,R,,,,vR,,R,,,,,,,,,,,,R,R,,,vR,,,,R,,,,R,,,R,,,,,vR,,,,,,,,,,,,,,R,,
320-U1331A-13H-CC-PAL,320,U1331,A,13,13-CC,H,CC,PAL,,0,0,119.58,119.58,,,,,,,R,,R,,,,R,R,R,,,,vR,,R,,,,,,,,,,,,R,R,,,vR,,,,R,,,,R,,R,R,,R,,,vR,,,,,,,,,,,,,,,,
320-U1331A-14H-2-W 104/106,320,U1331,A,14,14-2,H,2,W,104/106,0,0,121.71,121.71,A,G,,,,,R,,R,,,,R,R,R,,,,vR,,R,,,,,,,,,,,,R,R,,,vR,,,,R,,,,R,,,R,,R,R,,R,,,,,,,,,,,,,,R,,
320-U1331A-14H-4-W 104/106,320,U1331,A,14,14-4,H,4,W,104/106,0,0,124.71,124.71,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,,R,,R,R,,,,,,,,,,,,,,,,R,,
320-U1331A-14H-CC-pal,320,U1331,A,14,14-CC,H,CC,pal,,0,0,129.23,129.23,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,R,R,,R,F,,,,R,,,,,,,,,,,,R,,
320-U1331A-15H-2-W,320,U1331,A,15,15-2,H,2,W,,0,0,130.2,130.2,A,G,,,,,R,,R,,,,R,R,R,,,,vR,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,R,,,,R,,,,,,,,,,R,,R,,
320-U1331A-15H-4-W,320,U1331,A,15,15-4,H,4,W,,0,0,133.2,133.2,A,G,,,,,R,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,R,,,,R,,,,R,,,,,,R,,R,,
320-U1331A-15H-CC-PAL,320,U1331,A,15,15-CC,H,CC,PAL,,0,0,138.45,138.45,,,,,,,R,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,-,,,,R,,R,R,,R,R,,,R,R,,,,R,,,,,vR,,,R,,
320-U1331A-16X-1-W 50/52,320,U1331,A,16,16-1,X,1,W,50/52,0,0,138.7,138.7,A,G,,,,,,,R,,,,R,R,R,,,,vR,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,,R,,R,vR,,,R,R,vR,,,R,,,vR,,,,,R,,
320-U1331A-16X-CC-PAL,320,U1331,A,16,16-CC,X,CC,PAL,,0,0,139.25,139.25,A,G,,,,,,,R,,,,R,R,R,,,,R,,R,,,,,,,,,,,,R,R,,,,,,,,,,,R,,R,R,,F,,,,R,R,vR,,vR,,R,,,,R,vR,vR,R,,
320-U1331A-17X-2-W 104/106,320,U1331,A,17,17-2,X,2,W,104/106,0,0,150.14,150.14,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,,,R,R,vR,,,R,,,R,,,R,,,,
320-U1331A-17X-4-W 104/106,320,U1331,A,17,17-4,X,4,W,104/106,0,0,153.14,153.14,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,R,vR,,,R,,,R,,,R,,,,
320-U1331A-17X-CC-PAL,320,U1331,A,17,17-CC,X,CC,PAL,,0,0,156.8,156.8,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320-U1331A-19X-1-W 72/74,320,U1331,A,19,19-1,X,1,W,72/74,0,0,161.22,161.22,A,G,,,,,,,R,,,,R,R,R,,,,,,R,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,,,R,,,R,,,,,,,
320-U1331A-19X-2-W 25/27,320,U1331,A,19,19-2,X,2,W,25/27,0,0,161.75,161.75,A,G,,,,,,,R,,,,R,R,R,,,,,,vR,,,,,,,,,,,,R,R,,,,,,,,,,,,,,R,,R,,R,,R,,R,,,R,,,R,,,,,,,
320-U1331A-19X-CC-PAL,320,U1331,A,19,19-CC,X,CC,PAL,,0,0,162.36,162.36,A,G,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,vR,vR,R,,R,,F,,R,R,,,,
320-U1331A-20X-CC-PAL,320,U1331,A,20,20-CC,X,CC,PAL,,0,0,167.02,167.02,A,G,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,R,R,F,,,
320-U1331A-22X-CC-PAL-RADS,320,U1331,A,22,22-CC,X,CC,PAL,RADS,0,0,187.15,187.15,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
