Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Percentage of non-calcareous agglutinated forams in total foram assemblage [%],Ammobaculites agglutinans,Amphicoryna scalaris,Amphisorus hemprichii,Anomalinoides globulosus,Astalocus bradyi,Bigenerina nodosaria,Bigenerina spp.,Bolivina robusta,Bolivinita quadrilatera,Brizalina alata,Brizalina earlandi,Bulbobaculites problematicus,Bulimina aculeata,Bulimina gibba,Bulimina marginata,Ceratobulimina jonesiana,Chilostomella oolina,Cibicidoides bradyi,Cibicidoides mundulus,Cibicidoides pachyderma,Cibicidoides robertsonianus,Cibicidoides spp.,Cornuspira involvens,Corscinospora arietina,Cymbaloporella taballaeformis,Dentalina sp.,Dentalina spp.,Dorothia bradyana,Dorothia goesi,Edentostomina sp.,Eggerella bradyi,Ehrenbergina pacifica,Elphidium advenum,Epistominella spp.,Eubuliminella exilis,Fissurina sp.,Fissurina spp.,Fursenkoina texturata,Gaudryina spp.,Glandulina ovula,Globobulimina pacifica,Globocassidulina subglobosa,Globulotuba sp.,Gyroidinoides soldanii,Hoeglundina elegans,Hyalinea balthica,Hyperammina friabilis,Laticarinina pauperata,Laevidentalina aphelis,Lagena spp.,Lenticulina spp.,Liebusella soldanii,Lingulina seminuda,Marginulina obesa,Martinottiella communis,Melonis spp.,Nodosaria spp.,Nodogenerina spp.,Nonionella turgida,Oolina spp.,Oolina globosa,Operculina complanata,Oridorsalis umbonatus,Osangularia bengalensis,Osangularia culter,Peneroplis pertusus,Peneroplis planatus,Planulina wuellerstorfi,Planularia australis,Plectofrondicularia advena,Pleurostomella spp.,Poroeponides lateralis,Praeglobobulimina pupoides,Procerolagena gracilis,Pseudoglandulina glanduliformis,Pyramidulina spp.,Pyrgo spp.,Pyrgo lucernula,Pyrgo laevis,Pullenia bulloides,Pullenia quinqueloba,Quinqueloculina spp.,Rectuvigerina striata,Reophax spp.,Rotalinoides compressiusculus,Rosalina globularis,Saracenaria volpicelli,Saracenaria altifrons,Sigmoilopsis schlumbergeri,Siphogenerina columellaris,Sphaeroidina bulloides,Spiroloculina bradyi,Spiroloculina rotunda,Stilostomella spp.,Textularia agglutinans,Textulariella barrettii,Textularia pseudogramen,Tristix sp.,Trochammina inflata,Uvigerina spp.,Uvigerina hispida,Uvigerina mediterranea,Uvigerina proboscidea,Vaginulina spp.,Vaginulinopsis reinformis,Vaginulinopsis spp.,Vulvulina pennatula,BF comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
363-U1482A-1H-CC,0,14,2.84,2.98,E [P46],R [A88],1,,,,,,,,,,,1,,9,,,1,,1,,3,,4,,,,,1,,,,,1,,,,,1,,,,,,,,9,,,1,,2,,,,,,1,,,,,,,,,,,,15,,,,,,,,,20,,,,,,,,,,,,,,,,,,4,,,,,5,,,,,,,,,,,,363,U1482,A,1,H,CC,,
363-U1482A-2H-CC,0,14,12.53,12.67,E [P46],R [A88],1,,,,,,,,,,,,,,,,14,,3,,7,,13,2,,,,2,,,,,,,,,,,,,,,,,3,15,,,2,,2,,,,,,,2,,,3,,,,,,,,13,,2,,,,,,,5,,,,,2,,,,,,,2,,,,,,2,,,,,4,,,,,,,,,,,,363,U1482,A,2,H,CC,,
363-U1482A-3H-CC,0,14,21.9,22.04,E [P46],R [A88],1,,,,,,,,,,,,,,8,,5,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,,,,,3,2,,,,,1,,,,,,,,,,,,5,,,,,,,,,6,,,,,2,,,,,,,2,,,,,,,,,,,25,,,,,,,,,,,,363,U1482,A,3,H,CC,,
363-U1482A-4H-CC,0,23,30.46,30.69,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,1,,4,,6,,,,,4,,,,,1,,,,,,,2,,,,,,9,,,1,,2,,,,,,,,,,,,,,,,,,16,,,,,,,,,13,,,,,3,,,,,,,9,,,,,,,,,,,4,,,,,,,,,,,,363,U1482,A,4,H,CC,,
363-U1482A-5H-CC,0,23,40.79,41.02,E [P46],R [A88],1,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,2,,,,,,3,,,,,2,,7,,,,1,,,1,,,1,,3,1,,,,,,3,,2,,,12,,,5,,,,,,4,,,,,,,,,,,,3,,,,,,,,,,,16,,,,,,,,,,,,363,U1482,A,5,H,CC,,
363-U1482A-6H-CC,0,17,50.67,50.84,E [P46],R [A88],1,,,,1,,,,,,,,,,,,,,1,,1,,8,,,,,8,,,,1,,,,,,1,,,,,8,,,8,,,,,,,,,1,,,3,,,,,,1,,1,,,8,,1,5,,,,,,6,,,,,1,,,,,,,3,,,,,,,,,,,12,,,,,,,,,,,,363,U1482,A,6,H,CC,,
363-U1482A-7H-CC,0,32,59.89,60.21,E [P46],R [A88],1,,,,1,,,,,,,2,,,,2,,,,,,,3,,,,,4,,,,,,,,,,5,,1,,,1,,4,,,,,,,,,,,,1,3,,,,,,1,,,,,3,,,4,,,,,,5,,,,,,,,,,,,2,,,,,3,,,,,,30,,,,,,,,,,,,363,U1482,A,7,H,CC,,
363-U1482A-8H-CC,0,15,69.64,69.79,E [P46],R [A88],1,,,,,,,,,,,,,1,,,,,,,,,2,,,,,7,,,,6,,,,,,1,,1,,,2,,10,8,,,,,2,2,,,,,2,7,,,,,,,,,,,2,,,2,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,363,U1482,A,8,H,CC,,
363-U1482A-9H-CC,0,18,79.12,79.3,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,,,,,5,,,,,3,,,,,1,,,,,3,,3,,,1,,2,,,,,,,,,,,,1,5,,,,,,,,2,,,2,,,2,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,5,,,,,,,,,,,,363,U1482,A,9,H,CC,,
363-U1482A-10H-CC,0,33,88.63,88.96,E [P46],R [A88],1,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,1,,,,,,,,3,,,,,,12,,,,,4,,,,6,,,4,,,,,,,,,,,1,,,4,,,,,,36,,,,,2,,,,,,,2,,,,,,,,,,,24,,,,,,,,,,,,363,U1482,A,10,H,CC,,
363-U1482A-11H-CC,0,12,98,98.12,E [P46],R [A88],1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,8,,3,1,,,2,,,,,,,,,4,,,,,,1,,1,,,3,,,2,,,,,,10,,,,,2,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,363,U1482,A,11,H,CC,,
363-U1482A-12H-CC,0,21,107.63,107.84,E [P46],R [A88],1,,,,,,,,,,,,,,1,,,,1,,6,,5,,,,,7,,,,6,3,,,,,6,,,,,2,,,,,,,,,2,,,,,1,7,,,,,,2,,,,,5,,,2,,,,,,6,,,,,2,,,,,,,6,,1,,,,,,,,,30,,,,,,,,,,,,363,U1482,A,12,H,CC,,
363-U1482A-13H-CC,0,34,117.18,117.52,E [P46],R [A88],1,,,,,,,,,,,,,,1,,,,,,,,2,,,,,6,,,,2,,,,,,2,,2,,,4,,,,,,1,,,2,,,1,,,1,,,,,,4,,,,,10,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,363,U1482,A,13,H,CC,,
363-U1482A-14H-CC,0,24,126.63,126.87,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,2,,,2,,,,,,,,,10,,,,,,,,,,,3,,,2,,,,,,6,,,,,,,,,,,,,,,,,1,,,,,,12,,,,,,,,,,,,363,U1482,A,14,H,CC,,
363-U1482A-15H-CC,0,22,136.03,136.25,E [P46],R [A88],1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,3,,1,,,,2,,2,6,,,,,2,,,,,,,1,,,,,9,,,2,,,,,,3,,,,,,5,,,,,,1,,,,,3,,,,,,6,,,,,,,,,,,,363,U1482,A,15,H,CC,,
363-U1482A-16H-CC,0,44,145.51,145.95,E [P46],R [A88],1,,,,,,,,,,,,,,3,,,,3,,,,3,,,,,8,,,,,,,,,,1,,1,,,4,,,,,,,,,1,,,,,,,,,,,,1,,,,,12,,,,,,,,,4,,,,,,,,,,,,,,1,,,1,,,,,,8,,,,,,,4,,,,,363,U1482,A,16,H,CC,,
363-U1482A-17H-CC,0,38,154.99,155.37,E [P46],R [A88],1,,,,1,,,,,,,,,,1,,2,,,,,,4,,,,,,,,,,,,,,,2,,2,,,8,,4,2,,,,,2,2,,,,,6,3,,,,,,5,,1,,,4,,,,,,,,,,,,,,,2,,,,,,2,,,,,6,2,,,,,7,,,,,,,,,,,,363,U1482,A,17,H,CC,,
363-U1482A-18H-CC,0,15,164.66,164.81,E [P46],R [A88],1,,,,,,,,,,,1,,,1,,,,1,,3,,14,,,,,3,,,,1,,,,,,1,,1,,,9,,15,2,,,3,,1,,,,,,,4,,,,,,7,,,,,5,,,,,,,,,7,,,,,,,,,,,,4,,,,,,,,,,,5,,,,4,,,4,,,,,363,U1482,A,18,H,CC,,
363-U1482A-19H-CC,0,20,174.14,174.34,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,1,,2,,4,,,,,7,,,,,,,1,,,2,,2,,,4,,3,3,,,,,,,,,1,,,2,,,,,,8,,2,,,10,,2,5,,,,,,6,,,,,2,,,,,,,4,,,,,11,,,,,,10,,,,,,,3,,,,,363,U1482,A,19,H,CC,,
363-U1482A-20H-CC,0,27,183.67,183.94,E [P46],R [A88],1,,,,4,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,5,,,,,,,2,5,,,2,,1,1,,,2,,2,12,,,,,,8,,,,,1,,2,3,,,,,,3,,,,,,,,,,,,1,,,,,9,,,,,,12,,,,,,,1,,,,,363,U1482,A,20,H,CC,,
363-U1482A-21H-CC,0,32,193.08,193.4,E [P46],R [A88],1,,,,,,,,,,,,,,,,,,2,,6,,5,,,,,,,,,5,,,,,,2,,,,,2,,3,,,,,,2,,,,,,2,6,,,,,,7,,1,,,1,,,3,,,,,,5,,,,,,,,,,,,10,,,,,,,,,,,19,,,,2,,,1,,,,,363,U1482,A,21,H,CC,,
363-U1482A-22H-CC,0,27,202.69,202.96,E [P46],R [A88],1,,,,,,,,,,,2,,,,1,,,1,,2,,5,,,,,2,,,,6,,,2,,,7,,,,,1,,2,,,,,,1,,,,,,3,14,,,,,,16,,1,,,13,,,1,,,,,,2,,,,,1,5,,,,,,,,,,,3,,,,,,4,,,,,,1,,,,,,363,U1482,A,22,H,CC,,
363-U1482A-23H-CC,0,35,212.17,212.52,E [P46],R [A88],1,,,,,,,,,,,1,,,2,,,,2,,1,,4,,,,,,,,,,,,1,,,12,,2,,3,7,,4,1,,,,,1,1,,1,1,,2,13,,,,,,,,3,,,8,,,2,,,,,,,,,,,2,1,,,,,,7,,,,,5,,,,,,7,,,,,,3,5,,,,,363,U1482,A,23,H,CC,,
363-U1482A-24H-CC,0,20,221.72,221.92,E [P46],R [A88],1,,,,1,,,,,,,,,,4,,,,1,,,,2,,,,,5,1,,,,,,,,,2,,7,,1,6,,2,,,,3,,,1,,,,,,6,2,,,,,9,,,,,6,,,,,,,,,10,,,,,,,,,,1,,5,,3,,,2,1,,,,,29,,,,,,,,,,,,363,U1482,A,24,H,CC,,
